epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,245.833,3.74252,4.14556,3.28194,0.03033,0.08472,0.02919,0.01071,2.86241,2.85827,2.30608,0.00333127,0.00333127,0.00333127
2,462.308,2.70079,2.86754,2.03658,0.1853,0.10076,0.06579,0.02842,2.45484,2.35948,1.79397,0.00663162,0.00663162,0.00663162
3,676.752,2.4023,2.5295,1.76107,0.18213,0.15804,0.08137,0.03914,2.24059,2.1746,1.64047,0.00989896,0.00989896,0.00989896
4,893.327,2.21225,2.32277,1.62469,0.13982,0.15185,0.10981,0.05573,2.00108,1.91601,1.50642,0.0098515,0.0098515,0.0098515
5,1102.92,2.09216,2.17031,1.54126,0.15139,0.17568,0.1212,0.0623,1.9278,1.8464,1.43727,0.009802,0.009802,0.009802
6,1317.28,2.02429,2.06103,1.48413,0.17432,0.18521,0.13725,0.07157,1.85798,1.73892,1.40326,0.0097525,0.0097525,0.0097525
7,1537.41,1.97152,1.98883,1.45417,0.20274,0.21008,0.15707,0.08282,1.81859,1.67491,1.38017,0.009703,0.009703,0.009703
8,1745.12,1.93446,1.9206,1.42933,0.21983,0.20414,0.16306,0.08633,1.79314,1.6585,1.3628,0.0096535,0.0096535,0.0096535
9,1956.33,1.90161,1.87455,1.4082,0.22764,0.20816,0.16882,0.08846,1.76689,1.6275,1.34325,0.009604,0.009604,0.009604
10,2161.67,1.87016,1.81242,1.38803,0.23969,0.22924,0.18031,0.09681,1.74173,1.57983,1.32972,0.0095545,0.0095545,0.0095545
11,2372.95,1.85413,1.77993,1.37124,0.23611,0.23606,0.18624,0.09949,1.72598,1.57801,1.318,0.009505,0.009505,0.009505
12,2584.17,1.82797,1.74274,1.36289,0.26193,0.23426,0.20137,0.10855,1.70774,1.51171,1.30944,0.0094555,0.0094555,0.0094555
13,2800.47,1.81652,1.71507,1.34565,0.27289,0.23659,0.20221,0.10997,1.69881,1.50265,1.29735,0.009406,0.009406,0.009406
14,3019.45,1.80203,1.68724,1.33795,0.27166,0.23489,0.20764,0.11256,1.67626,1.47759,1.28633,0.0093565,0.0093565,0.0093565
15,3230.75,1.78437,1.65699,1.32507,0.30191,0.24413,0.2169,0.11805,1.66621,1.45338,1.28143,0.009307,0.009307,0.009307
16,3443.05,1.77396,1.64369,1.32065,0.29492,0.24223,0.2192,0.119,1.65923,1.44737,1.27709,0.0092575,0.0092575,0.0092575
17,3655.18,1.76179,1.61969,1.31139,0.31695,0.24554,0.22502,0.12376,1.65318,1.42443,1.2699,0.009208,0.009208,0.009208
18,3867.12,1.75162,1.60287,1.30255,0.31005,0.25102,0.23052,0.12602,1.64139,1.42047,1.26811,0.0091585,0.0091585,0.0091585
19,4081.94,1.73949,1.58927,1.30038,0.30515,0.25342,0.22899,0.12535,1.63174,1.41352,1.25569,0.009109,0.009109,0.009109
20,4292.02,1.74313,1.58018,1.2945,0.33084,0.25796,0.2372,0.13192,1.63185,1.41131,1.24386,0.0090595,0.0090595,0.0090595
21,4508.27,1.72963,1.56781,1.28893,0.32505,0.2606,0.23553,0.12904,1.62528,1.40192,1.24473,0.00901,0.00901,0.00901
22,4726.28,1.72643,1.55775,1.276,0.31839,0.26331,0.24458,0.13668,1.62411,1.39922,1.2336,0.0089605,0.0089605,0.0089605
23,4942.15,1.71976,1.54819,1.27354,0.33405,0.26092,0.24359,0.13742,1.61547,1.3875,1.23055,0.008911,0.008911,0.008911
24,5159.27,1.72227,1.54453,1.26793,0.33246,0.26009,0.2432,0.13665,1.62118,1.38445,1.22808,0.0088615,0.0088615,0.0088615
25,5370.55,1.71686,1.5362,1.26307,0.34343,0.25963,0.24895,0.1397,1.61789,1.38297,1.21899,0.008812,0.008812,0.008812
26,5587.14,1.71074,1.52513,1.25611,0.36098,0.26146,0.25008,0.13969,1.61113,1.37482,1.21166,0.0087625,0.0087625,0.0087625
27,5805.03,1.71373,1.52731,1.2485,0.35201,0.26584,0.25348,0.1425,1.60994,1.37486,1.20745,0.008713,0.008713,0.008713
28,6019.84,1.70645,1.51479,1.2466,0.3565,0.26795,0.25382,0.1427,1.60773,1.36741,1.20583,0.0086635,0.0086635,0.0086635
29,6231.05,1.69774,1.50539,1.24045,0.34549,0.27296,0.25847,0.14707,1.59216,1.36293,1.19309,0.008614,0.008614,0.008614
30,6444.09,1.69203,1.49473,1.23744,0.36803,0.27904,0.26511,0.14842,1.58738,1.34326,1.19398,0.0085645,0.0085645,0.0085645
31,6661.72,1.68841,1.49307,1.2297,0.36105,0.28371,0.26931,0.15144,1.58259,1.33644,1.1907,0.008515,0.008515,0.008515
32,6874.65,1.67803,1.47425,1.22538,0.35451,0.28012,0.26819,0.15126,1.58443,1.33592,1.19065,0.0084655,0.0084655,0.0084655
33,7092.57,1.68528,1.48537,1.23129,0.38081,0.27771,0.26947,0.15357,1.57821,1.32912,1.18704,0.008416,0.008416,0.008416
34,7308.19,1.67944,1.46875,1.22106,0.36857,0.28409,0.27484,0.15603,1.57133,1.32281,1.17898,0.0083665,0.0083665,0.0083665
35,7509.59,1.67477,1.46459,1.2156,0.36232,0.28552,0.27029,0.15395,1.57982,1.32971,1.18459,0.008317,0.008317,0.008317
36,7711.54,1.67454,1.46419,1.21983,0.37084,0.28975,0.27829,0.15851,1.57027,1.31804,1.18122,0.0082675,0.0082675,0.0082675
37,7925.38,1.66899,1.45718,1.21739,0.35986,0.29209,0.27533,0.15773,1.56177,1.31561,1.17496,0.008218,0.008218,0.008218
38,8139.1,1.67207,1.4539,1.21387,0.38362,0.29199,0.28114,0.16043,1.55892,1.31249,1.17026,0.0081685,0.0081685,0.0081685
39,8350.89,1.66793,1.44707,1.20834,0.3738,0.29158,0.28094,0.16056,1.55562,1.30737,1.1692,0.008119,0.008119,0.008119
40,8566.53,1.65615,1.43283,1.20452,0.38368,0.29272,0.2857,0.16296,1.55383,1.30225,1.1684,0.0080695,0.0080695,0.0080695
41,8779.08,1.65179,1.42491,1.20269,0.39085,0.30049,0.28928,0.16476,1.54942,1.29778,1.16369,0.00802,0.00802,0.00802
42,8983.45,1.6512,1.427,1.20424,0.38716,0.29629,0.28887,0.16519,1.54903,1.29859,1.16205,0.0079705,0.0079705,0.0079705
43,9186.65,1.65199,1.42359,1.19987,0.38591,0.30702,0.2916,0.16742,1.54127,1.28945,1.16153,0.007921,0.007921,0.007921
44,9385.95,1.65001,1.4232,1.1943,0.39998,0.29703,0.29037,0.16726,1.54179,1.28734,1.15707,0.0078715,0.0078715,0.0078715
