epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,247.269,4.53724,4.75963,3.20325,0.14393,0.03053,0.01884,0.00622,3.17519,2.71597,1.86144,0.00333127,0.00333127,0.00333127
2,474.816,2.84241,2.67048,1.61696,0.08891,0.10949,0.06186,0.02729,2.38139,2.09717,1.35958,0.00664261,0.00664261,0.00664261
3,707.931,2.41056,2.25481,1.36542,0.21077,0.12151,0.0787,0.03629,2.16423,1.872,1.23827,0.00993195,0.00993195,0.00993195
4,944.76,2.19624,2.05909,1.27333,0.12026,0.13693,0.09269,0.04358,2.10693,1.73453,1.19115,0.009901,0.009901,0.009901
5,1183.93,2.04752,1.88893,1.21483,0.18786,0.15553,0.11481,0.05783,1.87894,1.6111,1.13904,0.009868,0.009868,0.009868
6,1418.41,1.96977,1.78547,1.17831,0.17972,0.16537,0.12343,0.06388,1.82157,1.51295,1.10904,0.009835,0.009835,0.009835
7,1656.98,1.89857,1.70673,1.15735,0.21321,0.18643,0.14525,0.07571,1.74482,1.42898,1.0911,0.009802,0.009802,0.009802
8,1894.6,1.85044,1.64077,1.13851,0.22906,0.18706,0.15464,0.08163,1.70701,1.3883,1.08135,0.009769,0.009769,0.009769
9,2132.95,1.81813,1.59719,1.12599,0.23722,0.19969,0.16389,0.08652,1.68165,1.3782,1.06835,0.009736,0.009736,0.009736
10,2373.37,1.77747,1.53821,1.11124,0.22798,0.20633,0.16616,0.0893,1.64997,1.34731,1.06012,0.009703,0.009703,0.009703
11,2608.59,1.76303,1.51321,1.1034,0.25511,0.20044,0.17577,0.09485,1.62814,1.33178,1.05481,0.00967,0.00967,0.00967
12,2846.3,1.73254,1.47858,1.09955,0.26121,0.21294,0.18382,0.09917,1.60809,1.28768,1.0518,0.009637,0.009637,0.009637
13,3083.69,1.71726,1.45653,1.08773,0.26071,0.21907,0.18488,0.10125,1.60549,1.28824,1.04381,0.009604,0.009604,0.009604
14,3322.51,1.70343,1.43175,1.08496,0.28105,0.23042,0.19586,0.10634,1.57102,1.26772,1.03879,0.009571,0.009571,0.009571
15,3555.63,1.6863,1.41018,1.0778,0.28684,0.22931,0.20356,0.11216,1.54719,1.2377,1.03163,0.009538,0.009538,0.009538
16,3792.97,1.66967,1.39704,1.07549,0.29273,0.23269,0.20908,0.11424,1.54936,1.22091,1.03242,0.009505,0.009505,0.009505
17,4028.79,1.65987,1.3795,1.07337,0.29623,0.2255,0.20744,0.11446,1.53756,1.21179,1.02789,0.009472,0.009472,0.009472
18,4266.12,1.6482,1.36068,1.06565,0.30206,0.23798,0.21712,0.11944,1.51882,1.20444,1.0253,0.009439,0.009439,0.009439
19,4498.7,1.63349,1.34381,1.06626,0.31441,0.23685,0.22207,0.12223,1.50745,1.18833,1.01926,0.009406,0.009406,0.009406
20,4735.59,1.63259,1.33946,1.06191,0.31394,0.24088,0.22025,0.12188,1.50812,1.1839,1.01585,0.009373,0.009373,0.009373
21,4970.11,1.61801,1.32226,1.05968,0.33309,0.24274,0.22683,0.12449,1.50176,1.17338,1.01648,0.00934,0.00934,0.00934
