epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,500.682,4.31442,7.37474,2.65683,0.78962,0.0246,0.01365,0.00386,3.21393,3.11125,1.72061,0.00333214,0.00333214,0.00333214
2,5728.1,3.16229,3.32832,1.58995,0.32422,0.05281,0.03258,0.01054,2.82817,2.83006,1.52139,0.00663248,0.00663248,0.00663248
3,6113.9,2.90343,2.84307,1.45725,0.21481,0.06012,0.06029,0.02344,2.6277,2.47122,1.41526,0.00989982,0.00989982,0.00989982
4,6487.74,2.78413,2.5861,1.39661,0.1936,0.08346,0.08104,0.03216,2.55698,2.44549,1.374,0.0098515,0.0098515,0.0098515
5,6893.91,2.67348,2.44067,1.36169,0.17306,0.12003,0.09983,0.03964,2.46521,2.35637,1.33899,0.009802,0.009802,0.009802
6,7314.29,2.59125,2.27163,1.32711,0.20067,0.12744,0.11969,0.04958,2.42968,2.18482,1.32143,0.0097525,0.0097525,0.0097525
7,7685.71,2.56031,2.19074,1.30519,0.1802,0.13113,0.1114,0.04591,2.42175,2.23232,1.31651,0.009703,0.009703,0.009703
8,8096.67,2.52679,2.15783,1.29702,0.19145,0.14316,0.13085,0.05388,2.33926,2.08593,1.28643,0.0096535,0.0096535,0.0096535
9,8483.99,2.50571,2.10367,1.28845,0.21641,0.1421,0.13814,0.05642,2.34755,2.04964,1.28614,0.009604,0.009604,0.009604
10,9810.15,2.48447,2.06051,1.28252,0.32012,0.15112,0.13897,0.05652,2.29848,1.9803,1.27196,0.0095545,0.0095545,0.0095545
11,10197.5,2.45513,2.01846,1.27146,0.21457,0.1506,0.1516,0.06536,2.29464,1.92574,1.26847,0.009505,0.009505,0.009505
12,10574.6,2.44127,1.99162,1.26976,0.34328,0.16098,0.15266,0.05866,2.29141,1.90556,1.2633,0.0094555,0.0094555,0.0094555
13,11092,2.4305,1.95958,1.26287,0.33823,0.1648,0.15834,0.06537,2.27257,1.94714,1.25788,0.009406,0.009406,0.009406
14,11834.5,2.41538,1.9387,1.25435,0.37679,0.17747,0.18083,0.07688,2.25377,1.90117,1.25202,0.0093565,0.0093565,0.0093565
15,12248.3,2.4,1.92117,1.25417,0.36591,0.1738,0.1749,0.07294,2.25672,1.87112,1.25374,0.009307,0.009307,0.009307
