epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,247.708,3.87124,4.29123,3.39474,0.03727,0.07635,0.02993,0.01059,2.9154,2.92744,2.34269,0.00333127,0.00333127,0.00333127
2,465.391,2.70225,2.93247,2.06767,0.04733,0.14484,0.05863,0.02574,2.3585,2.46187,1.78643,0.00663162,0.00663162,0.00663162
3,683.023,2.36939,2.57343,1.7578,0.17323,0.14631,0.07736,0.03561,2.19798,2.27482,1.61699,0.00989896,0.00989896,0.00989896
4,898.648,2.18946,2.36706,1.62565,0.22467,0.1328,0.09765,0.0502,2.01638,1.96848,1.51136,0.0098515,0.0098515,0.0098515
5,1113.6,2.07478,2.1842,1.5418,0.24266,0.17805,0.12037,0.06257,1.95013,1.89711,1.45645,0.009802,0.009802,0.009802
6,1332.23,2.00357,2.05396,1.48474,0.27164,0.18053,0.13264,0.07042,1.85427,1.76031,1.41303,0.0097525,0.0097525,0.0097525
7,1549.81,1.94188,1.96858,1.44838,0.21697,0.20071,0.15706,0.08471,1.79993,1.66937,1.37834,0.009703,0.009703,0.009703
8,1766.8,1.89874,1.88185,1.42038,0.22332,0.20171,0.16783,0.09141,1.75697,1.61956,1.35478,0.0096535,0.0096535,0.0096535
9,1983.01,1.86198,1.82728,1.39836,0.23667,0.21647,0.17686,0.09686,1.74553,1.59555,1.34028,0.009604,0.009604,0.009604
10,2200.06,1.82661,1.75638,1.37668,0.24921,0.23071,0.18597,0.10206,1.70877,1.56475,1.32255,0.0095545,0.0095545,0.0095545
11,2416.82,1.80681,1.72048,1.35983,0.25691,0.23033,0.19635,0.10787,1.68359,1.52719,1.31498,0.009505,0.009505,0.009505
12,2633.44,1.77646,1.67393,1.35147,0.27776,0.23986,0.20805,0.11513,1.6598,1.47528,1.30805,0.0094555,0.0094555,0.0094555
13,2852.19,1.76223,1.64415,1.33308,0.28991,0.24107,0.21197,0.11788,1.66084,1.46389,1.29324,0.009406,0.009406,0.009406
14,3068.71,1.74677,1.61271,1.32779,0.30118,0.24369,0.21764,0.12148,1.6308,1.45251,1.2809,0.0093565,0.0093565,0.0093565
15,3282.85,1.72957,1.58657,1.31416,0.30047,0.25486,0.22649,0.12913,1.61148,1.41603,1.27269,0.009307,0.009307,0.009307
16,3499.57,1.7164,1.56969,1.30982,0.32222,0.26763,0.24282,0.13683,1.59811,1.39693,1.26562,0.0092575,0.0092575,0.0092575
17,3716.49,1.70335,1.54324,1.30226,0.31806,0.26668,0.24066,0.13604,1.6006,1.37911,1.26363,0.009208,0.009208,0.009208
18,3934.54,1.69093,1.52235,1.29221,0.31712,0.26912,0.24247,0.13652,1.58096,1.37045,1.25579,0.0091585,0.0091585,0.0091585
19,4151.62,1.67753,1.50567,1.29138,0.34087,0.2656,0.25357,0.14305,1.5737,1.3606,1.24972,0.009109,0.009109,0.009109
20,4369.37,1.67701,1.49435,1.28604,0.34542,0.27358,0.25545,0.14454,1.56128,1.34322,1.24111,0.0090595,0.0090595,0.0090595
21,4586.88,1.66017,1.479,1.28126,0.33749,0.27984,0.2572,0.14616,1.55646,1.33153,1.24053,0.00901,0.00901,0.00901
22,4804.42,1.65059,1.46103,1.26943,0.34694,0.27766,0.26198,0.15084,1.54738,1.32437,1.23308,0.0089605,0.0089605,0.0089605
23,5020.87,1.63947,1.44298,1.27154,0.35068,0.28395,0.26989,0.15544,1.54065,1.30277,1.23166,0.008911,0.008911,0.008911
24,5240.24,1.63481,1.43463,1.26674,0.34976,0.27875,0.26614,0.15468,1.54658,1.31864,1.23112,0.0088615,0.0088615,0.0088615
25,5455.98,1.62682,1.42456,1.26231,0.35949,0.29133,0.27382,0.15728,1.53192,1.30153,1.22427,0.008812,0.008812,0.008812
26,5672.66,1.61813,1.40721,1.2573,0.36018,0.28858,0.2768,0.15935,1.52959,1.29799,1.21936,0.0087625,0.0087625,0.0087625
27,5889.57,1.61796,1.40731,1.25059,0.35713,0.29192,0.27657,0.15992,1.52223,1.29293,1.21669,0.008713,0.008713,0.008713
28,6108.09,1.61125,1.39827,1.24987,0.37499,0.29298,0.28518,0.16555,1.51329,1.28128,1.21359,0.0086635,0.0086635,0.0086635
29,6324.29,1.60325,1.38365,1.24517,0.37057,0.30398,0.28801,0.16729,1.51154,1.26982,1.21004,0.008614,0.008614,0.008614
30,6541.12,1.59616,1.37422,1.24159,0.38174,0.31123,0.29457,0.16937,1.4967,1.25352,1.20392,0.0085645,0.0085645,0.0085645
31,6756.9,1.59191,1.36942,1.23414,0.37333,0.30973,0.29223,0.16854,1.49419,1.24987,1.20049,0.008515,0.008515,0.008515
32,6972.62,1.58219,1.3536,1.23076,0.38943,0.30572,0.29806,0.17219,1.49582,1.24437,1.19942,0.0084655,0.0084655,0.0084655
33,7189.74,1.58889,1.36044,1.23739,0.38509,0.30849,0.29806,0.17378,1.49235,1.24635,1.19811,0.008416,0.008416,0.008416
34,7405.27,1.58244,1.34035,1.22697,0.38499,0.3162,0.30247,0.17627,1.48258,1.23547,1.19395,0.0083665,0.0083665,0.0083665
35,7623.42,1.57583,1.34338,1.22234,0.4052,0.30743,0.30502,0.17827,1.48844,1.23469,1.19503,0.008317,0.008317,0.008317
36,7841.37,1.5787,1.34425,1.22695,0.37984,0.31625,0.30331,0.1763,1.48563,1.23076,1.19179,0.0082675,0.0082675,0.0082675
37,8058.49,1.5724,1.33672,1.2235,0.39898,0.31528,0.30959,0.17969,1.47561,1.22658,1.1847,0.008218,0.008218,0.008218
38,8275.29,1.57743,1.33535,1.22011,0.40012,0.31926,0.30968,0.18092,1.48351,1.22989,1.18347,0.0081685,0.0081685,0.0081685
39,8491.77,1.58089,1.33165,1.21498,0.40192,0.3218,0.31411,0.18334,1.48207,1.23032,1.1788,0.008119,0.008119,0.008119
40,8707.39,1.57326,1.32649,1.20879,0.3975,0.32495,0.31512,0.18418,1.4841,1.22596,1.17634,0.0080695,0.0080695,0.0080695
41,8925.57,1.5709,1.3196,1.20843,0.41205,0.32357,0.31949,0.18675,1.47974,1.22371,1.17255,0.00802,0.00802,0.00802
42,9141.79,1.57094,1.32778,1.20812,0.39966,0.3302,0.32085,0.18735,1.47818,1.22535,1.17049,0.0079705,0.0079705,0.0079705
43,9358.98,1.57515,1.32359,1.20394,0.40327,0.33525,0.32181,0.18833,1.47782,1.2214,1.1689,0.007921,0.007921,0.007921
44,9576.87,1.57451,1.32206,1.19829,0.41812,0.32308,0.32047,0.18879,1.47631,1.21647,1.16474,0.0078715,0.0078715,0.0078715
45,9793.56,1.56343,1.31188,1.20025,0.4375,0.32371,0.32886,0.19345,1.47153,1.20687,1.16213,0.007822,0.007822,0.007822
46,10013.1,1.5649,1.30853,1.19627,0.42115,0.32616,0.32786,0.19255,1.47018,1.20913,1.15979,0.0077725,0.0077725,0.0077725
47,10230,1.56679,1.31037,1.19404,0.42998,0.3282,0.32936,0.19411,1.47008,1.20775,1.15721,0.007723,0.007723,0.007723
48,10445,1.54879,1.29372,1.19112,0.41612,0.33434,0.32971,0.19402,1.46738,1.20353,1.15571,0.0076735,0.0076735,0.0076735
49,10663.7,1.5475,1.29606,1.18414,0.41602,0.33837,0.33219,0.19522,1.46263,1.1987,1.15482,0.007624,0.007624,0.007624
50,10878.5,1.55764,1.2951,1.18784,0.42969,0.34054,0.33654,0.19819,1.4597,1.196,1.15104,0.0075745,0.0075745,0.0075745
51,11096.5,1.55027,1.28515,1.18523,0.43296,0.33674,0.33484,0.19688,1.4598,1.19535,1.15015,0.007525,0.007525,0.007525
52,11314.6,1.54948,1.28758,1.17859,0.43219,0.33801,0.33587,0.19795,1.45569,1.19263,1.14806,0.0074755,0.0074755,0.0074755
53,11531.2,1.55075,1.28558,1.18223,0.43375,0.3421,0.33858,0.19923,1.45706,1.18912,1.14883,0.007426,0.007426,0.007426
54,11747.7,1.54576,1.28093,1.17888,0.43848,0.33447,0.33571,0.1996,1.45027,1.18758,1.14477,0.0073765,0.0073765,0.0073765
55,11964.8,1.55152,1.28309,1.18141,0.43543,0.33895,0.33653,0.19957,1.44953,1.18441,1.14292,0.007327,0.007327,0.007327
56,12179.7,1.53946,1.27526,1.17721,0.43872,0.34382,0.33978,0.20101,1.4453,1.17809,1.14194,0.0072775,0.0072775,0.0072775
57,12397.4,1.53107,1.26196,1.173,0.43863,0.34651,0.3408,0.20138,1.44553,1.18119,1.14144,0.007228,0.007228,0.007228
58,12614.9,1.53488,1.26182,1.17577,0.44261,0.34331,0.34127,0.20161,1.44294,1.17752,1.13853,0.0071785,0.0071785,0.0071785
59,12831.2,1.5345,1.26103,1.17325,0.43849,0.34308,0.34016,0.20124,1.44533,1.17428,1.13892,0.007129,0.007129,0.007129
60,13048.7,1.52686,1.25458,1.17034,0.44659,0.34723,0.34673,0.20367,1.44212,1.16995,1.13723,0.0070795,0.0070795,0.0070795
61,13265.8,1.52807,1.25255,1.17023,0.43704,0.34799,0.34634,0.20466,1.43908,1.17005,1.13564,0.00703,0.00703,0.00703
62,13480.8,1.52589,1.24924,1.16943,0.42866,0.35114,0.34712,0.20511,1.4379,1.16696,1.13434,0.0069805,0.0069805,0.0069805
63,13699.2,1.53157,1.25299,1.16742,0.44844,0.34757,0.3462,0.20391,1.43793,1.16586,1.13481,0.006931,0.006931,0.006931
64,13914.9,1.5304,1.25,1.16781,0.43902,0.34882,0.34716,0.20543,1.4383,1.16024,1.13301,0.0068815,0.0068815,0.0068815
65,14132.4,1.52044,1.2403,1.16115,0.44146,0.355,0.35154,0.20759,1.43619,1.15716,1.13282,0.006832,0.006832,0.006832
66,14348.1,1.51924,1.24321,1.16395,0.454,0.34843,0.34965,0.20717,1.43454,1.15867,1.13078,0.0067825,0.0067825,0.0067825
67,14566.5,1.52195,1.24603,1.15902,0.43956,0.35418,0.35065,0.20746,1.43152,1.15434,1.12886,0.006733,0.006733,0.006733
68,14783.4,1.51481,1.2335,1.15817,0.45512,0.35342,0.35421,0.20903,1.4298,1.15097,1.12733,0.0066835,0.0066835,0.0066835
69,15000.2,1.51405,1.23238,1.16065,0.45494,0.34963,0.35387,0.20968,1.42797,1.14789,1.12733,0.006634,0.006634,0.006634
