epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,352.121,3.81786,4.36769,3.32292,0.73335,0.02347,0.01761,0.00579,3.06685,2.94886,2.38048,0.00333127,0.00333127,0.00333127
2,680.723,2.81616,3.03001,2.12527,0.15223,0.11884,0.05725,0.02424,2.49871,2.57623,1.84845,0.00663162,0.00663162,0.00663162
3,1003.95,2.48013,2.67521,1.82922,0.05802,0.1619,0.07591,0.03506,2.24707,2.25183,1.69301,0.00989896,0.00989896,0.00989896
4,1323.6,2.29403,2.44142,1.68521,0.3225,0.13788,0.09175,0.04434,2.15791,2.11737,1.59119,0.0098515,0.0098515,0.0098515
5,1641.53,2.18008,2.27065,1.61386,0.34734,0.16082,0.11417,0.05724,2.01009,1.93361,1.51665,0.009802,0.009802,0.009802
6,1958.86,2.10577,2.1548,1.55558,0.29677,0.1768,0.12841,0.06635,1.97451,1.8437,1.48404,0.0097525,0.0097525,0.0097525
7,2275.92,2.05466,2.08002,1.52483,0.30782,0.17546,0.14042,0.07175,1.91222,1.7993,1.44841,0.009703,0.009703,0.009703
8,2594.52,2.01772,2.0117,1.49482,0.21393,0.18893,0.14568,0.07503,1.89014,1.73626,1.42233,0.0096535,0.0096535,0.0096535
9,2913.68,1.99264,1.96683,1.47641,0.21121,0.19933,0.156,0.08076,1.83837,1.69393,1.40703,0.009604,0.009604,0.009604
10,3230.24,1.95048,1.91115,1.45741,0.21523,0.20845,0.16285,0.08615,1.83021,1.6715,1.39144,0.0095545,0.0095545,0.0095545
11,3548.96,1.92557,1.86202,1.43933,0.23464,0.21158,0.16596,0.08888,1.80293,1.64652,1.37807,0.009505,0.009505,0.009505
12,3866.75,1.9174,1.84959,1.43116,0.24442,0.22128,0.18008,0.09588,1.78222,1.61095,1.36592,0.0094555,0.0094555,0.0094555
13,4184.03,1.89266,1.80805,1.41135,0.26424,0.22714,0.18394,0.09737,1.77253,1.58997,1.35879,0.009406,0.009406,0.009406
14,4500.81,1.87589,1.78519,1.39998,0.25751,0.2214,0.19158,0.10244,1.74929,1.5691,1.34083,0.0093565,0.0093565,0.0093565
15,4818.86,1.86669,1.76522,1.3919,0.27049,0.22892,0.19653,0.10557,1.7342,1.54823,1.3367,0.009307,0.009307,0.009307
16,5137.22,1.85465,1.74091,1.38471,0.27353,0.23237,0.20296,0.10887,1.72906,1.52493,1.32842,0.0092575,0.0092575,0.0092575
17,5454.75,1.83784,1.71905,1.36636,0.27043,0.23951,0.20578,0.11105,1.70158,1.50565,1.31583,0.009208,0.009208,0.009208
18,5773.63,1.82966,1.7062,1.36741,0.27341,0.2318,0.21044,0.11304,1.71116,1.50609,1.3144,0.0091585,0.0091585,0.0091585
19,6091.17,1.81627,1.6866,1.35864,0.29907,0.2432,0.21689,0.11725,1.69985,1.49544,1.30552,0.009109,0.009109,0.009109
20,6411.03,1.81582,1.67635,1.35061,0.30425,0.2417,0.21525,0.11754,1.69009,1.4817,1.29765,0.0090595,0.0090595,0.0090595
21,6728.21,1.79738,1.66243,1.3434,0.28954,0.2489,0.21965,0.11936,1.68428,1.47603,1.29045,0.00901,0.00901,0.00901
22,7045.98,1.80003,1.6567,1.33678,0.30183,0.24393,0.22048,0.1209,1.67692,1.47355,1.28286,0.0089605,0.0089605,0.0089605
23,7335.87,1.80117,1.6489,1.33158,0.30098,0.25096,0.22217,0.12203,1.67482,1.46691,1.27245,0.008911,0.008911,0.008911
24,7622.6,1.78337,1.6321,1.31939,0.29809,0.25428,0.22824,0.12542,1.67989,1.46679,1.27326,0.0088615,0.0088615,0.0088615
25,7908.84,1.80135,1.64557,1.312,0.31193,0.24496,0.22876,0.12551,1.68082,1.4691,1.26014,0.008812,0.008812,0.008812
26,8193.46,1.79302,1.6445,1.31264,0.32096,0.25622,0.23255,0.12847,1.6633,1.45145,1.25211,0.0087625,0.0087625,0.0087625
27,8478.46,1.78252,1.62127,1.30088,0.31384,0.25612,0.23615,0.13122,1.66247,1.45395,1.24766,0.008713,0.008713,0.008713
28,8775.37,1.78445,1.62249,1.29255,0.3611,0.25334,0.23784,0.13198,1.6534,1.44543,1.24221,0.0086635,0.0086635,0.0086635
29,9094.24,1.77353,1.61107,1.29405,0.32396,0.25675,0.23688,0.13254,1.65702,1.44533,1.23531,0.008614,0.008614,0.008614
30,9411.99,1.76562,1.59763,1.28458,0.33906,0.26228,0.24733,0.13714,1.64411,1.42805,1.23179,0.0085645,0.0085645,0.0085645
31,9730.48,1.7605,1.58905,1.28131,0.33274,0.25996,0.24748,0.13787,1.63945,1.42379,1.22987,0.008515,0.008515,0.008515
32,10048.1,1.75222,1.58432,1.27572,0.34637,0.26618,0.25024,0.13866,1.63397,1.41831,1.2269,0.0084655,0.0084655,0.0084655
33,10366.4,1.75633,1.57816,1.27442,0.35105,0.26469,0.25172,0.14124,1.63953,1.41297,1.22754,0.008416,0.008416,0.008416
34,10656.3,1.75242,1.57564,1.27306,0.33997,0.2699,0.254,0.14234,1.62802,1.40258,1.2211,0.0083665,0.0083665,0.0083665
35,10941.5,1.73963,1.56252,1.26599,0.33852,0.26971,0.25679,0.14415,1.6268,1.39862,1.21993,0.008317,0.008317,0.008317
36,11247.7,1.74123,1.55874,1.25845,0.35248,0.2709,0.25861,0.14441,1.62401,1.3972,1.21251,0.0082675,0.0082675,0.0082675
37,11569.6,1.74061,1.55866,1.25901,0.34989,0.27229,0.25816,0.14488,1.61584,1.3935,1.20878,0.008218,0.008218,0.008218
38,11889.9,1.73154,1.54782,1.25419,0.34103,0.27379,0.26076,0.14702,1.61195,1.37934,1.20327,0.0081685,0.0081685,0.0081685
39,12211.7,1.73838,1.54851,1.25015,0.35177,0.2831,0.2655,0.1488,1.6122,1.3848,1.20281,0.008119,0.008119,0.008119
40,12530.9,1.72902,1.53736,1.24794,0.3624,0.2783,0.26813,0.15005,1.60663,1.37244,1.20078,0.0080695,0.0080695,0.0080695
41,12847.6,1.7231,1.53345,1.24785,0.35851,0.28619,0.2692,0.151,1.60403,1.3709,1.19684,0.00802,0.00802,0.00802
42,13166.5,1.71791,1.52367,1.2358,0.35935,0.27968,0.26806,0.15086,1.6057,1.36454,1.19488,0.0079705,0.0079705,0.0079705
43,13484.9,1.71994,1.5251,1.23993,0.37046,0.27843,0.27236,0.15389,1.59576,1.36467,1.19119,0.007921,0.007921,0.007921
44,13802,1.71007,1.51243,1.23804,0.35535,0.28634,0.27242,0.15441,1.59554,1.36204,1.19017,0.0078715,0.0078715,0.0078715
45,14122.4,1.70755,1.51242,1.23613,0.36597,0.28291,0.2749,0.15404,1.5937,1.35984,1.18928,0.007822,0.007822,0.007822
46,14442.4,1.71282,1.5125,1.23303,0.37311,0.28693,0.27708,0.15616,1.58486,1.34931,1.1831,0.0077725,0.0077725,0.0077725
47,14761.3,1.70876,1.50842,1.23273,0.36134,0.29072,0.27789,0.15622,1.59058,1.34973,1.18479,0.007723,0.007723,0.007723
48,15080.2,1.70148,1.49774,1.2284,0.37083,0.28921,0.27872,0.1567,1.58523,1.34573,1.18056,0.0076735,0.0076735,0.0076735
49,15398.4,1.70707,1.49561,1.22364,0.371,0.29321,0.28239,0.15959,1.58054,1.34118,1.17765,0.007624,0.007624,0.007624
50,15717.7,1.69949,1.48948,1.22065,0.36747,0.30016,0.28491,0.16182,1.57444,1.33536,1.17409,0.0075745,0.0075745,0.0075745
51,16035.3,1.69943,1.48549,1.21709,0.3618,0.30054,0.2853,0.16127,1.57584,1.33867,1.17387,0.007525,0.007525,0.007525
52,16349.3,1.68986,1.48043,1.21712,0.3714,0.29774,0.28736,0.16282,1.57084,1.33003,1.17063,0.0074755,0.0074755,0.0074755
53,16666.3,1.69654,1.48246,1.21482,0.37529,0.29711,0.28734,0.16308,1.57426,1.33057,1.16902,0.007426,0.007426,0.007426
