epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,223.13,5.47672,5.89279,4.19804,0.00707,0.00447,0.00211,0.00072,4.51054,3.55989,3.41933,0.00332921,0.00332921,0.00332921
2,430.493,3.18089,2.90242,1.96943,0.2836,0.08529,0.06063,0.02597,2.38953,2.05685,1.35333,0.00664056,0.00664056,0.00664056
3,635.404,2.30042,2.10487,1.34162,0.23431,0.13337,0.09,0.04302,2.02136,1.71647,1.19695,0.00992991,0.00992991,0.00992991
4,837.011,2.02579,1.83316,1.21346,0.20231,0.16011,0.12703,0.06548,1.80445,1.50426,1.11985,0.009901,0.009901,0.009901
5,1045.08,1.86382,1.64336,1.14613,0.24879,0.18634,0.15574,0.08355,1.69542,1.37572,1.08099,0.009868,0.009868,0.009868
6,1246.1,1.77959,1.5239,1.11123,0.24777,0.21416,0.1795,0.09636,1.58504,1.29939,1.05058,0.009835,0.009835,0.009835
7,1442.31,1.69795,1.43366,1.0873,0.2701,0.22631,0.19231,0.10565,1.5671,1.2577,1.03476,0.009802,0.009802,0.009802
8,1643.9,1.64269,1.36552,1.0701,0.29325,0.22498,0.20907,0.11548,1.50928,1.21409,1.0241,0.009769,0.009769,0.009769
9,1847.39,1.59098,1.30167,1.0564,0.31862,0.25417,0.23245,0.12647,1.48199,1.1606,1.00659,0.009736,0.009736,0.009736
10,2049.67,1.55216,1.25296,1.04256,0.34156,0.26957,0.24739,0.13831,1.44343,1.14099,1.00122,0.009703,0.009703,0.009703
11,2252.61,1.52851,1.22197,1.0309,0.36046,0.26583,0.25416,0.14307,1.41218,1.10065,0.9921,0.00967,0.00967,0.00967
12,2454.02,1.50738,1.19853,1.02537,0.36509,0.28257,0.26877,0.15267,1.39436,1.07106,0.98452,0.009637,0.009637,0.009637
13,2656.61,1.48805,1.17365,1.01846,0.37807,0.28731,0.27736,0.15809,1.3725,1.06176,0.97772,0.009604,0.009604,0.009604
14,2859.53,1.45516,1.13938,1.01093,0.38295,0.29209,0.28764,0.16568,1.34968,1.02794,0.97164,0.009571,0.009571,0.009571
15,3063.16,1.44949,1.12652,1.0047,0.39035,0.30685,0.2895,0.16612,1.34113,1.01715,0.96838,0.009538,0.009538,0.009538
16,3265.88,1.4287,1.10336,1.0027,0.39043,0.31504,0.30187,0.17173,1.33697,1.00942,0.97004,0.009505,0.009505,0.009505
17,3468.54,1.41458,1.09261,0.99746,0.4042,0.31654,0.30269,0.17496,1.32997,0.99831,0.9661,0.009472,0.009472,0.009472
18,3671.58,1.39933,1.06848,0.991,0.42313,0.31432,0.31121,0.18035,1.30451,0.99119,0.9584,0.009439,0.009439,0.009439
19,3874.99,1.39015,1.06242,0.99247,0.41004,0.32539,0.31254,0.18125,1.30936,0.97763,0.9576,0.009406,0.009406,0.009406
20,4076.31,1.37707,1.04712,0.98531,0.42246,0.32464,0.32051,0.18696,1.29814,0.96274,0.95483,0.009373,0.009373,0.009373
21,4278.4,1.3768,1.03669,0.98462,0.43116,0.3249,0.32326,0.18963,1.28225,0.96398,0.95166,0.00934,0.00934,0.00934
22,4481.64,1.35906,1.01786,0.98046,0.43298,0.32801,0.32462,0.19043,1.27931,0.95119,0.95319,0.009307,0.009307,0.009307
23,4683.68,1.34543,1.00956,0.97919,0.42367,0.34152,0.32986,0.19338,1.26966,0.94234,0.94828,0.009274,0.009274,0.009274
24,4885.51,1.34508,1.00217,0.97686,0.42213,0.33618,0.32699,0.19429,1.26469,0.93692,0.94804,0.009241,0.009241,0.009241
25,5087.75,1.33109,0.98387,0.97524,0.45741,0.33863,0.34213,0.20134,1.25995,0.93107,0.94608,0.009208,0.009208,0.009208
