epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,668.928,2.33525,0.38197,0.99457,0.00133,0.00422,0.00042,9e-05,2.34647,0.1161,0.93097,0.00333127,0.00333127,0.00333127
2,1351.64,2.3933,0.1021,0.93114,0.0043,0.00722,0.00145,0.00036,2.19197,0.16754,0.80619,0.00663162,0.00663162,0.00663162
3,1991.39,2.24119,0.12178,0.76517,0.70675,0.01214,0.00256,0.00055,1.98295,0.20678,0.60375,0.00989896,0.00989896,0.00989896
4,2622.02,2.21482,0.12425,0.73806,0.90545,0.00692,0.00163,0.00033,1.95696,0.17744,0.53843,0.0098515,0.0098515,0.0098515
5,3279.16,2.10033,0.16031,0.64351,0.90943,0.01965,0.00548,0.00156,1.75225,0.32247,0.39604,0.009802,0.009802,0.009802
6,3861.98,1.99465,0.23192,0.52889,0.82106,0.01755,0.00667,0.00193,1.78182,0.32772,0.36912,0.0097525,0.0097525,0.0097525
7,4454.37,1.92601,0.26633,0.48347,0.72454,0.0297,0.01519,0.005,1.64786,0.36825,0.35585,0.009703,0.009703,0.009703
8,5047.04,1.85632,0.29409,0.46555,0.49354,0.03727,0.01866,0.00657,1.61327,0.40024,0.34312,0.0096535,0.0096535,0.0096535
9,5647.36,1.84172,0.29166,0.45573,0.73329,0.03573,0.01887,0.00646,1.58717,0.39239,0.346,0.009604,0.009604,0.009604
10,6246.23,1.76998,0.3207,0.41366,0.85139,0.03041,0.02741,0.01135,1.47872,0.42624,0.28354,0.0095545,0.0095545,0.0095545
11,6813.97,1.74669,0.32378,0.39589,0.55954,0.05046,0.02532,0.00997,1.4386,0.42741,0.27509,0.009505,0.009505,0.009505
12,7381.29,1.71459,0.33767,0.37332,0.65618,0.04969,0.02938,0.01322,1.40893,0.45334,0.26844,0.0094555,0.0094555,0.0094555
13,7950.2,1.69484,0.3468,0.35925,0.36409,0.06175,0.03447,0.01465,1.3898,0.44985,0.24927,0.009406,0.009406,0.009406
14,8560.22,1.67963,0.34871,0.3539,0.37945,0.06006,0.03185,0.01217,1.43969,0.43769,0.26566,0.0093565,0.0093565,0.0093565
15,9185.3,1.66074,0.35399,0.34123,0.36877,0.0744,0.03935,0.01659,1.34482,0.46937,0.23339,0.009307,0.009307,0.009307
16,9797.78,1.63795,0.36491,0.32413,0.49621,0.06492,0.04247,0.0184,1.32466,0.46915,0.21001,0.0092575,0.0092575,0.0092575
17,10407.5,1.63558,0.35917,0.31924,0.48763,0.06664,0.04344,0.01748,1.34988,0.45839,0.22055,0.009208,0.009208,0.009208
18,10999.5,1.6024,0.3739,0.30703,0.30445,0.07528,0.04387,0.01846,1.32032,0.4684,0.22022,0.0091585,0.0091585,0.0091585
19,11682.5,1.59885,0.37615,0.29944,0.28677,0.08444,0.04942,0.02245,1.29525,0.47728,0.2068,0.009109,0.009109,0.009109
20,12262.2,1.5805,0.3763,0.28923,0.29377,0.08547,0.05349,0.02694,1.25154,0.48995,0.19895,0.0090595,0.0090595,0.0090595
21,12924.9,1.5696,0.37898,0.28436,0.40502,0.07674,0.05137,0.02478,1.2608,0.48746,0.194,0.00901,0.00901,0.00901
22,13588.7,1.56009,0.3805,0.284,0.19826,0.09926,0.06017,0.02976,1.22671,0.49434,0.19332,0.0089605,0.0089605,0.0089605
23,14236.9,1.54794,0.38333,0.27184,0.10023,0.11073,0.06508,0.03101,1.21348,0.49871,0.1822,0.008911,0.008911,0.008911
24,14895.9,1.55091,0.38022,0.27442,0.23339,0.09572,0.06221,0.03091,1.24973,0.48363,0.20357,0.0088615,0.0088615,0.0088615
25,15466.7,1.55379,0.38095,0.27042,0.31097,0.10155,0.06396,0.03311,1.20386,0.48597,0.17223,0.008812,0.008812,0.008812
26,16127.2,1.52853,0.38263,0.26039,0.13068,0.11516,0.07267,0.03571,1.19321,0.48915,0.17638,0.0087625,0.0087625,0.0087625
