epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,367.132,9.00251,12.1887,6.43117,0.21954,0.02156,0.01027,0.00301,6.73385,6.31928,3.70117,0.00333127,0.00333127,0.00333127
2,708.283,6.22063,6.15148,3.25659,0.04339,0.12618,0.04731,0.01956,5.28371,4.71518,2.68639,0.00663162,0.00663162,0.00663162
3,1033.8,5.33654,5.23376,2.69965,0.1698,0.11832,0.06154,0.02702,4.80823,4.31149,2.45684,0.00989896,0.00989896,0.00989896
4,1367.76,4.89538,4.71037,2.49328,0.31322,0.11639,0.08052,0.03851,4.56189,4.06226,2.35065,0.0098515,0.0098515,0.0098515
5,1701.99,4.62262,4.35805,2.39807,0.24057,0.14181,0.09575,0.04597,4.29303,3.74636,2.26465,0.009802,0.009802,0.009802
6,2035.86,4.46747,4.12257,2.32945,0.17029,0.15335,0.10918,0.05604,4.10129,3.51155,2.20558,0.0097525,0.0097525,0.0097525
7,2361.41,4.34581,3.97374,2.29078,0.22271,0.15758,0.12433,0.06275,4.05612,3.40337,2.18437,0.009703,0.009703,0.009703
8,2678.31,4.27618,3.83485,2.25973,0.19926,0.16837,0.12857,0.06591,3.97467,3.31777,2.15922,0.0096535,0.0096535,0.0096535
9,2996.08,4.22101,3.76039,2.24058,0.21416,0.16954,0.14113,0.07321,3.88977,3.22703,2.13475,0.009604,0.009604,0.009604
10,3302.03,4.14106,3.6545,2.22209,0.22863,0.1841,0.15036,0.07951,3.84553,3.16523,2.12016,0.0095545,0.0095545,0.0095545
11,3575.57,4.08911,3.567,2.20152,0.24688,0.18187,0.15362,0.08135,3.83112,3.12095,2.10932,0.009505,0.009505,0.009505
12,3849.45,4.07181,3.52785,2.19728,0.24335,0.19504,0.16555,0.08884,3.76393,3.06957,2.1022,0.0094555,0.0094555,0.0094555
