epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,176.394,4.04941,4.67732,3.56194,0.01488,0.02065,0.00967,0.00273,3.22343,3.13778,2.56476,0.00332921,0.00332921,0.00332921
2,1747.78,2.96379,3.10245,2.28185,0.04189,0.11237,0.04775,0.0187,2.53886,2.54867,1.92082,0.00664056,0.00664056,0.00664056
3,1899.65,2.52785,2.67338,1.88385,0.05789,0.14205,0.06837,0.03111,2.29346,2.36339,1.70911,0.00992991,0.00992991,0.00992991
4,2051.38,2.29622,2.42125,1.70071,0.21047,0.12847,0.09114,0.04433,2.09159,2.01722,1.5859,0.009901,0.009901,0.009901
5,2194.82,2.15474,2.22877,1.59479,0.15041,0.16384,0.11585,0.05849,1.98379,1.91344,1.51106,0.009868,0.009868,0.009868
6,2337.26,2.08297,2.11808,1.53697,0.2496,0.17307,0.12123,0.06191,1.92939,1.81574,1.47161,0.009835,0.009835,0.009835
7,2478.85,2.01051,2.03038,1.4967,0.16977,0.18309,0.13386,0.07002,1.85671,1.75766,1.42505,0.009802,0.009802,0.009802
8,2621.34,1.96342,1.96147,1.47029,0.27414,0.19695,0.14567,0.0754,1.83116,1.71927,1.41083,0.009769,0.009769,0.009769
9,2763.36,1.92062,1.89267,1.44522,0.1827,0.2041,0.15218,0.07996,1.80302,1.68834,1.38897,0.009736,0.009736,0.009736
10,2905.39,1.88355,1.83723,1.42085,0.20179,0.21563,0.16537,0.08741,1.77703,1.61032,1.37962,0.009703,0.009703,0.009703
11,3055.67,1.86273,1.79549,1.40061,0.31253,0.22068,0.16888,0.09149,1.76367,1.62344,1.35995,0.00967,0.00967,0.00967
12,3199.52,1.84805,1.76926,1.39162,0.34147,0.21472,0.18059,0.09787,1.72412,1.55491,1.34995,0.009637,0.009637,0.009637
13,3342.24,1.82983,1.74165,1.37974,0.33834,0.21349,0.18292,0.1003,1.70911,1.55031,1.33817,0.009604,0.009604,0.009604
14,3484.3,1.80169,1.70107,1.36955,0.34385,0.22093,0.19276,0.10584,1.69286,1.52043,1.32778,0.009571,0.009571,0.009571
15,3635.77,1.7997,1.68065,1.35852,0.37913,0.22979,0.20444,0.11229,1.68377,1.48133,1.32234,0.009538,0.009538,0.009538
16,3777.43,1.7769,1.65427,1.35286,0.3734,0.23045,0.20411,0.11225,1.66686,1.4846,1.31351,0.009505,0.009505,0.009505
17,3922.17,1.77173,1.64246,1.34613,0.3811,0.235,0.20882,0.1152,1.65965,1.47168,1.30676,0.009472,0.009472,0.009472
18,4065.53,1.75736,1.61748,1.33801,0.37544,0.23736,0.21049,0.11599,1.63568,1.45452,1.29588,0.009439,0.009439,0.009439
19,4207.98,1.74647,1.60623,1.33638,0.29325,0.2384,0.21723,0.1201,1.63999,1.43614,1.29509,0.009406,0.0094006,0.009406
20,4352.55,1.73701,1.58999,1.32708,0.37523,0.24228,0.21075,0.11749,1.6371,1.43083,1.29026,0.009373,0.009373,0.009373
21,4500.67,1.74366,1.58331,1.3277,0.3932,0.24449,0.2233,0.12473,1.61875,1.41231,1.28301,0.00934,0.00934,0.00934
22,4648.54,1.72848,1.55459,1.31955,0.40179,0.24843,0.22758,0.12769,1.62239,1.40786,1.28615,0.009307,0.009307,0.009307
23,4801.74,1.71633,1.54939,1.31868,0.40081,0.24068,0.22722,0.12774,1.61252,1.40442,1.27717,0.009274,0.009274,0.009274
24,4951.59,1.71419,1.54245,1.31054,0.41828,0.24478,0.23413,0.13244,1.60267,1.39071,1.27084,0.009241,0.009241,0.009241
25,5103.27,1.70112,1.52069,1.31012,0.408,0.25548,0.23494,0.13185,1.60518,1.38065,1.26937,0.009208,0.009208,0.009208
26,5684.6,1.70296,1.51914,1.30173,0.31872,0.25639,0.24021,0.13575,1.60898,1.3793,1.26866,0.009175,0.009175,0.009175
27,5836.74,1.71046,1.51985,1.29405,0.3032,0.26308,0.24232,0.13658,1.60014,1.37697,1.25935,0.009142,0.009142,0.009142
28,5988,1.70408,1.51486,1.28762,0.42913,0.25919,0.24358,0.13614,1.60481,1.37408,1.25459,0.009109,0.009109,0.009109
29,6140.15,1.70105,1.51161,1.28435,0.41998,0.26085,0.24549,0.13807,1.60217,1.38094,1.24731,0.009076,0.09076,0.009076
30,6295.15,1.70632,1.5075,1.27927,0.33078,0.26303,0.25451,0.1422,1.59299,1.36505,1.24226,0.009043,0.009043,0.009043
31,6621.93,1.70072,1.50633,1.279,0.32555,0.26821,0.25593,0.14407,1.59736,1.36771,1.24149,0.00901,0.00901,0.00901
32,6800.35,1.70536,1.4971,1.27208,0.44594,0.26518,0.25932,0.14477,1.58883,1.36318,1.23788,0.008977,0.008977,0.008977
33,6952.65,1.69579,1.48515,1.27133,0.35815,0.26652,0.26033,0.14718,1.58632,1.35508,1.23181,0.008944,0.008944,0.008944
34,7121.03,1.69902,1.48202,1.26181,0.36211,0.2676,0.26418,0.15042,1.58209,1.34257,1.22715,0.008911,0.008911,0.008911
35,7267.84,1.69024,1.47564,1.26375,0.34676,0.26973,0.26212,0.14831,1.5807,1.34339,1.2271,0.008878,0.008878,0.008878
36,7410.15,1.68223,1.47368,1.26152,0.45215,0.26675,0.2651,0.15046,1.58181,1.33902,1.22542,0.008845,0.008845,0.008845
37,7587.75,1.67492,1.46369,1.25867,0.35236,0.27431,0.26533,0.15175,1.56917,1.33956,1.21631,0.008812,0.008812,0.008812
38,7733.74,1.6702,1.45267,1.25253,0.36267,0.28559,0.27319,0.15413,1.56933,1.33049,1.21775,0.008779,0.008779,0.008779
39,7881.75,1.6708,1.44708,1.24889,0.35906,0.28389,0.27158,0.15394,1.57107,1.32886,1.21822,0.008746,0.008746,0.008746
40,8028.95,1.66558,1.44843,1.25179,0.35453,0.27782,0.27539,0.15614,1.5671,1.32078,1.21522,0.008713,0.008713,0.008713
41,8179.27,1.66533,1.44496,1.25099,0.37425,0.27926,0.27433,0.15666,1.56307,1.31854,1.21469,0.00868,0.00868,0.00868
42,8322.77,1.65567,1.42884,1.24526,0.36711,0.29401,0.27682,0.15753,1.55854,1.31752,1.21024,0.008647,0.008647,0.008647
43,8465.3,1.66051,1.43673,1.24466,0.36223,0.29179,0.27817,0.1584,1.55444,1.31011,1.21031,0.008614,0.008614,0.008614
44,8610.58,1.66199,1.43064,1.23754,0.36887,0.2865,0.27585,0.15823,1.55658,1.31147,1.20878,0.008581,0.008581,0.008581
45,8759.16,1.65417,1.42417,1.24182,0.39844,0.29722,0.28144,0.16083,1.54868,1.3028,1.2053,0.008548,0.008548,0.008548
46,8922.71,1.64131,1.41002,1.23382,0.35449,0.29989,0.28369,0.1617,1.5492,1.29847,1.20463,0.008515,0.008515,0.008515
47,9067.16,1.64858,1.41414,1.23322,0.37536,0.29767,0.28716,0.16452,1.54696,1.2964,1.20147,0.008482,0.008482,0.008482
48,9240.85,1.64568,1.41199,1.23427,0.35696,0.29753,0.28426,0.16208,1.54496,1.29487,1.20198,0.008449,0.008449,0.008449
49,9384.83,1.64518,1.40709,1.22914,0.35989,0.30706,0.2873,0.16359,1.54576,1.28922,1.20063,0.008416,0.008416,0.008416
50,9527.51,1.63487,1.39618,1.23287,0.38042,0.29886,0.28933,0.16555,1.53675,1.28233,1.19612,0.008383,0.008383,0.008383
51,9694.8,1.63588,1.39867,1.22944,0.38278,0.29832,0.29046,0.16594,1.54073,1.28201,1.19466,0.00835,0.00835,0.00835
52,11472,1.63843,1.39711,1.22945,0.37806,0.29682,0.28963,0.16606,1.53703,1.28326,1.19324,0.008317,0.008317,0.008317
53,11615.7,1.64021,1.39735,1.22712,0.38314,0.30739,0.29351,0.16746,1.53255,1.2809,1.191,0.008284,0.008284,0.008284
54,11760.1,1.63047,1.38078,1.22407,0.37894,0.30344,0.29359,0.1695,1.53292,1.27462,1.19061,0.008251,0.008251,0.008251
55,11912.3,1.62717,1.38551,1.22353,0.38477,0.29948,0.29187,0.16826,1.53,1.27392,1.18892,0.008218,0.008218,0.008218
56,12055.1,1.62474,1.37781,1.22008,0.394,0.30193,0.2937,0.16888,1.53147,1.27087,1.19061,0.008185,0.008185,0.008185
57,12198.6,1.62999,1.3769,1.2201,0.37936,0.30752,0.29311,0.17067,1.52958,1.26893,1.18708,0.008152,0.008152,0.008152
58,12347.6,1.62599,1.37643,1.22131,0.38643,0.31231,0.29861,0.17228,1.5251,1.26486,1.18542,0.008119,0.008119,0.008119
59,12521.9,1.6233,1.37135,1.21575,0.38824,0.30917,0.29718,0.17209,1.52461,1.26425,1.18462,0.008086,0.008086,0.008086
60,12675.8,1.61896,1.36691,1.21549,0.38435,0.30809,0.29681,0.17107,1.5229,1.2599,1.18355,0.008053,0.008053,0.008053
61,12833.6,1.61638,1.36678,1.21501,0.38474,0.31005,0.29717,0.17249,1.5188,1.25752,1.1825,0.00802,0.00802,0.00802
62,12981.8,1.61648,1.36272,1.21597,0.38218,0.31303,0.29706,0.17217,1.51847,1.2584,1.18147,0.007987,0.007987,0.007987
