epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,130.826,4.45244,4.49036,3.13734,0.12664,0.02938,0.01513,0.00495,3.26518,2.75809,1.88939,0.00332921,0.00332921,0.00332921
2,249.753,2.89331,2.62679,1.64729,0.2948,0.10533,0.05978,0.02547,2.38203,2.03879,1.36777,0.00664056,0.00664056,0.00664056
3,370.971,2.41475,2.20603,1.38396,0.11109,0.09416,0.06273,0.02825,2.27795,1.90521,1.28752,0.00992991,0.00992991,0.00992991
4,489.343,2.19145,1.99616,1.27769,0.35101,0.12387,0.09369,0.04458,2.00242,1.67684,1.20301,0.009901,0.009901,0.009901
5,608.967,2.05506,1.8453,1.21674,0.28875,0.15071,0.1228,0.06203,1.8501,1.54594,1.13108,0.009868,0.009868,0.009868
6,721.383,1.99494,1.76299,1.18812,0.17558,0.16634,0.12544,0.06401,1.80171,1.4985,1.11406,0.009835,0.009835,0.009835
7,824.114,1.92308,1.68516,1.16405,0.20324,0.18075,0.14038,0.07206,1.7749,1.4654,1.09887,0.009802,0.009802,0.009802
8,926.308,1.87658,1.63444,1.14945,0.30278,0.18626,0.14838,0.07705,1.71071,1.42317,1.08447,0.009769,0.009769,0.009769
9,1028.8,1.82827,1.57759,1.1347,0.24795,0.19408,0.15692,0.08008,1.71084,1.37953,1.07167,0.009736,0.009736,0.009736
10,1131.09,1.79005,1.53057,1.11853,0.23067,0.20636,0.16669,0.08834,1.66353,1.34331,1.06534,0.009703,0.009703,0.009703
11,1233.37,1.76984,1.49858,1.10779,0.23806,0.20475,0.16573,0.08837,1.65712,1.35021,1.0597,0.00967,0.00967,0.00967
12,1335.92,1.75486,1.48022,1.10392,0.24973,0.20942,0.17862,0.09691,1.62226,1.29454,1.05201,0.009637,0.009637,0.009637
13,1438.69,1.73628,1.45807,1.0959,0.25187,0.22379,0.18284,0.09826,1.6043,1.28463,1.0467,0.009604,0.009604,0.009604
14,1541.35,1.70132,1.42082,1.08826,0.39715,0.21755,0.19694,0.10546,1.59244,1.26401,1.04199,0.009571,0.009571,0.009571
15,1644.07,1.70173,1.41242,1.08232,0.28586,0.22286,0.19444,0.10493,1.59456,1.24676,1.04472,0.009538,0.009538,0.009538
16,1746.65,1.67916,1.38747,1.08026,0.30141,0.2253,0.20314,0.10989,1.5672,1.2297,1.03648,0.009505,0.009505,0.009505
17,1849.51,1.66862,1.37859,1.07557,0.29161,0.22682,0.2046,0.11009,1.5571,1.2257,1.02964,0.009472,0.009472,0.009472
18,1952.21,1.65091,1.35155,1.06843,0.30716,0.23423,0.21095,0.11398,1.54049,1.22216,1.02594,0.009439,0.009439,0.009439
19,2054.8,1.6429,1.34623,1.06914,0.30427,0.22989,0.2134,0.11579,1.54509,1.20502,1.02797,0.009406,0.009406,0.009406
20,2157.31,1.63229,1.33289,1.06165,0.3135,0.23058,0.21321,0.11571,1.54062,1.19191,1.02419,0.009373,0.009373,0.009373
21,2259.79,1.63618,1.32913,1.0627,0.30478,0.24079,0.21865,0.1195,1.52039,1.19215,1.01919,0.00934,0.00934,0.00934
22,2362.07,1.61757,1.29918,1.05774,0.31304,0.23272,0.21865,0.1194,1.51311,1.17974,1.01704,0.009307,0.009307,0.009307
23,2464.89,1.60484,1.29383,1.05792,0.32064,0.24621,0.22596,0.1248,1.49574,1.15896,1.01113,0.009274,0.009274,0.009274
24,2567.35,1.60529,1.29108,1.05455,0.32326,0.24566,0.22807,0.12656,1.49195,1.15713,1.0108,0.009241,0.009241,0.009241
25,2678.02,1.58815,1.2727,1.05316,0.32073,0.26044,0.23135,0.12695,1.49161,1.14761,1.00916,0.009208,0.009208,0.009208
26,2784.67,1.58686,1.27303,1.05022,0.34197,0.25591,0.23509,0.13076,1.48111,1.14618,1.0057,0.009175,0.009175,0.009175
27,2890.6,1.58819,1.26516,1.04441,0.33806,0.25065,0.23471,0.13014,1.47141,1.1362,1.00368,0.009142,0.009142,0.009142
28,3004.72,1.57378,1.25773,1.04218,0.43669,0.24721,0.23579,0.12947,1.47557,1.13053,1.00537,0.009109,0.009109,0.009109
29,3123.44,1.56433,1.2446,1.04198,0.33202,0.25508,0.23936,0.13304,1.46881,1.1273,1.00323,0.009076,0.009076,0.009076
30,3239.55,1.56909,1.24192,1.0396,0.33811,0.25717,0.2431,0.13438,1.45807,1.12239,1.00173,0.009043,0.009043,0.009043
31,3356.42,1.56182,1.23941,1.0407,0.34207,0.26782,0.24887,0.13717,1.45712,1.11158,1.0022,0.00901,0.00901,0.00901
32,3473.45,1.56358,1.22982,1.03714,0.34357,0.25355,0.24541,0.13567,1.4538,1.12158,1.00081,0.008977,0.008977,0.008977
33,3588.47,1.55466,1.22049,1.03729,0.36186,0.26118,0.25233,0.13993,1.45604,1.10503,0.99696,0.008944,0.008944,0.008944
34,3705.5,1.55767,1.21978,1.03302,0.35805,0.26671,0.25175,0.14035,1.44191,1.10177,0.99534,0.008911,0.008911,0.008911
35,3821.15,1.54989,1.21559,1.03418,0.35194,0.27245,0.25248,0.1399,1.43904,1.09685,0.99457,0.008878,0.008878,0.008878
36,3939.17,1.53741,1.20798,1.03354,0.36931,0.26936,0.25686,0.14322,1.44007,1.08902,0.99461,0.008845,0.008845,0.008845
37,4057.57,1.53106,1.20127,1.03276,0.3739,0.26943,0.25633,0.14196,1.42923,1.08349,0.9922,0.008812,0.008812,0.008812
38,4176.15,1.5275,1.19389,1.02938,0.36858,0.27667,0.25851,0.14365,1.43187,1.08295,0.99125,0.008779,0.008779,0.008779
39,4295,1.52503,1.19022,1.02713,0.36337,0.27696,0.26174,0.14666,1.42214,1.07854,0.98976,0.008746,0.008746,0.008746
40,4413.58,1.52011,1.18939,1.02966,0.37853,0.27471,0.25979,0.1447,1.41951,1.07706,0.98778,0.008713,0.008713,0.008713
41,4534.13,1.51893,1.18635,1.02892,0.36236,0.27418,0.25964,0.14416,1.4139,1.07565,0.98598,0.00868,0.00868,0.00868
42,4653.51,1.51245,1.17672,1.02516,0.36244,0.27744,0.26131,0.14524,1.41715,1.07349,0.98715,0.008647,0.008647,0.008647
43,4773.34,1.51675,1.17897,1.02613,0.36211,0.28024,0.26131,0.14573,1.41348,1.06966,0.98797,0.008614,0.008614,0.008614
44,4890.51,1.51901,1.17819,1.02271,0.37136,0.27612,0.26222,0.1475,1.41327,1.06122,0.98592,0.008581,0.008581,0.008581
45,4997.6,1.50776,1.16536,1.02361,0.36587,0.283,0.26686,0.1491,1.4148,1.0592,0.98539,0.008548,0.008548,0.008548
46,5105.01,1.49654,1.15536,1.0195,0.37319,0.28045,0.26925,0.15123,1.40134,1.05408,0.98257,0.008515,0.008515,0.008515
47,5210.87,1.50053,1.16172,1.02066,0.3674,0.2817,0.26796,0.14926,1.4035,1.05462,0.98272,0.008482,0.008482,0.008482
48,5315.14,1.49922,1.1563,1.02241,0.37412,0.28309,0.26986,0.15023,1.40146,1.05343,0.9826,0.008449,0.008449,0.008449
49,5419.49,1.50509,1.15588,1.01972,0.37736,0.28488,0.2738,0.15284,1.40134,1.0494,0.98323,0.008416,0.008416,0.008416
50,5523.75,1.48821,1.14536,1.01905,0.39096,0.28266,0.27558,0.15474,1.3973,1.04156,0.97996,0.008383,0.008383,0.008383
51,5628.9,1.4867,1.14264,1.01659,0.38417,0.28605,0.2756,0.1551,1.39264,1.04243,0.98017,0.00835,0.00835,0.00835
52,5734.32,1.49147,1.14893,1.01903,0.38589,0.28326,0.27555,0.15408,1.39073,1.0385,0.97952,0.008317,0.008317,0.008317
53,5841.16,1.49524,1.14757,1.01768,0.38498,0.28629,0.27296,0.15286,1.39101,1.04571,0.9796,0.008284,0.008284,0.008284
54,5948.34,1.48637,1.1359,1.01583,0.38568,0.28509,0.27404,0.15402,1.3869,1.03682,0.97783,0.008251,0.008251,0.008251
55,6054.84,1.4826,1.13934,1.01593,0.37824,0.29021,0.27903,0.15691,1.38811,1.03697,0.97894,0.008218,0.008218,0.008218
56,6160.9,1.477,1.12987,1.01223,0.38789,0.2884,0.28005,0.15539,1.38619,1.03371,0.9784,0.008185,0.008185,0.008185
57,6268.39,1.4838,1.13038,1.01411,0.38415,0.2911,0.27708,0.15557,1.38161,1.03156,0.9771,0.008152,0.008152,0.008152
58,6374.86,1.4775,1.12877,1.01381,0.38682,0.29638,0.28153,0.1578,1.37903,1.02886,0.97725,0.008119,0.008119,0.008119
59,6482.77,1.47046,1.12002,1.01068,0.39191,0.29035,0.28268,0.15879,1.37946,1.02694,0.97651,0.008086,0.008086,0.008086
60,6589.68,1.46978,1.12222,1.01161,0.38062,0.29497,0.28107,0.15746,1.37363,1.02134,0.97467,0.008053,0.008053,0.008053
61,6697.87,1.46639,1.12271,1.00919,0.38885,0.29341,0.28147,0.15856,1.37431,1.02205,0.97498,0.00802,0.00802,0.00802
62,6805.63,1.46652,1.11807,1.01049,0.38712,0.29223,0.28215,0.15894,1.37142,1.02136,0.97328,0.007987,0.007987,0.007987
63,6911.35,1.46303,1.11198,1.01009,0.39429,0.29347,0.28415,0.15983,1.37026,1.01818,0.97334,0.007954,0.007954,0.007954
64,7016.82,1.47092,1.11585,1.00964,0.39006,0.29191,0.28372,0.15924,1.36903,1.01784,0.97333,0.007921,0.007921,0.007921
65,7122.49,1.46615,1.10854,1.00905,0.39853,0.29425,0.28517,0.15967,1.36945,1.01737,0.97386,0.007888,0.007888,0.007888
66,7227.82,1.46212,1.11227,1.01039,0.39944,0.2918,0.28704,0.16252,1.36899,1.01755,0.97273,0.007855,0.007855,0.007855
67,7333.31,1.46695,1.11046,1.00851,0.39163,0.29332,0.28497,0.1607,1.36365,1.01347,0.97066,0.007822,0.007822,0.007822
68,7440.05,1.46601,1.10914,1.00622,0.39718,0.29904,0.28751,0.16239,1.3766,1.01916,0.97076,0.007789,0.007789,0.007789
69,7545.95,1.48294,1.12429,1.00765,0.3889,0.29792,0.28931,0.16298,1.39247,1.03677,0.96934,0.007756,0.007756,0.007756
70,7651.9,1.48568,1.12888,1.00359,0.4,0.30251,0.29021,0.16402,1.39316,1.04508,0.96717,0.007723,0.007723,0.007723
71,7757.71,1.48364,1.12596,0.99748,0.39115,0.30044,0.28828,0.16335,1.39443,1.04693,0.96534,0.00769,0.00769,0.00769
72,7863.43,1.49112,1.13591,0.99978,0.39721,0.29729,0.29008,0.16359,1.39466,1.05036,0.96374,0.007657,0.007657,0.007657
73,7969.57,1.48298,1.13072,0.99439,0.39574,0.30272,0.28987,0.16463,1.39011,1.04996,0.96152,0.007624,0.007624,0.007624
74,8075.13,1.48638,1.13263,0.99469,0.40453,0.29958,0.2922,0.16495,1.38851,1.04588,0.96143,0.007591,0.007591,0.007591
75,8180.75,1.47897,1.12972,0.9919,0.40308,0.30053,0.29153,0.16622,1.38428,1.04252,0.95942,0.007558,0.007558,0.007558
76,8286.66,1.48462,1.13206,0.99267,0.40999,0.29944,0.29223,0.16579,1.38324,1.04241,0.95914,0.007525,0.007525,0.007525
77,8393.11,1.48551,1.13293,0.99259,0.40856,0.29867,0.29244,0.16541,1.38202,1.04057,0.95791,0.007492,0.007492,0.007492
78,8499.24,1.48381,1.1302,0.98952,0.39826,0.30265,0.29314,0.16567,1.38195,1.03949,0.95768,0.007459,0.007459,0.007459
79,8605.12,1.47016,1.12139,0.98696,0.40381,0.30415,0.29618,0.16756,1.38159,1.03529,0.95678,0.007426,0.007426,0.007426
80,8711.19,1.47142,1.11304,0.98983,0.3964,0.30546,0.29652,0.16747,1.37788,1.03492,0.95654,0.007393,0.007393,0.007393
81,8816.44,1.46427,1.11228,0.98678,0.39877,0.30567,0.29711,0.16833,1.37852,1.03291,0.95677,0.00736,0.00736,0.00736
82,8922,1.46989,1.12022,0.98875,0.39889,0.30794,0.2964,0.16754,1.3759,1.03232,0.95589,0.007327,0.007327,0.007327
