epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,211.37,3.70442,4.15697,3.25906,0.03406,0.07697,0.03023,0.0111,2.80335,2.84554,2.22103,0.00333127,0.00333127,0.00333127
2,402.88,2.66995,2.8817,2.04309,0.05553,0.14994,0.06486,0.02929,2.33806,2.45092,1.77748,0.00663162,0.00663162,0.00663162
3,587.682,2.35608,2.53183,1.75027,0.20464,0.11725,0.07603,0.03725,2.21943,2.24199,1.63207,0.00989896,0.00989896,0.00989896
4,771.46,2.1906,2.33323,1.62987,0.22398,0.1387,0.10376,0.05179,2.0419,2.00925,1.53818,0.0098515,0.0098515,0.0098515
5,956.644,2.0767,2.17621,1.54982,0.21856,0.1698,0.12339,0.06444,1.91073,1.87754,1.45641,0.009802,0.009802,0.009802
6,1138.67,2.00733,2.05566,1.49495,0.20196,0.18047,0.13274,0.07027,1.88378,1.77294,1.42398,0.0097525,0.0097525,0.0097525
7,1322.02,1.94593,1.97218,1.45988,0.21809,0.19832,0.15564,0.08378,1.79587,1.66746,1.38515,0.009703,0.009703,0.009703
8,1507.8,1.906,1.89386,1.43276,0.23228,0.20252,0.16548,0.08862,1.77085,1.61481,1.36674,0.0096535,0.0096535,0.0096535
9,1692.9,1.87292,1.84081,1.41208,0.22951,0.21671,0.17424,0.09365,1.74104,1.60847,1.34799,0.009604,0.009604,0.009604
10,1876.84,1.84141,1.77857,1.3921,0.24971,0.21983,0.18712,0.10263,1.71776,1.5849,1.33215,0.0095545,0.0095545,0.0095545
11,2060.5,1.82078,1.74763,1.37339,0.26788,0.22207,0.19238,0.10586,1.70256,1.53383,1.32036,0.009505,0.009505,0.009505
12,2244.58,1.79685,1.71161,1.3663,0.27537,0.24082,0.20556,0.11296,1.67559,1.48617,1.31291,0.0094555,0.0094555,0.0094555
13,2429.87,1.78508,1.68341,1.3502,0.28931,0.2394,0.2057,0.11473,1.66621,1.47169,1.30141,0.009406,0.009406,0.009406
14,2611.89,1.77114,1.65818,1.34431,0.28763,0.23879,0.21123,0.11859,1.64481,1.47479,1.29027,0.0093565,0.0093565,0.0093565
15,2797.02,1.75246,1.62894,1.33212,0.29647,0.24738,0.22262,0.1264,1.62672,1.42744,1.28361,0.009307,0.009307,0.009307
16,2981.06,1.74445,1.61923,1.32872,0.31701,0.25728,0.22966,0.12717,1.62336,1.41383,1.27983,0.0092575,0.0092575,0.0092575
