epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,191.383,3.78867,4.42186,3.32718,0.34174,0.04038,0.02274,0.00814,2.92256,2.98178,2.25368,0.00333127,0.00333127,0.00333127
2,367.431,2.72844,2.94621,2.06718,0.04911,0.14957,0.05939,0.02631,2.37237,2.45989,1.82834,0.00663162,0.00663162,0.00663162
3,542.054,2.40897,2.59216,1.78959,0.069,0.15922,0.08215,0.03896,2.18106,2.1933,1.66583,0.00989896,0.00989896,0.00989896
4,715.422,2.2258,2.39865,1.65657,0.28634,0.14399,0.08981,0.04425,2.10759,2.06737,1.55358,0.0098515,0.0098515,0.0098515
5,886.802,2.10869,2.23185,1.57128,0.33055,0.15052,0.10159,0.05316,1.98476,2.0056,1.48282,0.009802,0.009802,0.009802
6,1060.3,2.04117,2.1263,1.51206,0.15582,0.18055,0.125,0.06451,1.88466,1.80571,1.43397,0.0097525,0.0097525,0.0097525
7,1232.65,1.98257,2.04886,1.47656,0.17399,0.1959,0.13825,0.0719,1.83111,1.73255,1.39558,0.009703,0.009703,0.009703
8,1404.5,1.94537,1.98289,1.45022,0.19144,0.19659,0.14729,0.07682,1.8179,1.70628,1.39276,0.0096535,0.0096535,0.0096535
9,1576.4,1.9139,1.93117,1.42955,0.20671,0.19712,0.15477,0.08192,1.81,1.67601,1.36868,0.009604,0.009604,0.009604
10,1749.14,1.88444,1.8666,1.40931,0.20575,0.20892,0.16246,0.08761,1.75488,1.64281,1.3456,0.0095545,0.0095545,0.0095545
11,1921.29,1.86851,1.83153,1.39217,0.22053,0.22562,0.17321,0.09281,1.72896,1.60428,1.33192,0.009505,0.009505,0.009505
12,2095.51,1.84024,1.79579,1.38459,0.2403,0.22668,0.18384,0.09974,1.72465,1.57021,1.32675,0.0094555,0.0094555,0.0094555
13,2267.26,1.82959,1.76362,1.36772,0.25707,0.22927,0.19092,0.10377,1.70411,1.54081,1.31739,0.009406,0.009406,0.009406
14,2438.39,1.8178,1.73868,1.36233,0.25236,0.23301,0.19375,0.10761,1.68569,1.54024,1.29926,0.0093565,0.0093565,0.0093565
15,2609.72,1.79737,1.70772,1.34837,0.27259,0.24428,0.20406,0.11231,1.67129,1.49625,1.3006,0.009307,0.009307,0.009307
16,2781.91,1.78882,1.6936,1.3465,0.25705,0.24402,0.2057,0.11316,1.65517,1.4848,1.2926,0.0092575,0.0092575,0.0092575
17,2954.85,1.77684,1.67276,1.33811,0.27433,0.23594,0.20637,0.1142,1.64792,1.46694,1.28579,0.009208,0.009208,0.009208
18,3127.43,1.76283,1.65166,1.32607,0.27416,0.24871,0.21537,0.11717,1.64688,1.46024,1.28207,0.0091585,0.0091585,0.0091585
19,3300.76,1.75351,1.63593,1.32648,0.29343,0.24769,0.22066,0.12366,1.62271,1.43792,1.26737,0.009109,0.009109,0.009109
20,3475.9,1.75423,1.62669,1.32023,0.28956,0.2609,0.22395,0.12467,1.62707,1.45148,1.26286,0.0090595,0.0090595,0.0090595
21,3647.82,1.7382,1.61178,1.31384,0.29584,0.25354,0.2292,0.12672,1.62254,1.42828,1.26306,0.00901,0.00901,0.00901
22,3822.04,1.73746,1.59808,1.30209,0.30464,0.25796,0.23134,0.12971,1.62016,1.42929,1.25303,0.0089605,0.0089605,0.0089605
23,3995.59,1.7304,1.59044,1.30228,0.3094,0.25951,0.23648,0.13303,1.61516,1.40859,1.24999,0.008911,0.008911,0.008911
24,4169.72,1.73218,1.5833,1.29694,0.2995,0.27111,0.24087,0.13488,1.61919,1.4202,1.24462,0.0088615,0.0088615,0.0088615
25,4341.39,1.72468,1.58007,1.29011,0.31329,0.26545,0.24229,0.13534,1.61074,1.41568,1.23612,0.008812,0.008812,0.008812
26,4513.05,1.72124,1.56299,1.28499,0.32351,0.26615,0.24536,0.13851,1.60659,1.40921,1.23227,0.0087625,0.0087625,0.0087625
27,4685.78,1.72221,1.56505,1.27658,0.30574,0.27972,0.24816,0.14069,1.60488,1.40753,1.22537,0.008713,0.008713,0.008713
28,4859.87,1.71723,1.55502,1.27388,0.3576,0.27179,0.25406,0.14338,1.59824,1.38927,1.2271,0.0086635,0.0086635,0.0086635
29,5034.02,1.70839,1.54392,1.26907,0.34191,0.27131,0.25298,0.1432,1.59095,1.38033,1.2183,0.008614,0.008614,0.008614
30,5207.22,1.70395,1.52987,1.26553,0.352,0.28223,0.26142,0.14827,1.57893,1.36364,1.21092,0.0085645,0.0085645,0.0085645
31,5380.49,1.69654,1.52538,1.25548,0.33652,0.28013,0.26195,0.14903,1.5779,1.35617,1.20994,0.008515,0.008515,0.008515
32,5552.86,1.68792,1.5072,1.2529,0.35775,0.28331,0.26447,0.15139,1.57669,1.35625,1.20831,0.0084655,0.0084655,0.0084655
33,5723.82,1.69665,1.51959,1.25967,0.36034,0.27828,0.26816,0.15311,1.57555,1.3531,1.20397,0.008416,0.008416,0.008416
34,5897.17,1.68938,1.50086,1.24962,0.36151,0.29451,0.27453,0.1565,1.57051,1.34295,1.20381,0.0083665,0.0083665,0.0083665
35,6070.67,1.68184,1.49502,1.24258,0.37149,0.28929,0.27685,0.15814,1.56435,1.34056,1.20085,0.008317,0.008317,0.008317
36,6244.21,1.68402,1.49422,1.24743,0.37235,0.29603,0.27971,0.15909,1.56215,1.32935,1.1963,0.0082675,0.0082675,0.0082675
37,6416.04,1.67836,1.48621,1.24496,0.36513,0.29021,0.27899,0.15877,1.55479,1.32686,1.19262,0.008218,0.008218,0.008218
38,6587.54,1.68116,1.48174,1.24192,0.37005,0.29971,0.28076,0.16009,1.55303,1.32383,1.19265,0.0081685,0.0081685,0.0081685
39,6760.78,1.6777,1.47341,1.23661,0.3758,0.29458,0.28319,0.16202,1.55308,1.3196,1.19149,0.008119,0.008119,0.008119
40,6935.06,1.66371,1.46127,1.23035,0.36917,0.30292,0.28471,0.16331,1.55215,1.31384,1.18715,0.0080695,0.0080695,0.0080695
41,7108.1,1.65921,1.45057,1.23086,0.36791,0.30587,0.28469,0.16287,1.54158,1.31159,1.18261,0.00802,0.00802,0.00802
42,7281.1,1.65758,1.45177,1.23074,0.39118,0.29919,0.28925,0.16543,1.54591,1.30888,1.18442,0.0079705,0.0079705,0.0079705
43,7453.6,1.66098,1.45103,1.22758,0.37143,0.30917,0.2897,0.16594,1.53932,1.29822,1.17966,0.007921,0.007921,0.007921
44,7625.45,1.65777,1.4437,1.22216,0.37877,0.30064,0.29059,0.16742,1.53776,1.29829,1.17698,0.0078715,0.0078715,0.0078715
45,7796.95,1.64753,1.43432,1.22564,0.38022,0.30953,0.29482,0.1673,1.53386,1.28914,1.17568,0.007822,0.007822,0.007822
46,7968.64,1.6484,1.4331,1.22156,0.38599,0.30287,0.29282,0.16801,1.52904,1.29068,1.17439,0.0077725,0.0077725,0.0077725
47,8139.82,1.64941,1.43062,1.22007,0.38539,0.31134,0.29497,0.1697,1.53091,1.29014,1.17315,0.007723,0.007723,0.007723
48,8312.25,1.6306,1.41628,1.21711,0.39389,0.30885,0.29921,0.1709,1.52962,1.28332,1.17091,0.0076735,0.0076735,0.0076735
49,8486.14,1.63128,1.41699,1.21114,0.39858,0.31366,0.30251,0.17294,1.52772,1.27624,1.17027,0.007624,0.007624,0.007624
50,8657.53,1.64022,1.41588,1.2132,0.39279,0.31356,0.30245,0.17386,1.52107,1.27449,1.16824,0.0075745,0.0075745,0.0075745
