epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,209.422,4.53984,4.83498,3.24022,0.12445,0.02916,0.01791,0.00569,3.21122,2.70299,1.85709,0.00333127,0.00333127,0.00333127
2,404.68,2.88012,2.68717,1.63916,0.06688,0.13042,0.05558,0.02328,2.46033,2.16783,1.38852,0.00664261,0.00664261,0.00664261
3,595.732,2.44209,2.27796,1.38095,0.17916,0.15421,0.07574,0.0357,2.16014,1.93301,1.24927,0.00993195,0.00993195,0.00993195
4,787.857,2.23259,2.07962,1.29245,0.20684,0.13975,0.09129,0.04451,2.02383,1.7364,1.18578,0.009901,0.009901,0.009901
5,977.398,2.0842,1.91535,1.23027,0.16631,0.14745,0.10777,0.05424,1.91634,1.65772,1.15079,0.009868,0.009868,0.009868
6,1166.87,2.00577,1.81706,1.19369,0.18364,0.16211,0.12009,0.06258,1.83897,1.54742,1.12583,0.009835,0.009835,0.009835
7,1359.17,1.93598,1.74502,1.17301,0.21055,0.179,0.13639,0.0705,1.78491,1.48091,1.10302,0.009802,0.009802,0.009802
8,1550.08,1.89205,1.6766,1.15391,0.19828,0.19162,0.14346,0.07433,1.74191,1.44588,1.09423,0.009769,0.009769,0.009769
9,1739.03,1.85364,1.63439,1.13973,0.22584,0.18225,0.15235,0.07953,1.71232,1.42338,1.08093,0.009736,0.009736,0.009736
10,1929.77,1.81894,1.58174,1.12643,0.23829,0.19804,0.16119,0.08673,1.69936,1.38959,1.07291,0.009703,0.009703,0.009703
11,2120.16,1.79869,1.55195,1.11645,0.25296,0.19772,0.16615,0.08812,1.66641,1.36568,1.06461,0.00967,0.00967,0.00967
12,2309,1.76971,1.51627,1.11264,0.25698,0.20879,0.17607,0.09496,1.64564,1.32919,1.06149,0.009637,0.009637,0.009637
13,2500.09,1.75396,1.49902,1.10115,0.24957,0.20352,0.17281,0.09307,1.63815,1.33281,1.05503,0.009604,0.009604,0.009604
14,2689.86,1.73962,1.46924,1.09787,0.27129,0.21055,0.18423,0.09902,1.61951,1.31497,1.04907,0.009571,0.009571,0.009571
15,2881.81,1.72069,1.4476,1.09025,0.28092,0.21886,0.19154,0.10425,1.58274,1.26464,1.04171,0.009538,0.009538,0.009538
16,3073.73,1.70646,1.43624,1.0882,0.38245,0.22826,0.20142,0.10847,1.57404,1.25251,1.03755,0.009505,0.009505,0.009505
