epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,203.787,3.83725,4.33264,3.29256,0.03006,0.07693,0.02837,0.0101,2.97976,2.92379,2.27493,0.00333127,0.00333127,0.00333127
2,385.934,2.72796,2.91331,2.0426,0.05028,0.14212,0.06082,0.02712,2.42446,2.51345,1.81777,0.00663162,0.00663162,0.00663162
3,566.973,2.379,2.54793,1.76093,0.19076,0.11917,0.07476,0.03533,2.26644,2.31937,1.65616,0.00989896,0.00989896,0.00989896
4,756.683,2.19523,2.36122,1.63544,0.25338,0.13815,0.09958,0.05077,2.00469,1.95562,1.51488,0.0098515,0.0098515,0.0098515
5,935.818,2.07607,2.19522,1.55408,0.16639,0.16221,0.11188,0.05749,1.90596,1.90228,1.45152,0.009802,0.009802,0.009802
6,1109.69,2.01053,2.08943,1.49892,0.18926,0.1781,0.12242,0.06535,1.88039,1.81078,1.43277,0.0097525,0.0097525,0.0097525
7,1282.32,1.95658,2.01149,1.46892,0.19333,0.19249,0.1432,0.07545,1.80887,1.70008,1.3988,0.009703,0.009703,0.009703
8,1455.15,1.91878,1.93838,1.44185,0.21192,0.20244,0.15141,0.08053,1.77681,1.64578,1.38132,0.0096535,0.0096535,0.0096535
9,1628.05,1.88539,1.88769,1.42094,0.19701,0.19755,0.15451,0.08272,1.7534,1.63072,1.35439,0.009604,0.009604,0.009604
10,1801.44,1.85635,1.82157,1.40096,0.22232,0.22077,0.17216,0.09403,1.70952,1.58372,1.33356,0.0095545,0.0095545,0.0095545
11,1973.97,1.8374,1.78514,1.38299,0.23557,0.23162,0.17881,0.09591,1.69912,1.55066,1.32569,0.009505,0.009505,0.009505
12,2146.94,1.8106,1.75126,1.37499,0.25912,0.2362,0.1948,0.10695,1.67615,1.50321,1.31577,0.0094555,0.0094555,0.0094555
13,2320.04,1.79928,1.71921,1.35826,0.25855,0.23048,0.19568,0.10792,1.66702,1.49529,1.30415,0.009406,0.009406,0.009406
