epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,131.285,4.47892,4.46228,3.21334,0.32852,0.03027,0.02014,0.00615,3.28643,2.75445,1.83852,0.00332921,0.00332921,0.00332921
2,247.339,2.92448,2.62453,1.65686,0.14394,0.13777,0.05555,0.02291,2.48305,2.13148,1.37762,0.00664056,0.00664056,0.00664056
3,360.483,2.43184,2.2005,1.38637,0.20967,0.11045,0.07771,0.03481,2.19959,1.85357,1.25729,0.00992991,0.00992991,0.00992991
4,472.198,2.19512,1.98711,1.27802,0.25813,0.1344,0.10072,0.04935,1.97304,1.63862,1.18909,0.009901,0.009901,0.009901
5,586.83,2.04371,1.81905,1.21101,0.29122,0.14976,0.12216,0.06193,1.8597,1.535,1.12863,0.009868,0.009868,0.009868
6,711.882,1.97607,1.72901,1.17868,0.20336,0.16537,0.12868,0.0646,1.80326,1.49033,1.11178,0.009835,0.009835,0.009835
7,838.833,1.8996,1.64736,1.15454,0.23092,0.17389,0.14603,0.07504,1.76672,1.42731,1.09695,0.009802,0.009802,0.009802
8,964.262,1.85092,1.59345,1.13984,0.23096,0.18099,0.15468,0.08008,1.70794,1.38633,1.08114,0.009769,0.009769,0.009769
9,1088.69,1.80176,1.53088,1.12511,0.23655,0.19904,0.16336,0.08368,1.69076,1.34424,1.06631,0.009736,0.009736,0.009736
10,1211.21,1.76507,1.4883,1.1107,0.24244,0.20689,0.17151,0.09013,1.64039,1.30502,1.06105,0.009703,0.009703,0.009703
11,1335.41,1.74568,1.45604,1.09893,0.25086,0.20862,0.17028,0.09082,1.64087,1.31899,1.05032,0.00967,0.00967,0.00967
12,1460.36,1.72895,1.43979,1.09506,0.26705,0.21103,0.18303,0.09689,1.60902,1.27017,1.04717,0.009637,0.009637,0.009637
13,1583.97,1.71428,1.41686,1.08769,0.26904,0.22995,0.19347,0.10384,1.58025,1.2499,1.04129,0.009604,0.009604,0.009604
