epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,271.569,3.85756,4.27494,3.38983,0.12295,0.04369,0.01604,0.00573,3.04213,3.03849,2.37253,0.00333127,0.00333127,0.00333127
2,514.634,2.78654,2.95423,2.12674,0.04977,0.14459,0.06127,0.0281,2.33242,2.4302,1.79544,0.00664261,0.00664261,0.00664261
3,757.05,2.37391,2.54047,1.76745,0.18097,0.14383,0.07764,0.03677,2.15214,2.21581,1.62058,0.00993195,0.00993195,0.00993195
4,995.397,2.18326,2.33622,1.62615,0.32804,0.13462,0.10169,0.05303,1.95627,1.92231,1.49772,0.009901,0.009901,0.009901
5,1234.68,2.05797,2.1655,1.53754,0.25357,0.15907,0.12175,0.06353,1.88455,1.84212,1.43286,0.009868,0.009868,0.009868
6,1475.97,1.98401,2.04517,1.47864,0.15857,0.17559,0.13494,0.07178,1.83312,1.74088,1.40139,0.009835,0.009835,0.009835
7,1715.98,1.92006,1.95646,1.44419,0.21269,0.18907,0.15493,0.08339,1.76384,1.65186,1.36701,0.009802,0.009802,0.009802
8,1965.21,1.87783,1.8752,1.41684,0.2223,0.20379,0.16894,0.09189,1.72565,1.5884,1.34936,0.009769,0.009769,0.009769
9,2203.72,1.8425,1.81746,1.39461,0.2397,0.20109,0.17632,0.09692,1.70398,1.57605,1.32813,0.009736,0.009736,0.009736
10,2454.52,1.81397,1.75514,1.37595,0.23262,0.22606,0.18788,0.10436,1.67284,1.54337,1.3121,0.009703,0.009703,0.009703
11,2683.15,1.7932,1.71855,1.35779,0.26048,0.23936,0.1969,0.10845,1.66707,1.51162,1.30501,0.00967,0.00967,0.00967
12,2909.15,1.76332,1.67481,1.34903,0.2824,0.2452,0.21381,0.12056,1.63503,1.45391,1.29636,0.009637,0.009637,0.009637
13,3133.33,1.75255,1.64915,1.33306,0.28991,0.24338,0.21165,0.12027,1.62784,1.44681,1.28208,0.009604,0.009604,0.009604
14,3354.6,1.73909,1.61917,1.32763,0.28389,0.2531,0.22081,0.12505,1.61261,1.44717,1.27329,0.009571,0.009571,0.009571
15,3592.14,1.72201,1.58799,1.31555,0.30413,0.26499,0.23464,0.1331,1.59181,1.3929,1.26639,0.009538,0.009538,0.009538
16,3829.92,1.71321,1.58009,1.31274,0.31972,0.25484,0.23747,0.13386,1.58948,1.39461,1.26383,0.009505,0.009505,0.009505
17,4075.72,1.70191,1.55454,1.30627,0.32393,0.25928,0.23844,0.13419,1.57857,1.3676,1.25735,0.009472,0.009472,0.009472
18,4312.06,1.68839,1.53563,1.29487,0.32031,0.26082,0.24328,0.13754,1.56451,1.36269,1.2528,0.009439,0.009439,0.009439
19,4531.44,1.67675,1.52096,1.29539,0.33404,0.26695,0.2484,0.14177,1.5672,1.34775,1.2462,0.009406,0.009406,0.009406
20,4753.88,1.6767,1.51032,1.28986,0.34245,0.26669,0.25144,0.14412,1.54481,1.33862,1.23653,0.009373,0.009373,0.009373
21,4973.21,1.66163,1.49116,1.28585,0.33612,0.27383,0.25669,0.1466,1.54742,1.32548,1.23795,0.00934,0.00934,0.00934
22,5197.82,1.65278,1.47757,1.27388,0.34241,0.27396,0.26151,0.1501,1.53583,1.31896,1.23091,0.009307,0.009307,0.009307
23,5418.33,1.64323,1.46121,1.2766,0.34785,0.28702,0.26811,0.15622,1.52979,1.30487,1.22691,0.009274,0.009274,0.009274
24,5643.49,1.63952,1.45045,1.27339,0.34383,0.28021,0.26425,0.15355,1.52924,1.30604,1.22781,0.009241,0.009241,0.009241
25,5869.08,1.63083,1.44361,1.26888,0.3647,0.28093,0.26877,0.15503,1.52362,1.30962,1.22154,0.009208,0.009208,0.009208
26,6090.52,1.62387,1.4295,1.26434,0.36225,0.29475,0.27635,0.15996,1.51399,1.2813,1.21532,0.009175,0.009175,0.009175
27,6313.65,1.62529,1.42946,1.25823,0.37038,0.28753,0.27778,0.16086,1.5226,1.29258,1.21725,0.009142,0.009142,0.009142
28,6544.59,1.61922,1.41807,1.25792,0.34852,0.29369,0.27813,0.1597,1.5101,1.27712,1.21711,0.009109,0.009109,0.009109
29,6770.73,1.60947,1.40957,1.25158,0.36186,0.29207,0.27888,0.1626,1.50417,1.26516,1.21032,0.009076,0.009076,0.009076
30,6997.51,1.60429,1.39471,1.24937,0.38312,0.29509,0.28563,0.16609,1.49467,1.2522,1.20543,0.009043,0.009043,0.009043
31,7218.14,1.60005,1.39241,1.24319,0.37214,0.30655,0.2884,0.16774,1.48505,1.24581,1.20302,0.00901,0.00901,0.00901
32,7441.24,1.58899,1.37232,1.23885,0.38275,0.30135,0.29285,0.17102,1.48204,1.24697,1.19877,0.008977,0.008977,0.008977
33,7665.6,1.59852,1.384,1.24726,0.38555,0.30108,0.29156,0.16954,1.48447,1.24222,1.19893,0.008944,0.008944,0.008944
34,7888.06,1.5923,1.36795,1.2355,0.3883,0.31315,0.29964,0.17409,1.47792,1.23229,1.19595,0.008911,0.008911,0.008911
35,8117.04,1.5862,1.36388,1.23125,0.39485,0.30678,0.2979,0.17291,1.48131,1.23086,1.19924,0.008878,0.008878,0.008878
36,8358.82,1.5887,1.36397,1.23784,0.39124,0.31637,0.30302,0.17614,1.47753,1.2241,1.19694,0.008845,0.008845,0.008845
37,8604.45,1.579,1.35664,1.233,0.39895,0.31362,0.30436,0.17855,1.46764,1.22275,1.18816,0.008812,0.008812,0.008812
38,8845.17,1.58596,1.35613,1.23233,0.39802,0.31659,0.30666,0.1797,1.4692,1.21701,1.18949,0.008779,0.008779,0.008779
39,9078.75,1.58518,1.35073,1.22587,0.39205,0.32064,0.30824,0.17994,1.47242,1.22675,1.18567,0.008746,0.008746,0.008746
40,9309.34,1.57656,1.34536,1.22012,0.39436,0.32027,0.30772,0.17907,1.47429,1.22094,1.18504,0.008713,0.008713,0.008713
41,9542.6,1.5803,1.33892,1.2206,0.39049,0.32347,0.30884,0.17979,1.4789,1.2268,1.18101,0.00868,0.00868,0.00868
42,9771.95,1.5804,1.34889,1.22131,0.38792,0.32187,0.30774,0.18051,1.4808,1.22291,1.1812,0.008647,0.008647,0.008647
43,10002.5,1.5839,1.34847,1.21609,0.39786,0.32313,0.31221,0.18331,1.47279,1.22496,1.17467,0.008614,0.008614,0.008614
44,10225.3,1.58466,1.34655,1.20999,0.39084,0.32471,0.31013,0.18264,1.47605,1.22559,1.1727,0.008581,0.008581,0.008581
45,10446.6,1.57517,1.33682,1.21263,0.41434,0.32406,0.31741,0.18694,1.47119,1.21797,1.16989,0.008548,0.008548,0.008548
46,10670.4,1.57795,1.33655,1.20835,0.4121,0.32208,0.31762,0.18638,1.4686,1.21469,1.16629,0.008515,0.008515,0.008515
47,10896.5,1.57989,1.33917,1.20595,0.40487,0.32535,0.31868,0.18711,1.47101,1.21504,1.16549,0.008482,0.008482,0.008482
48,11134.7,1.5631,1.3245,1.20249,0.40839,0.32919,0.32087,0.18863,1.47091,1.21076,1.1648,0.008449,0.008449,0.008449
49,11384.6,1.5611,1.32185,1.19493,0.41243,0.33086,0.32364,0.19069,1.46521,1.20603,1.16083,0.008416,0.008416,0.008416
50,11632.2,1.57353,1.32517,1.20022,0.40843,0.33567,0.32587,0.19215,1.46455,1.19952,1.16003,0.008383,0.008383,0.008383
51,11873,1.56441,1.31537,1.19692,0.40611,0.33595,0.32823,0.19351,1.46112,1.20022,1.15607,0.00835,0.00835,0.00835
52,12115.4,1.56432,1.31818,1.18998,0.41801,0.33515,0.3292,0.19456,1.46069,1.19807,1.15572,0.008317,0.008317,0.008317
53,12355.4,1.56424,1.31438,1.19432,0.41236,0.33746,0.33007,0.19408,1.4605,1.19381,1.15574,0.008284,0.008284,0.008284
54,12602.8,1.55726,1.3093,1.18971,0.41592,0.33243,0.32937,0.19362,1.45667,1.19147,1.15236,0.008251,0.008251,0.008251
55,12850.3,1.56772,1.31385,1.19325,0.41664,0.33564,0.33053,0.1946,1.45424,1.19113,1.15018,0.008218,0.008218,0.008218
56,13090.3,1.55362,1.30292,1.18901,0.42363,0.33979,0.33189,0.19444,1.4532,1.18587,1.15016,0.008185,0.008185,0.008185
57,13336,1.54877,1.29563,1.18592,0.42168,0.34574,0.3362,0.1986,1.44929,1.18528,1.1472,0.008152,0.008152,0.008152
58,13584.2,1.54935,1.29161,1.1872,0.42206,0.34243,0.33589,0.19941,1.44841,1.17921,1.1457,0.008119,0.008119,0.008119
59,13828.2,1.55109,1.29223,1.18531,0.42173,0.34,0.33295,0.19655,1.44765,1.17767,1.14668,0.008086,0.008086,0.008086
60,14065.6,1.54297,1.28721,1.18279,0.42948,0.34167,0.3383,0.20012,1.45028,1.17864,1.14669,0.008053,0.008053,0.008053
61,14311.6,1.54299,1.28426,1.18106,0.42877,0.34383,0.34001,0.20148,1.44452,1.17271,1.14331,0.00802,0.00802,0.00802
62,14558.8,1.54081,1.28276,1.18099,0.43425,0.34129,0.33808,0.19991,1.44246,1.17248,1.14348,0.007987,0.007987,0.007987
63,14806.2,1.54998,1.289,1.18177,0.42717,0.34524,0.33884,0.20002,1.44341,1.17228,1.143,0.007954,0.007954,0.007954
64,15049.9,1.54764,1.28158,1.18036,0.43307,0.3451,0.34172,0.20157,1.44373,1.16665,1.14183,0.007921,0.007921,0.007921
65,15290.9,1.53636,1.27281,1.17359,0.43924,0.34207,0.34126,0.20164,1.43886,1.16957,1.14042,0.007888,0.007888,0.007888
66,15537.5,1.53902,1.27907,1.17755,0.43338,0.34573,0.3416,0.2024,1.43955,1.17023,1.13886,0.007855,0.007855,0.007855
67,15775.6,1.53922,1.27924,1.17275,0.43024,0.34759,0.3436,0.20372,1.43494,1.16426,1.13698,0.007822,0.007822,0.007822
68,16017.9,1.53324,1.2696,1.17262,0.43337,0.34909,0.34624,0.20465,1.43616,1.16158,1.13754,0.007789,0.007789,0.007789
69,16263.6,1.53183,1.27058,1.17493,0.43223,0.35,0.34508,0.20459,1.43152,1.15862,1.13542,0.007756,0.007756,0.007756
70,16509.1,1.53113,1.27115,1.17415,0.43248,0.35324,0.34637,0.20536,1.43234,1.15799,1.13522,0.007723,0.007723,0.007723
71,16757.3,1.53316,1.26434,1.173,0.45397,0.34667,0.34875,0.20651,1.43141,1.15675,1.13529,0.00769,0.00769,0.00769
72,17006.3,1.53527,1.27207,1.17064,0.45377,0.34985,0.35065,0.20753,1.43194,1.15483,1.13464,0.007657,0.007657,0.007657
73,17254.7,1.52746,1.2582,1.16705,0.44667,0.34708,0.35031,0.2074,1.42963,1.15272,1.13285,0.007624,0.007624,0.007624
74,17500.8,1.52569,1.25628,1.16797,0.44593,0.35182,0.35177,0.20829,1.42832,1.15158,1.13212,0.007591,0.007591,0.007591
75,17739.6,1.5221,1.25574,1.16779,0.43285,0.35071,0.34918,0.20697,1.42712,1.15225,1.13177,0.007558,0.007558,0.007558
76,17981.9,1.5141,1.25022,1.1686,0.44087,0.35424,0.3528,0.20912,1.42743,1.14799,1.13169,0.007525,0.007525,0.007525
77,18228,1.52498,1.25722,1.16935,0.4545,0.35261,0.35406,0.20996,1.42601,1.14873,1.1293,0.007492,0.007492,0.007492
78,18474.9,1.52536,1.24808,1.16467,0.45512,0.35136,0.35396,0.21038,1.42658,1.14657,1.12915,0.007459,0.007459,0.007459
79,18719.8,1.51299,1.24385,1.16633,0.45162,0.34913,0.35128,0.20878,1.42688,1.14736,1.12878,0.007426,0.007426,0.007426
80,18963.8,1.51498,1.24391,1.16379,0.45654,0.35266,0.35472,0.21066,1.42388,1.14614,1.12791,0.007393,0.007393,0.007393
81,19210.9,1.52024,1.24158,1.16519,0.45713,0.35033,0.35585,0.21133,1.42237,1.14291,1.12737,0.00736,0.00736,0.00736
82,19453.2,1.51609,1.23619,1.15726,0.45621,0.35378,0.35551,0.21135,1.42049,1.14162,1.12532,0.007327,0.007327,0.007327
83,19695.1,1.51517,1.24095,1.16286,0.46122,0.35295,0.35543,0.2109,1.42013,1.14109,1.1259,0.007294,0.007294,0.007294
84,19939.6,1.51574,1.23661,1.16412,0.46599,0.34968,0.35805,0.21322,1.41648,1.13686,1.12488,0.007261,0.007261,0.007261
85,20176.6,1.51308,1.23594,1.16072,0.45797,0.35937,0.35975,0.21389,1.41678,1.13527,1.12454,0.007228,0.007228,0.007228
86,20420.9,1.51233,1.23224,1.15978,0.46346,0.3523,0.35805,0.21326,1.41569,1.13425,1.12454,0.007195,0.007195,0.007195
