epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,163.812,4.6003,4.62226,3.35082,0.01584,0.02208,0.00993,0.00303,3.43956,3.15253,1.91508,0.00332921,0.00332921,0.00332921
2,314.974,2.91539,2.64265,1.65782,0.04605,0.16364,0.06238,0.02592,2.40069,2.16137,1.36438,0.00664056,0.00664056,0.00664056
3,463.741,2.40231,2.19721,1.37237,0.2273,0.12364,0.07887,0.03642,2.14519,1.83626,1.23534,0.00992991,0.00992991,0.00992991
4,610.648,2.18167,1.98258,1.26752,0.27847,0.13914,0.1013,0.04845,1.97198,1.6567,1.17039,0.009901,0.009901,0.009901
5,760.515,2.01954,1.81154,1.19979,0.19187,0.16504,0.12323,0.06272,1.828,1.52781,1.13154,0.009868,0.009868,0.009868
6,909.419,1.94733,1.70807,1.16461,0.19833,0.17939,0.13844,0.07302,1.74062,1.45498,1.08762,0.009835,0.009835,0.009835
7,1063.6,1.86734,1.61898,1.13999,0.22145,0.19109,0.15227,0.07848,1.72549,1.4087,1.08231,0.009802,0.009802,0.009802
8,1221.01,1.81548,1.55959,1.12431,0.22262,0.19284,0.15819,0.08181,1.70314,1.36563,1.06973,0.009769,0.009769,0.009769
9,153.946,1.77752,1.50686,1.10949,0.26439,0.2015,0.17245,0.09196,1.64408,1.31824,1.055,0.009736,0.009736,0.009736
10,309.393,1.72997,1.45218,1.09649,0.26387,0.20105,0.1775,0.09481,1.61686,1.28597,1.0458,0.009703,0.009703,0.009703
11,466.435,1.70528,1.41738,1.08867,0.26968,0.21575,0.18957,0.10162,1.58703,1.24743,1.04105,0.00967,0.00967,0.00967
12,622.738,1.68414,1.39376,1.08205,0.28075,0.22308,0.19698,0.10563,1.57041,1.23638,1.0359,0.009637,0.009637,0.009637
