epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,257.65,3.92011,4.5654,3.45448,0.23628,0.0395,0.01829,0.00616,3.046,3.06994,2.38435,0.00333127,0.00333127,0.00333127
2,491.617,2.8279,3.01521,2.1505,0.05249,0.13261,0.06178,0.02731,2.41146,2.45704,1.81722,0.00664261,0.00664261,0.00664261
3,723.61,2.44869,2.61377,1.80885,0.07201,0.13401,0.07784,0.03721,2.2193,2.29324,1.65352,0.00993195,0.00993195,0.00993195
4,964.179,2.24081,2.39345,1.66393,0.24006,0.13404,0.09686,0.04824,2.09371,2.0355,1.57479,0.009901,0.009901,0.009901
5,1202.52,2.10381,2.2113,1.56813,0.2399,0.15422,0.11401,0.06043,1.91183,1.91825,1.46215,0.009868,0.009868,0.009868
6,1440.52,2.02621,2.09614,1.50558,0.14693,0.17589,0.1282,0.06704,1.8564,1.78159,1.42269,0.009835,0.009835,0.009835
7,1682.56,1.96242,2.00381,1.46804,0.17832,0.19693,0.14587,0.07798,1.78688,1.69602,1.38069,0.009802,0.009802,0.009802
8,1940.82,1.91939,1.93043,1.43824,0.21006,0.20642,0.15937,0.08428,1.76404,1.66323,1.36992,0.009769,0.009769,0.009769
9,2174.34,1.88253,1.87816,1.41623,0.20685,0.21812,0.16892,0.09063,1.74287,1.62705,1.34701,0.009736,0.009736,0.009736
10,2415.52,1.85302,1.81203,1.39712,0.22225,0.22289,0.1774,0.09757,1.71992,1.58033,1.33678,0.009703,0.009703,0.009703
11,2648.82,1.83124,1.78177,1.37802,0.23945,0.22607,0.18526,0.10045,1.68815,1.53871,1.31732,0.00967,0.00967,0.00967
12,2884.12,1.80264,1.73704,1.37178,0.26936,0.23377,0.20169,0.11137,1.66643,1.49981,1.31801,0.009637,0.009637,0.009637
13,3119.69,1.78994,1.70705,1.35392,0.25683,0.22926,0.19978,0.1112,1.67638,1.51003,1.30463,0.009604,0.009604,0.009604
14,3355.81,1.77586,1.68286,1.34766,0.27127,0.24382,0.20843,0.1173,1.63661,1.47981,1.29184,0.009571,0.009571,0.009571
