epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,236.347,4.00046,4.68706,3.53514,0.21733,0.0241,0.01127,0.00331,3.27635,3.48233,2.50924,0.00332921,0.00332921,0.00332921
2,504.174,2.96569,3.10667,2.26314,0.0465,0.11365,0.04855,0.02003,2.55984,2.55232,1.90734,0.00664056,0.00664056,0.00664056
3,1280.2,2.51161,2.64294,1.86436,0.19117,0.11967,0.07121,0.03323,2.30277,2.25019,1.69175,0.00992991,0.00992991,0.00992991
4,1501.73,2.25227,2.38235,1.67226,0.32803,0.12451,0.09586,0.04628,2.07076,2.01825,1.57771,0.009901,0.009901,0.009901
5,1714.24,2.10748,2.19235,1.56758,0.24135,0.16183,0.11572,0.05961,1.95048,1.88861,1.49152,0.009868,0.009868,0.009868
6,3469.24,2.03402,2.06807,1.5113,0.15392,0.17286,0.12816,0.06658,1.85484,1.75537,1.44236,0.009835,0.009835,0.009835
7,3676.41,1.96134,1.97484,1.47131,0.29568,0.1764,0.14081,0.07398,1.82895,1.71444,1.40551,0.009802,0.009802,0.009802
8,3883.88,1.91256,1.90033,1.44479,0.28588,0.18899,0.15394,0.08114,1.79604,1.65642,1.38917,0.009769,0.009769,0.009769
9,4088.22,1.87203,1.83681,1.42216,0.20409,0.20517,0.16342,0.08668,1.76494,1.61259,1.36226,0.009736,0.009736,0.009736
10,4291.16,1.83665,1.77542,1.3986,0.21861,0.20847,0.17284,0.09357,1.7149,1.55432,1.34798,0.009703,0.009703,0.009703
11,4508.13,1.81602,1.73408,1.3783,0.22177,0.22305,0.17822,0.09624,1.69427,1.55476,1.32691,0.00967,0.00967,0.00967
12,4707.68,1.79676,1.70029,1.36809,0.25657,0.22062,0.19841,0.10929,1.67059,1.49803,1.32074,0.009637,0.009637,0.009637
13,4905.05,1.77821,1.66934,1.35748,0.25406,0.23674,0.20389,0.11276,1.63989,1.45983,1.30473,0.009604,0.009604,0.009604
14,5104.08,1.74922,1.63267,1.34728,0.26366,0.24056,0.2155,0.11959,1.62611,1.43515,1.2945,0.009571,0.009571,0.009571
15,5314.64,1.747,1.60772,1.33657,0.27459,0.25002,0.22316,0.12285,1.62418,1.41856,1.29661,0.009538,0.009538,0.009538
16,5511.8,1.72551,1.57804,1.33092,0.28721,0.25347,0.22573,0.12677,1.61178,1.41359,1.28417,0.009505,0.009505,0.009505
17,5716.47,1.71817,1.56564,1.32384,0.29005,0.24272,0.22341,0.12445,1.62236,1.3979,1.28357,0.009472,0.009472,0.009472
18,5916,1.70499,1.53819,1.31665,0.29858,0.25764,0.23746,0.13367,1.58129,1.38092,1.27196,0.009439,0.009439,0.009439
19,6118.16,1.69177,1.52424,1.31327,0.31545,0.26283,0.24219,0.13531,1.58371,1.36596,1.27234,0.009406,0.009406,0.009406
20,6330.53,1.68312,1.50849,1.30522,0.30797,0.26009,0.23564,0.13383,1.57749,1.36071,1.26411,0.009373,0.009373,0.009373
21,6534.49,1.68442,1.49671,1.30448,0.32094,0.27511,0.25454,0.1442,1.56341,1.33429,1.25872,0.00934,0.00934,0.00934
22,6743.01,1.67111,1.46977,1.29726,0.32795,0.27592,0.25753,0.14633,1.55646,1.31813,1.25566,0.009307,0.009307,0.009307
