epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,241.746,3.93463,4.3853,3.43356,0.22676,0.04173,0.01661,0.00566,3.09067,3.08071,2.44083,0.00333127,0.00333127,0.00333127
2,459.239,2.7665,2.99128,2.1225,0.19162,0.09537,0.05995,0.02681,2.35367,2.36413,1.78348,0.00663162,0.00663162,0.00663162
3,672.523,2.36972,2.58296,1.75302,0.19485,0.15364,0.0828,0.03893,2.17029,2.24836,1.63154,0.00989896,0.00989896,0.00989896
4,887.6,2.19085,2.35201,1.61953,0.23244,0.13343,0.10904,0.05546,2.00014,1.94573,1.51489,0.0098515,0.0098515,0.0098515
5,1098.23,2.07159,2.16935,1.53399,0.16975,0.16167,0.1257,0.06483,1.90337,1.86177,1.43664,0.009802,0.009802,0.009802
6,1310.55,1.99724,2.04155,1.47459,0.22754,0.18656,0.13455,0.07052,1.84124,1.73694,1.39522,0.0097525,0.0097525,0.0097525
7,1520.97,1.93179,1.94933,1.43773,0.21848,0.20146,0.15514,0.08347,1.77875,1.65286,1.36204,0.009703,0.009703,0.009703
8,1733.9,1.89111,1.86522,1.41151,0.24368,0.20913,0.16652,0.09,1.75018,1.60786,1.34259,0.0096535,0.0096535,0.0096535
9,1943.71,1.85123,1.81121,1.38787,0.23108,0.21844,0.17685,0.0953,1.72643,1.58529,1.32739,0.009604,0.009604,0.009604
10,2157.13,1.81846,1.74267,1.36816,0.24853,0.23015,0.18398,0.10203,1.69634,1.54889,1.31217,0.0095545,0.0095545,0.0095545
11,2365.82,1.80052,1.70903,1.35114,0.27007,0.23812,0.19825,0.10826,1.68338,1.50601,1.29947,0.009505,0.009505,0.009505
12,2575.08,1.77135,1.6655,1.34343,0.28065,0.2491,0.21159,0.11497,1.64526,1.46227,1.29111,0.0094555,0.0094555,0.0094555
13,2779.58,1.75858,1.63562,1.32563,0.29019,0.24565,0.21004,0.11678,1.65166,1.45341,1.28335,0.009406,0.009406,0.009406
14,2983.7,1.74479,1.60742,1.31874,0.28382,0.24087,0.2103,0.11726,1.63211,1.44471,1.27083,0.0093565,0.0093565,0.0093565
15,3187.98,1.72635,1.57799,1.30671,0.30083,0.25178,0.22309,0.1256,1.60393,1.40172,1.2623,0.009307,0.009307,0.009307
16,3392.59,1.71484,1.56691,1.30319,0.31666,0.26756,0.23523,0.131,1.59902,1.38426,1.2576,0.0092575,0.0092575,0.0092575
17,3593.85,1.70168,1.53656,1.29518,0.31298,0.26128,0.23805,0.13429,1.59847,1.37325,1.25262,0.009208,0.009208,0.009208
18,3802.84,1.69009,1.51834,1.28497,0.34217,0.26546,0.24409,0.13718,1.59092,1.3675,1.25589,0.0091585,0.0091585,0.0091585
19,4013.41,1.67555,1.50187,1.28301,0.32291,0.2715,0.24172,0.13584,1.57138,1.3489,1.24071,0.009109,0.009109,0.009109
20,4227.79,1.67643,1.49189,1.27877,0.34238,0.27375,0.24811,0.14144,1.56708,1.3531,1.23295,0.0090595,0.0090595,0.0090595
21,4440.18,1.658,1.47041,1.27303,0.33943,0.27917,0.26017,0.14642,1.54958,1.31877,1.23109,0.00901,0.00901,0.00901
