epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,205.965,4.5195,4.75333,3.17307,0.14198,0.0267,0.01391,0.00443,3.25579,2.75426,1.90196,0.00333127,0.00333127,0.00333127
2,389.287,2.93387,2.72256,1.66218,0.2013,0.09806,0.05914,0.02527,2.43844,2.10711,1.38058,0.00663162,0.00663162,0.00663162
3,571.741,2.4549,2.28552,1.38079,0.30502,0.12068,0.08038,0.03726,2.14117,1.86149,1.25144,0.00989896,0.00989896,0.00989896
4,752.658,2.21252,2.05723,1.28059,0.25831,0.13367,0.10108,0.04958,1.97256,1.67507,1.1691,0.0098515,0.0098515,0.0098515
5,930.722,2.05246,1.88218,1.2171,0.15976,0.15844,0.11489,0.05745,1.88209,1.61786,1.13825,0.009802,0.009802,0.009802
6,1108.75,1.96604,1.78009,1.17656,0.1734,0.17159,0.12616,0.06486,1.81205,1.51203,1.11006,0.0097525,0.0097525,0.0097525
7,1289.8,1.89794,1.69649,1.15759,0.2231,0.18494,0.1461,0.07722,1.73443,1.44565,1.09137,0.009703,0.009703,0.009703
8,1469.07,1.8449,1.62719,1.13669,0.22754,0.18995,0.15634,0.08326,1.72159,1.39486,1.08942,0.0096535,0.0096535,0.0096535
9,1648.05,1.80729,1.58315,1.12152,0.22732,0.20354,0.16127,0.08618,1.68218,1.37693,1.06767,0.009604,0.009604,0.009604
10,1825.71,1.77112,1.52161,1.10835,0.24977,0.20447,0.17571,0.09476,1.65602,1.33852,1.06416,0.0095545,0.0095545,0.0095545
11,2003.34,1.75267,1.49335,1.09822,0.27241,0.20963,0.18294,0.09759,1.63267,1.31541,1.05171,0.009505,0.009505,0.009505
12,2181.16,1.71838,1.45627,1.09388,0.28029,0.22389,0.19586,0.10668,1.5943,1.27288,1.04871,0.0094555,0.0094555,0.0094555
13,2359.64,1.70705,1.43123,1.08353,0.27059,0.22287,0.19035,0.10495,1.60592,1.27431,1.04167,0.009406,0.009406,0.009406
14,2539.36,1.69036,1.40645,1.07937,0.28248,0.23163,0.20418,0.1122,1.57079,1.24726,1.03517,0.0093565,0.0093565,0.0093565
15,2720.24,1.6696,1.38152,1.07121,0.29819,0.2371,0.21078,0.11567,1.55417,1.2274,1.0342,0.009307,0.009307,0.009307
16,2898.29,1.6544,1.36632,1.06906,0.30122,0.23927,0.22152,0.11987,1.54429,1.21606,1.0342,0.0092575,0.0092575,0.0092575
17,3079.78,1.63992,1.34939,1.06646,0.31817,0.23625,0.22312,0.12282,1.53728,1.1985,1.0288,0.009208,0.009208,0.009208
