epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,218.819,3.7192,4.01602,3.24685,0.02082,0.05444,0.01974,0.00728,2.94358,2.9315,2.31813,0.00333127,0.00333127,0.00333127
2,416.701,2.77594,2.95981,2.10973,0.06925,0.14015,0.05781,0.02628,2.42166,2.43669,1.8299,0.00664261,0.00664261,0.00664261
3,613.137,2.40581,2.58742,1.78507,0.06882,0.15368,0.08055,0.03802,2.13116,2.2134,1.62416,0.00993195,0.00993195,0.00993195
4,808.008,2.21345,2.3782,1.6456,0.30045,0.1368,0.09915,0.05012,2.01757,1.98673,1.5178,0.009901,0.009901,0.009901
5,1002.55,2.09263,2.19763,1.55819,0.15205,0.16334,0.11455,0.05952,1.90626,1.89823,1.45305,0.009868,0.009868,0.009868
6,1196.26,2.01989,2.08301,1.50041,0.16458,0.17957,0.12841,0.06914,1.86953,1.78568,1.42153,0.009835,0.009835,0.009835
7,1391.37,1.95977,1.98789,1.46737,0.20547,0.19814,0.14812,0.07809,1.802,1.68682,1.39515,0.009802,0.009802,0.009802
8,1585.53,1.9181,1.91126,1.4384,0.22413,0.20144,0.16295,0.0891,1.7801,1.64057,1.37739,0.009769,0.009769,0.009769
9,1777.68,1.87795,1.85284,1.41421,0.2261,0.20595,0.16701,0.09105,1.74973,1.61904,1.35085,0.009736,0.009736,0.009736
10,1971.99,1.8481,1.78993,1.39427,0.22519,0.21429,0.17593,0.09658,1.71744,1.57655,1.3358,0.009703,0.009703,0.009703
11,2166.98,1.82645,1.75513,1.37481,0.2523,0.22168,0.18999,0.10426,1.69392,1.53392,1.3202,0.00967,0.00967,0.00967
12,2361.72,1.79489,1.7147,1.36569,0.27418,0.23184,0.1995,0.1096,1.67076,1.48956,1.31173,0.009637,0.009637,0.009637
13,2556.13,1.78347,1.68793,1.34957,0.27822,0.23492,0.20057,0.11242,1.66522,1.47394,1.29888,0.009604,0.009604,0.009604
14,2749.97,1.76839,1.6567,1.34266,0.2915,0.24128,0.2128,0.11926,1.63249,1.46501,1.28585,0.009571,0.009571,0.009571
15,2943.47,1.75172,1.63227,1.33013,0.29107,0.24386,0.21763,0.12147,1.62527,1.42387,1.28257,0.009538,0.009538,0.009538
16,3136.85,1.74386,1.61715,1.32884,0.28949,0.2483,0.22027,0.12151,1.62121,1.42024,1.2761,0.009505,0.009505,0.009505
17,3330.25,1.72841,1.59015,1.32001,0.29952,0.24664,0.22467,0.12591,1.61147,1.40129,1.27416,0.009472,0.009472,0.009472
18,3524.7,1.71821,1.57026,1.31048,0.30649,0.25135,0.23082,0.1302,1.601,1.39378,1.26819,0.009439,0.009439,0.009439
19,3718.54,1.70522,1.55523,1.30952,0.30862,0.25813,0.23684,0.135,1.58283,1.37688,1.25543,0.009406,0.009406,0.009406
20,3911.15,1.7074,1.54908,1.3061,0.32897,0.25902,0.24067,0.13685,1.58301,1.37762,1.25213,0.009373,0.009373,0.009373
21,4104.32,1.68961,1.53027,1.29907,0.32728,0.26286,0.24547,0.13785,1.57629,1.35839,1.2506,0.00934,0.00934,0.00934
22,4299.46,1.68431,1.51465,1.28828,0.34373,0.26727,0.25289,0.14369,1.56788,1.34543,1.24344,0.009307,0.009307,0.009307
23,4493.62,1.67141,1.49591,1.29015,0.34149,0.26694,0.25358,0.14463,1.56302,1.33838,1.24273,0.009274,0.009274,0.009274
24,4688.65,1.6686,1.48939,1.28601,0.36013,0.26088,0.25505,0.14596,1.55813,1.33593,1.24061,0.009241,0.009241,0.009241
25,4882.47,1.65829,1.48195,1.28077,0.35682,0.26649,0.25836,0.14741,1.55817,1.33011,1.2388,0.009208,0.009208,0.009208
26,5075.59,1.65122,1.46542,1.27594,0.35738,0.27197,0.26038,0.14927,1.55013,1.32458,1.22946,0.009175,0.009175,0.009175
27,5271.64,1.65389,1.46598,1.26948,0.35215,0.27291,0.26627,0.15151,1.55193,1.32096,1.22823,0.009142,0.009142,0.009142
28,5465.46,1.64711,1.45663,1.26912,0.36332,0.2879,0.27521,0.1573,1.54863,1.3062,1.23147,0.009109,0.009109,0.009109
29,5658.46,1.6388,1.44531,1.26325,0.34822,0.2813,0.26669,0.15429,1.54129,1.31227,1.22031,0.009076,0.009076,0.009076
30,5853.47,1.63697,1.43919,1.26097,0.3691,0.29219,0.27686,0.15863,1.52972,1.2909,1.21516,0.009043,0.009043,0.009043
31,6047.05,1.63891,1.44202,1.25371,0.3702,0.29144,0.28287,0.16132,1.54109,1.29923,1.21628,0.00901,0.00901,0.00901
32,6240.75,1.63174,1.42523,1.24798,0.38392,0.28657,0.28221,0.16207,1.53386,1.29255,1.20556,0.008977,0.008977,0.008977
33,6435.91,1.64358,1.44327,1.25415,0.37821,0.28574,0.28155,0.16321,1.54074,1.30343,1.20698,0.008944,0.008944,0.008944
34,6629.46,1.64249,1.43098,1.24505,0.39603,0.29128,0.29064,0.16883,1.53444,1.28749,1.20177,0.008911,0.008911,0.008911
35,6824.19,1.63781,1.42856,1.23704,0.37816,0.29592,0.2845,0.16504,1.53938,1.2973,1.20038,0.008878,0.008878,0.008878
36,7017.62,1.63888,1.42967,1.24093,0.37301,0.29909,0.29112,0.16769,1.53283,1.28501,1.19552,0.008845,0.008845,0.008845
37,7211.84,1.63256,1.42319,1.23715,0.37083,0.30125,0.29123,0.16955,1.52547,1.2853,1.19301,0.008812,0.008812,0.008812
38,7406.68,1.63671,1.41823,1.2347,0.38299,0.30127,0.29321,0.17029,1.52564,1.27859,1.18917,0.008779,0.008779,0.008779
39,7601.93,1.63343,1.40962,1.22889,0.3905,0.3037,0.29672,0.17347,1.52026,1.27587,1.18412,0.008746,0.008746,0.008746
40,7796.56,1.62229,1.40012,1.2235,0.40182,0.30555,0.30154,0.1756,1.51869,1.26656,1.18405,0.008713,0.008713,0.008713
41,7990.61,1.61696,1.39133,1.22239,0.40576,0.29993,0.29826,0.1739,1.51209,1.26767,1.17988,0.00868,0.00868,0.00868
42,8184.4,1.61372,1.39654,1.22281,0.39891,0.30681,0.302,0.17734,1.51567,1.26419,1.17973,0.008647,0.008647,0.008647
43,8378.29,1.61873,1.39317,1.22044,0.38887,0.31314,0.30239,0.17677,1.50938,1.26092,1.17619,0.008614,0.008614,0.008614
44,8572.31,1.61522,1.38768,1.21522,0.39623,0.30764,0.30202,0.17696,1.51365,1.26129,1.17622,0.008581,0.008581,0.008581
45,8766.89,1.60472,1.3761,1.21775,0.40143,0.31584,0.30908,0.18103,1.50512,1.24933,1.17356,0.008548,0.008548,0.008548
46,8961.34,1.60609,1.37418,1.2137,0.41364,0.30786,0.30833,0.18048,1.50202,1.24779,1.17188,0.008515,0.008515,0.008515
47,9155.33,1.60861,1.3769,1.21356,0.4011,0.31042,0.30552,0.17916,1.50558,1.24952,1.17297,0.008482,0.008482,0.008482
48,9349.53,1.59093,1.36079,1.21053,0.42009,0.30782,0.31141,0.18269,1.50166,1.24487,1.17019,0.008449,0.008449,0.008449
49,9543.34,1.58986,1.36015,1.20319,0.41593,0.31546,0.31227,0.18311,1.49848,1.23756,1.16746,0.008416,0.008416,0.008416
50,9739.01,1.60045,1.36123,1.20781,0.41371,0.31722,0.31464,0.1842,1.49563,1.23793,1.16688,0.008383,0.008383,0.008383
51,9936,1.59125,1.34894,1.20482,0.41517,0.31832,0.31545,0.18629,1.4929,1.23359,1.16341,0.00835,0.00835,0.00835
52,10130.2,1.59091,1.35373,1.19912,0.42081,0.32,0.3196,0.18837,1.48763,1.22265,1.16244,0.008317,0.008317,0.008317
53,10324,1.59227,1.35235,1.20343,0.41493,0.31919,0.31805,0.18724,1.4857,1.22295,1.16049,0.008284,0.008284,0.008284
54,10518,1.58584,1.34192,1.19907,0.41853,0.32396,0.32172,0.18973,1.4866,1.22192,1.1605,0.008251,0.008251,0.008251
55,10711.2,1.59448,1.34964,1.20309,0.42635,0.31306,0.31747,0.18923,1.4825,1.22319,1.15767,0.008218,0.008218,0.008218
56,10903.8,1.58129,1.34115,1.19878,0.42784,0.31924,0.32163,0.18999,1.48229,1.21771,1.15942,0.008185,0.008185,0.008185
57,11100.2,1.57566,1.32856,1.19515,0.42165,0.32426,0.32394,0.19097,1.47727,1.21775,1.15589,0.008152,0.008152,0.008152
58,11303.8,1.57428,1.327,1.19792,0.43197,0.32224,0.32447,0.19163,1.47713,1.21355,1.15432,0.008119,0.008119,0.008119
59,11496.4,1.5772,1.32914,1.19398,0.44705,0.31519,0.32552,0.19344,1.4781,1.21152,1.15661,0.008086,0.008086,0.008086
