epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,288.315,3.40336,13.5529,1.5111,0.78921,0.01551,0.00965,0.00242,3.53236,3.10776,1.29627,0.00333214,0.00333214,0.00333214
2,543.438,3.59271,3.24107,1.2467,0.32785,0.04848,0.02923,0.00789,3.16254,2.65468,1.1856,0.00663248,0.00663248,0.00663248
3,797.201,3.29617,2.75233,1.15925,0.32115,0.05568,0.03912,0.01115,2.9836,2.4604,1.12722,0.00989982,0.00989982,0.00989982
4,1050.16,3.1422,2.57638,1.1168,0.33046,0.05692,0.04382,0.01246,2.95257,2.36986,1.09772,0.0098515,0.0098515,0.0098515
5,1302.93,3.00352,2.44669,1.09456,0.17313,0.07066,0.0576,0.01873,2.81581,2.30588,1.08035,0.009802,0.009802,0.009802
6,1552.97,2.9079,2.3056,1.07299,0.32635,0.09671,0.08267,0.02986,2.70895,2.19727,1.06413,0.0097525,0.0097525,0.0097525
7,1804.23,2.87408,2.21353,1.05805,0.34437,0.09812,0.09236,0.0338,2.66969,2.12504,1.05992,0.009703,0.009703,0.009703
8,2053.43,2.83289,2.18714,1.05449,0.37664,0.10978,0.10303,0.03843,2.59077,2.01851,1.05001,0.0096535,0.0096535,0.0096535
9,2304.76,2.80043,2.12376,1.04728,0.36938,0.08706,0.1134,0.04345,2.59158,2.08511,1.03915,0.009604,0.009604,0.009604
10,2555.18,2.76588,2.07224,1.04318,0.18855,0.12694,0.11196,0.04095,2.54362,1.96557,1.03553,0.0095545,0.0095545,0.0095545
11,2807.42,2.73888,2.04343,1.03887,0.20272,0.12455,0.1195,0.04561,2.51222,1.93962,1.02992,0.009505,0.009505,0.009505
12,3057.38,2.70997,2.00198,1.03466,0.20324,0.1211,0.12496,0.04583,2.53809,1.92559,1.02757,0.0094555,0.0094555,0.0094555
13,3309.16,2.70404,1.98994,1.03207,0.33932,0.13501,0.12982,0.0485,2.49239,1.92742,1.02163,0.009406,0.009406,0.009406
14,3558.99,2.68122,1.94954,1.025,0.33574,0.15358,0.14369,0.05471,2.44234,1.8465,1.01962,0.0093565,0.0093565,0.0093565
15,3808.67,2.65373,1.93248,1.02552,0.32413,0.15472,0.13977,0.05285,2.42556,1.83099,1.01656,0.009307,0.009307,0.009307
16,4059.95,2.65565,1.92977,1.02308,0.33754,0.15977,0.14839,0.05773,2.41623,1.81489,1.01721,0.0092575,0.0092575,0.0092575
