epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,347.749,5.40015,5.9368,4.09056,0.01032,0.00686,0.00309,0.00092,4.00664,3.18197,2.78673,0.00333127,0.00333127,0.00333127
2,660.787,3.09085,2.86029,1.88574,0.1995,0.11947,0.06626,0.02946,2.35297,2.00015,1.36164,0.00663162,0.00663162,0.00663162
3,966.866,2.32126,2.12874,1.34165,0.23538,0.12711,0.09721,0.04756,2.04594,1.7343,1.20014,0.00989896,0.00989896,0.00989896
4,1270.4,2.05745,1.87531,1.22603,0.1922,0.17009,0.12468,0.0646,1.8132,1.56021,1.12315,0.0098515,0.0098515,0.0098515
5,1577.88,1.8805,1.66992,1.15633,0.2244,0.1768,0.14105,0.0734,1.77443,1.49077,1.09683,0.009802,0.009802,0.009802
6,1881.89,1.79063,1.55572,1.11756,0.26158,0.20781,0.17908,0.09751,1.61069,1.32138,1.0534,0.0097525,0.0097525,0.0097525
7,2210.18,1.70971,1.46568,1.09471,0.29581,0.22586,0.19852,0.1114,1.54985,1.24715,1.03561,0.009703,0.009703,0.009703
8,2549.82,1.65975,1.39377,1.0763,0.29809,0.22454,0.21476,0.12005,1.51967,1.20122,1.02346,0.0096535,0.0096535,0.0096535
9,2872.55,1.6158,1.34642,1.06082,0.32495,0.24666,0.23313,0.13047,1.48317,1.17584,1.01283,0.009604,0.009604,0.009604
10,3176.29,1.57648,1.28807,1.04709,0.32586,0.25613,0.23981,0.13521,1.45176,1.14714,1.00429,0.0095545,0.0095545,0.0095545
11,3480.45,1.55282,1.25627,1.03689,0.35583,0.25616,0.25766,0.1442,1.44237,1.11528,0.99968,0.009505,0.009505,0.009505
12,3788.17,1.52449,1.22261,1.03334,0.35392,0.27398,0.2617,0.14817,1.41268,1.0873,0.99255,0.0094555,0.0094555,0.0094555
13,4123.12,1.50385,1.19843,1.02143,0.36751,0.28426,0.26836,0.1523,1.40143,1.08007,0.98458,0.009406,0.009406,0.009406
14,4458.47,1.48733,1.17477,1.01813,0.3793,0.28975,0.27914,0.16016,1.36809,1.05332,0.97779,0.0093565,0.0093565,0.0093565
15,4799,1.46735,1.15024,1.0116,0.39371,0.30148,0.29472,0.17156,1.35264,1.03095,0.97345,0.009307,0.009307,0.009307
16,5139.14,1.45161,1.13697,1.00767,0.3993,0.31045,0.2989,0.17119,1.33676,1.01715,0.97023,0.0092575,0.0092575,0.0092575
17,5463.14,1.43907,1.11818,1.00597,0.41895,0.30846,0.30092,0.17484,1.32627,1.00234,0.96776,0.009208,0.009208,0.009208
18,5809.97,1.42291,1.10278,0.99722,0.41741,0.30956,0.30335,0.17637,1.31879,1.00615,0.9649,0.0091585,0.0091585,0.0091585
19,6136.31,1.41039,1.08295,0.99789,0.41203,0.32363,0.31241,0.1817,1.31038,0.98157,0.962,0.009109,0.009109,0.009109
20,6505.97,1.40667,1.07974,0.99433,0.40976,0.32169,0.30993,0.1804,1.30181,0.99246,0.95749,0.0090595,0.0090595,0.0090595
21,6860.28,1.39197,1.06032,0.9913,0.4264,0.31779,0.31508,0.18395,1.29456,0.97585,0.95799,0.00901,0.00901,0.00901
22,7208.6,1.38064,1.05081,0.98462,0.42593,0.32227,0.32038,0.18796,1.28991,0.96844,0.95625,0.0089605,0.0089605,0.0089605
23,7546.06,1.36948,1.03633,0.98617,0.42284,0.33499,0.32541,0.19137,1.28146,0.95784,0.95289,0.008911,0.008911,0.008911
24,7871.4,1.36049,1.02681,0.98339,0.43195,0.33708,0.32869,0.19481,1.27555,0.9566,0.95348,0.0088615,0.0088615,0.0088615
25,8175.36,1.35285,1.01738,0.97946,0.45263,0.33704,0.33541,0.196,1.27097,0.94139,0.9511,0.008812,0.008812,0.008812
26,8479.73,1.343,1.00435,0.97737,0.44591,0.33579,0.33574,0.19777,1.26778,0.94281,0.94731,0.0087625,0.0087625,0.0087625
27,8802.33,1.34525,1.00737,0.97517,0.45137,0.34453,0.34296,0.2028,1.25631,0.92732,0.94501,0.008713,0.008713,0.008713
28,9133.06,1.33277,0.99294,0.97296,0.44611,0.33949,0.34049,0.20155,1.25321,0.92499,0.9465,0.0086635,0.0086635,0.0086635
29,9468.8,1.32637,0.98599,0.97077,0.46824,0.34201,0.34897,0.20631,1.25255,0.91619,0.94532,0.008614,0.008614,0.008614
30,9807.82,1.31911,0.97622,0.97022,0.45983,0.35222,0.35457,0.21045,1.23564,0.90863,0.94116,0.0085645,0.0085645,0.0085645
31,10139,1.31655,0.97442,0.96761,0.45157,0.35548,0.35298,0.20927,1.23315,0.90351,0.93835,0.008515,0.008515,0.008515
32,10476.1,1.30285,0.95816,0.96396,0.45978,0.35478,0.35698,0.21294,1.23238,0.89775,0.94001,0.0084655,0.0084655,0.0084655
33,10809.5,1.31031,0.96551,0.96902,0.46071,0.35832,0.356,0.21249,1.22978,0.9017,0.93848,0.008416,0.008416,0.008416
34,11142.9,1.30909,0.95332,0.9642,0.46297,0.36182,0.36395,0.21726,1.22498,0.8877,0.93674,0.0083665,0.0083665,0.0083665
35,11476.8,1.30042,0.95264,0.96076,0.46887,0.35997,0.36864,0.22103,1.22287,0.88313,0.93616,0.008317,0.008317,0.008317
36,11812.5,1.29969,0.95046,0.96372,0.46063,0.36894,0.36644,0.21881,1.21963,0.88291,0.93525,0.0082675,0.0082675,0.0082675
37,12149.3,1.29101,0.94141,0.96173,0.47078,0.36515,0.367,0.22027,1.20765,0.87719,0.93272,0.008218,0.008218,0.008218
38,12485.6,1.29156,0.93883,0.9623,0.48085,0.35992,0.36927,0.22134,1.21019,0.87488,0.93364,0.0081685,0.0081685,0.0081685
39,12815.4,1.28671,0.93166,0.95744,0.47484,0.3693,0.37555,0.22561,1.20175,0.87368,0.93093,0.008119,0.008119,0.008119
40,13153.1,1.27769,0.9218,0.95515,0.48059,0.3671,0.37537,0.22643,1.20119,0.86728,0.92946,0.0080695,0.0080695,0.0080695
41,13470.5,1.27254,0.9156,0.95485,0.48374,0.37093,0.37808,0.22729,1.19912,0.86423,0.92969,0.00802,0.00802,0.00802
42,13794.8,1.26905,0.91316,0.95427,0.48207,0.37152,0.37771,0.22784,1.20143,0.85918,0.92847,0.0079705,0.0079705,0.0079705
43,14189.5,1.27174,0.91208,0.95443,0.48344,0.37704,0.38126,0.22924,1.19164,0.85848,0.92778,0.007921,0.007921,0.007921
44,14522.8,1.26782,0.90683,0.9531,0.48453,0.38199,0.38522,0.2324,1.19044,0.85411,0.92753,0.0078715,0.0078715,0.0078715
45,14859.1,1.25822,0.89871,0.95263,0.48577,0.37822,0.38399,0.23125,1.19066,0.85277,0.9279,0.007822,0.007822,0.007822
46,15191.5,1.25676,0.89599,0.95031,0.49006,0.37691,0.38611,0.2323,1.18691,0.84618,0.92721,0.0077725,0.0077725,0.0077725
47,15529.3,1.25877,0.89753,0.95116,0.48312,0.38659,0.38687,0.23345,1.18728,0.84541,0.9263,0.007723,0.007723,0.007723
48,15863.7,1.24227,0.88471,0.94875,0.49119,0.38861,0.39156,0.23529,1.18416,0.84249,0.92592,0.0076735,0.0076735,0.0076735
49,16199.1,1.24111,0.88437,0.94581,0.50008,0.38525,0.39396,0.23886,1.1773,0.83427,0.92436,0.007624,0.007624,0.007624
50,16534.6,1.24901,0.8839,0.948,0.50567,0.38504,0.39445,0.23877,1.17744,0.83456,0.92301,0.0075745,0.0075745,0.0075745
51,16872,1.23982,0.87355,0.94612,0.50405,0.38409,0.39494,0.23754,1.17514,0.83937,0.92288,0.007525,0.007525,0.007525
52,17208.6,1.23609,0.87479,0.94271,0.50824,0.38489,0.39875,0.24177,1.1729,0.83108,0.92163,0.0074755,0.0074755,0.0074755
53,17537.3,1.23951,0.87247,0.94569,0.51166,0.38658,0.39922,0.24178,1.17163,0.83038,0.92231,0.007426,0.007426,0.007426
54,17858.9,1.23463,0.86999,0.943,0.50693,0.393,0.40084,0.24341,1.16765,0.82375,0.92128,0.0073765,0.0073765,0.0073765
55,18175.4,1.23928,0.86964,0.94589,0.50566,0.39006,0.39694,0.23973,1.16829,0.82963,0.92088,0.007327,0.007327,0.007327
56,18506.7,1.22514,0.86333,0.94254,0.51909,0.38482,0.39896,0.24292,1.17072,0.82353,0.92296,0.0072775,0.0072775,0.0072775
57,18840.2,1.22196,0.85307,0.93982,0.50341,0.38773,0.39773,0.24299,1.16367,0.82537,0.91978,0.007228,0.007228,0.007228
58,19167.9,1.22072,0.85239,0.94192,0.51858,0.39239,0.40245,0.24563,1.15859,0.81916,0.91828,0.0071785,0.0071785,0.0071785
59,19502.6,1.22122,0.85055,0.94032,0.5104,0.39897,0.40415,0.24658,1.15971,0.81563,0.91892,0.007129,0.007129,0.007129
60,19821.7,1.21385,0.84508,0.93994,0.50638,0.39912,0.40378,0.24561,1.15754,0.81664,0.91855,0.0070795,0.0070795,0.0070795
61,20125.7,1.21707,0.84666,0.93867,0.51577,0.39642,0.40623,0.24785,1.15545,0.81505,0.91818,0.00703,0.00703,0.00703
62,20433.2,1.20956,0.84121,0.93794,0.5223,0.3931,0.40711,0.24899,1.15204,0.81116,0.91624,0.0069805,0.0069805,0.0069805
63,20736.3,1.21563,0.84394,0.93861,0.51675,0.39608,0.40795,0.2497,1.1524,0.81223,0.91674,0.006931,0.006931,0.006931
64,21040.2,1.21639,0.8415,0.93951,0.52271,0.39433,0.40662,0.24914,1.15343,0.8137,0.91588,0.0068815,0.0068815,0.0068815
65,21344.5,1.20563,0.8357,0.93489,0.52716,0.39414,0.41127,0.25073,1.15301,0.8079,0.91626,0.006832,0.006832,0.006832
66,21649.4,1.20454,0.83293,0.93706,0.51974,0.39784,0.41017,0.2506,1.14922,0.80803,0.91563,0.0067825,0.0067825,0.0067825
67,21952.8,1.20765,0.83669,0.93466,0.52059,0.40498,0.41218,0.25146,1.14781,0.80618,0.91442,0.006733,0.006733,0.006733
68,22256.6,1.20172,0.82727,0.935,0.52028,0.39848,0.41084,0.25235,1.1458,0.80323,0.91412,0.0066835,0.0066835,0.0066835
69,22560.4,1.19947,0.82546,0.93578,0.53151,0.39216,0.41049,0.25228,1.14408,0.80343,0.91389,0.006634,0.006634,0.006634
70,22864.3,1.19547,0.82508,0.93511,0.52727,0.39922,0.41254,0.25329,1.14679,0.80315,0.91565,0.0065845,0.0065845,0.0065845
71,23168.9,1.19627,0.81806,0.93327,0.52792,0.39927,0.41535,0.2541,1.14581,0.80093,0.91473,0.006535,0.006535,0.006535
72,23472.8,1.20335,0.82011,0.93429,0.52953,0.39558,0.41673,0.25469,1.14465,0.79859,0.91518,0.0064855,0.0064855,0.0064855
73,23777.7,1.19067,0.81297,0.92966,0.52069,0.40505,0.41607,0.25463,1.14371,0.79709,0.91417,0.006436,0.006436,0.006436
74,24084.6,1.18665,0.80959,0.93107,0.52622,0.40241,0.41728,0.25427,1.14146,0.7957,0.91333,0.0063865,0.0063865,0.0063865
75,24398.5,1.18486,0.8101,0.9316,0.52772,0.3962,0.416,0.25359,1.14152,0.79312,0.91431,0.006337,0.006337,0.006337
76,24729.3,1.17941,0.80305,0.93158,0.52914,0.4046,0.4184,0.25544,1.14137,0.79288,0.91484,0.0062875,0.0062875,0.0062875
77,25064.4,1.18914,0.80744,0.9326,0.53118,0.4084,0.42106,0.25662,1.13877,0.79092,0.91247,0.006238,0.006238,0.006238
78,25401.9,1.1881,0.80264,0.9312,0.531,0.40504,0.42117,0.25776,1.13549,0.78996,0.91212,0.0061885,0.0061885,0.0061885
79,25736.3,1.17172,0.79587,0.92882,0.53006,0.40744,0.42126,0.2581,1.13543,0.78913,0.91198,0.006139,0.006139,0.006139
80,26075.9,1.17795,0.7983,0.92912,0.5344,0.40778,0.4219,0.25848,1.13264,0.78688,0.91109,0.0060895,0.0060895,0.0060895
81,26415.2,1.17737,0.79436,0.92916,0.53582,0.40359,0.42137,0.25884,1.1309,0.78572,0.9107,0.00604,0.00604,0.00604
82,26746.2,1.17591,0.78785,0.92579,0.53359,0.40756,0.42224,0.25906,1.13279,0.78472,0.91089,0.0059905,0.0059905,0.0059905
83,27069.7,1.17144,0.78924,0.92714,0.5263,0.41194,0.42385,0.25943,1.13337,0.78528,0.91172,0.005941,0.005941,0.005941
84,27382.3,1.17354,0.7865,0.92806,0.54983,0.40153,0.42384,0.25964,1.13127,0.78691,0.91119,0.0058915,0.0058915,0.0058915
85,27715.3,1.17116,0.78722,0.92646,0.53926,0.40706,0.42482,0.25983,1.13225,0.78652,0.91096,0.005842,0.005842,0.005842
86,28026.3,1.16775,0.78278,0.92557,0.54316,0.40325,0.4235,0.25949,1.13155,0.78439,0.91058,0.0057925,0.0057925,0.0057925
87,28338.5,1.17283,0.78514,0.92635,0.55355,0.4057,0.42641,0.26129,1.1318,0.78328,0.91063,0.005743,0.005743,0.005743
88,28649.8,1.16589,0.77995,0.92424,0.5515,0.40593,0.42711,0.26241,1.12955,0.78333,0.9096,0.0056935,0.0056935,0.0056935
89,28958.2,1.16276,0.77449,0.92409,0.54469,0.409,0.42611,0.26232,1.12761,0.7829,0.90922,0.005644,0.005644,0.005644
90,29263.1,1.16657,0.77897,0.92607,0.53394,0.41347,0.42671,0.26269,1.12671,0.78276,0.90954,0.0055945,0.0055945,0.0055945
91,29567.8,1.16214,0.77448,0.92422,0.54275,0.40981,0.42627,0.2621,1.12568,0.78317,0.90939,0.005545,0.005545,0.005545
92,29872.4,1.1653,0.77341,0.9214,0.54004,0.4107,0.42709,0.26275,1.12676,0.78179,0.90942,0.0054955,0.0054955,0.0054955
93,30176.9,1.16043,0.77186,0.92361,0.54984,0.41039,0.42804,0.26313,1.12544,0.7816,0.90907,0.005446,0.005446,0.005446
94,30481.8,1.15723,0.76928,0.92325,0.54489,0.41409,0.42929,0.2643,1.12563,0.77959,0.90901,0.0053965,0.0053965,0.0053965
95,30788.5,1.15764,0.76884,0.92215,0.54492,0.41293,0.42851,0.26416,1.12513,0.77919,0.90936,0.005347,0.005347,0.005347
96,31095.8,1.15493,0.76342,0.92109,0.54756,0.41697,0.42935,0.26402,1.12404,0.77837,0.90889,0.0052975,0.0052975,0.0052975
97,31400.7,1.15023,0.75832,0.92092,0.5514,0.41309,0.42979,0.26486,1.12408,0.77832,0.90933,0.005248,0.005248,0.005248
98,31704.7,1.14576,0.75572,0.91959,0.54834,0.41698,0.43044,0.26478,1.12276,0.77735,0.90858,0.0051985,0.0051985,0.0051985
99,32009.3,1.14454,0.75412,0.91937,0.54491,0.41422,0.43119,0.26571,1.1228,0.77604,0.90878,0.005149,0.005149,0.005149
100,32313.7,1.14964,0.75855,0.91957,0.5389,0.41748,0.43039,0.26561,1.12375,0.77695,0.90854,0.0050995,0.0050995,0.0050995
101,32618.7,1.13916,0.74765,0.91701,0.54524,0.41286,0.43177,0.26545,1.12384,0.77661,0.90905,0.00505,0.00505,0.00505
102,32923.2,1.14568,0.74876,0.91738,0.54319,0.41452,0.43097,0.26592,1.12343,0.77734,0.90897,0.0050005,0.0050005,0.0050005
103,33227.8,1.13837,0.74632,0.91597,0.54591,0.41551,0.43119,0.26593,1.12194,0.77682,0.90863,0.004951,0.004951,0.004951
104,33532.4,1.14005,0.74891,0.91922,0.55053,0.41462,0.43195,0.26623,1.12119,0.77533,0.90893,0.0049015,0.0049015,0.0049015
105,33836.9,1.13507,0.73921,0.9157,0.54768,0.4191,0.43196,0.26622,1.12148,0.77467,0.90923,0.004852,0.004852,0.004852
106,34141.7,1.13444,0.73924,0.91776,0.54856,0.41754,0.43434,0.26701,1.12118,0.77447,0.909,0.0048025,0.0048025,0.0048025
107,34446.1,1.13135,0.74093,0.91463,0.54618,0.41797,0.43409,0.26698,1.12048,0.77369,0.90824,0.004753,0.004753,0.004753
108,34753,1.13752,0.74233,0.91741,0.55532,0.41387,0.43411,0.26707,1.12031,0.77383,0.90832,0.0047035,0.0047035,0.0047035
109,35057.5,1.13557,0.73527,0.91654,0.55229,0.41351,0.43372,0.26746,1.12089,0.77484,0.9087,0.004654,0.004654,0.004654
110,35362.2,1.12898,0.73464,0.91538,0.5509,0.41575,0.43428,0.26749,1.11917,0.77484,0.90812,0.0046045,0.0046045,0.0046045
111,35666.6,1.13096,0.73234,0.91468,0.55402,0.41447,0.43376,0.26778,1.11939,0.77427,0.90801,0.004555,0.004555,0.004555
112,35971.1,1.12867,0.72989,0.91579,0.55422,0.41685,0.43413,0.26793,1.12002,0.77434,0.90823,0.0045055,0.0045055,0.0045055
113,36275.6,1.12518,0.72748,0.91292,0.54675,0.4205,0.43479,0.26768,1.12011,0.77416,0.9083,0.004456,0.004456,0.004456
114,36580,1.12645,0.72802,0.9133,0.55142,0.41795,0.43491,0.26743,1.11896,0.77355,0.90814,0.0044065,0.0044065,0.0044065
