epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,186.211,4.98813,37.0668,2.65344,0.76359,0.01568,0.00595,0.00141,3.72337,10.9668,1.34521,0.00332858,0.00332858,0.00332858
2,967.183,3.62431,2.86611,1.24456,0.68673,0.03965,0.02406,0.00656,3.2036,2.42996,1.21511,0.00663993,0.00663993,0.00663993
3,1130.03,3.25229,2.43786,1.14517,0.08398,0.06884,0.04012,0.01179,3.03165,2.91312,1.11758,0.00992928,0.00992928,0.00992928
4,1532.11,3.09286,2.24721,1.10467,0.30323,0.09425,0.07692,0.0264,2.80528,2.11845,1.08463,0.009901,0.009901,0.009901
5,1680.78,2.93532,2.05855,1.07694,0.29162,0.10304,0.08199,0.02934,2.7302,2.45294,1.06087,0.009868,0.009868,0.009868
6,1822.67,2.85087,1.98766,1.05843,0.31304,0.12025,0.10877,0.04129,2.61693,1.94296,1.04961,0.009835,0.009835,0.009835
7,1965.41,2.80446,1.92882,1.04954,0.30088,0.13391,0.11547,0.04122,2.62525,1.87001,1.03442,0.009802,0.009802,0.009802
8,2131.16,2.73725,1.86186,1.03247,0.32638,0.11568,0.10667,0.0386,2.53676,1.8325,1.04227,0.009769,0.009769,0.009769
9,2272.86,2.69836,1.81203,1.02753,0.33611,0.14966,0.13962,0.05046,2.50966,1.81875,1.0254,0.009736,0.009736,0.009736
10,2415.08,2.6667,1.76804,1.0215,0.33881,0.14572,0.1366,0.05154,2.48192,1.74687,1.0276,0.009703,0.009703,0.009703
11,2573.15,2.62294,1.73873,1.0193,0.34529,0.15698,0.14934,0.05637,2.41696,1.68967,1.01295,0.00967,0.00967,0.00967
12,2729.41,2.60966,1.70621,1.01427,0.3616,0.16729,0.1637,0.06264,2.46329,1.68293,1.01477,0.009637,0.009637,0.009637
13,2898.06,2.58647,1.67446,1.00958,0.35372,0.16705,0.16412,0.06342,2.4171,1.64727,1.00575,0.009604,0.009604,0.009604
14,3043.67,2.57156,1.65964,1.00707,0.4535,0.16293,0.17757,0.06746,2.37089,1.97521,1.002,0.009571,0.009571,0.009571
15,3184.76,2.55863,1.65389,1.00398,0.37491,0.17502,0.1731,0.06786,2.35874,1.59738,1.00389,0.009538,0.009538,0.009538
16,3326.56,2.52843,1.62244,1.00102,0.38065,0.18289,0.18141,0.07184,2.34677,1.59751,0.99676,0.009505,0.009505,0.009505
