epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,275.973,4.20259,4.19368,2.93257,0.02575,0.07893,0.02387,0.0076,3.13752,2.53178,1.78298,0.00333127,0.00333127,0.00333127
2,528.762,2.7781,2.55382,1.58512,0.29373,0.08876,0.06244,0.02741,2.41828,2.04492,1.34609,0.00664811,0.00664811,0.00664811
3,777.934,2.41065,2.2254,1.36988,0.35933,0.12216,0.08309,0.03895,2.1476,1.81951,1.23703,0.00994845,0.00994845,0.00994845
4,1026.82,2.19783,2.01912,1.27072,0.24864,0.12633,0.10062,0.04919,2.01972,1.69277,1.18133,0.00992575,0.00992575,0.00992575
5,1265.81,2.055,1.856,1.21733,0.19596,0.16157,0.11983,0.0592,1.87055,1.59481,1.13928,0.009901,0.009901,0.009901
6,1505.28,1.97211,1.75258,1.18006,0.20976,0.16866,0.13398,0.0687,1.81866,1.49384,1.11122,0.00987625,0.00987625,0.00987625
7,1745.13,1.91137,1.68631,1.16127,0.23736,0.17714,0.14981,0.07597,1.77619,1.46482,1.10214,0.0098515,0.0098515,0.0098515
8,1986.33,1.87023,1.62362,1.14359,0.23137,0.18246,0.15469,0.07969,1.74773,1.40555,1.08559,0.00982675,0.00982675,0.00982675
9,2228.06,1.84564,1.59423,1.13511,0.25033,0.18693,0.16145,0.08344,1.68887,1.38265,1.07657,0.009802,0.009802,0.009802
10,2470,1.7984,1.54518,1.12329,0.25114,0.20311,0.16984,0.08894,1.67666,1.34809,1.06936,0.00977725,0.00977725,0.00977725
11,2709.86,1.77449,1.50332,1.11091,0.26423,0.2036,0.17156,0.09123,1.66347,1.33248,1.06349,0.0097525,0.0097525,0.0097525
12,2951.66,1.75937,1.49075,1.10809,0.28192,0.21448,0.18611,0.09875,1.6268,1.28846,1.05499,0.00972775,0.00972775,0.00972775
13,3200.63,1.73143,1.45901,1.09728,0.27609,0.21232,0.1871,0.10112,1.60219,1.28152,1.04518,0.009703,0.009703,0.009703
14,3450.4,1.71811,1.43878,1.09131,0.29256,0.21156,0.19102,0.10153,1.59817,1.26851,1.04084,0.00967825,0.00967825,0.00967825
15,3701.73,1.70482,1.41999,1.08843,0.28399,0.22799,0.19727,0.10731,1.56801,1.23407,1.0372,0.0096535,0.0096535,0.0096535
16,3952.07,1.68884,1.40031,1.08403,0.30981,0.2204,0.20324,0.10824,1.58087,1.22503,1.03947,0.00962875,0.00962875,0.00962875
17,4202.42,1.6724,1.38022,1.0744,0.30675,0.23202,0.21155,0.11304,1.55556,1.20516,1.03068,0.009604,0.009604,0.009604
18,4453.87,1.65865,1.36752,1.07528,0.3079,0.23569,0.2108,0.1133,1.54601,1.19841,1.02852,0.00957925,0.00957925,0.00957925
19,4705.13,1.64365,1.34953,1.06948,0.31444,0.24099,0.21942,0.11759,1.53746,1.18805,1.02401,0.0095545,0.0095545,0.0095545
20,4956.31,1.64708,1.3439,1.06658,0.31616,0.23946,0.22252,0.11954,1.53158,1.17737,1.02155,0.00952975,0.00952975,0.00952975
21,5206.11,1.62611,1.32801,1.06448,0.32274,0.23868,0.22144,0.11924,1.53201,1.18068,1.0212,0.009505,0.009505,0.009505
22,5456.88,1.62983,1.32433,1.05976,0.31956,0.23686,0.22246,0.12007,1.51778,1.1693,1.01607,0.00948025,0.00948025,0.00948025
23,5706.19,1.62141,1.31261,1.05783,0.3362,0.24379,0.22912,0.12499,1.49977,1.15394,1.01158,0.0094555,0.0094555,0.0094555
24,5919.05,1.60076,1.29426,1.05392,0.31519,0.24511,0.22431,0.12331,1.5078,1.15784,1.01256,0.00943075,0.00943075,0.00943075
25,6141,1.61205,1.29916,1.0522,0.32063,0.24862,0.23198,0.12771,1.49302,1.14582,1.0096,0.009406,0.009406,0.009406
26,6381.71,1.603,1.29797,1.05619,0.35111,0.25203,0.23648,0.12918,1.48792,1.13994,1.00776,0.00938125,0.00938125,0.00938125
27,6608.98,1.58708,1.2709,1.04595,0.32653,0.25996,0.238,0.13042,1.48261,1.1434,1.0064,0.0093565,0.0093565,0.0093565
28,6845.09,1.58931,1.27042,1.04791,0.33802,0.25718,0.23512,0.12916,1.47581,1.13433,1.00716,0.00933175,0.00933175,0.00933175
29,7084.84,1.57775,1.2671,1.04742,0.34259,0.26012,0.23884,0.13222,1.47288,1.12953,1.0041,0.009307,0.009307,0.009307
30,7324,1.57164,1.25438,1.04225,0.3388,0.26102,0.24155,0.13115,1.46537,1.12085,1.0011,0.00928225,0.00928225,0.00928225
31,7562.44,1.56483,1.24673,1.04215,0.35407,0.26787,0.24646,0.13457,1.46644,1.11302,1.00318,0.0092575,0.0092575,0.0092575
32,7801.57,1.55391,1.24109,1.03984,0.36492,0.26208,0.25002,0.13706,1.45444,1.10208,0.99948,0.00923275,0.00923275,0.00923275
33,8040.93,1.55933,1.23693,1.03961,0.36523,0.26606,0.25051,0.13806,1.45415,1.09953,0.99801,0.009208,0.009208,0.009208
34,8279.87,1.55522,1.23305,1.03972,0.34829,0.26983,0.253,0.14016,1.44903,1.10145,0.99772,0.00918325,0.00918325,0.00918325
35,8519.73,1.54118,1.22057,1.03465,0.35023,0.26744,0.24974,0.1386,1.4483,1.09824,0.99668,0.0091585,0.0091585,0.0091585
36,8759.21,1.54202,1.21798,1.03272,0.35536,0.26867,0.2509,0.13893,1.44956,1.09581,0.99594,0.00913375,0.00913375,0.00913375
37,9000.13,1.53869,1.21462,1.03293,0.35943,0.26727,0.25417,0.14168,1.43818,1.08866,0.99365,0.009109,0.009109,0.009109
38,9241.28,1.53023,1.20667,1.0307,0.36375,0.26751,0.25527,0.14175,1.43428,1.08666,0.99145,0.00908425,0.00908425,0.00908425
39,9480.03,1.54047,1.21211,1.02784,0.36732,0.27102,0.25869,0.14406,1.43549,1.08425,0.99349,0.0090595,0.0090595,0.0090595
40,9717.76,1.53147,1.20261,1.03007,0.37981,0.27691,0.26287,0.14656,1.42384,1.07367,0.98867,0.00903475,0.00903475,0.00903475
41,9956.21,1.52392,1.19491,1.02889,0.37011,0.27446,0.26283,0.14677,1.41965,1.06947,0.98743,0.00901,0.00901,0.00901
42,10196.4,1.52073,1.19015,1.02036,0.36823,0.27706,0.26293,0.14649,1.41628,1.06448,0.98584,0.00898525,0.00898525,0.00898525
43,10437.8,1.52507,1.19051,1.0273,0.37401,0.27769,0.26616,0.14793,1.41399,1.06405,0.9877,0.0089605,0.0089605,0.0089605
44,10677.7,1.51243,1.17898,1.027,0.36921,0.27878,0.26564,0.14909,1.41465,1.06084,0.98666,0.00893575,0.00893575,0.00893575
45,10919.2,1.50623,1.17517,1.02369,0.36819,0.27902,0.26551,0.14829,1.41034,1.05778,0.98628,0.008911,0.008911,0.008911
46,11160.1,1.51409,1.17794,1.0241,0.36911,0.28153,0.26893,0.15101,1.40527,1.0538,0.98376,0.00888625,0.00888625,0.00888625
47,11398.1,1.51473,1.17771,1.02386,0.36819,0.2813,0.26735,0.1496,1.40741,1.0589,0.98461,0.0088615,0.0088615,0.0088615
48,11637.7,1.50588,1.16759,1.02303,0.36872,0.28568,0.2702,0.15182,1.40453,1.0562,0.98457,0.00883675,0.00883675,0.00883675
49,11878.3,1.5083,1.16964,1.0201,0.36962,0.28536,0.27111,0.15132,1.39781,1.05119,0.98104,0.008812,0.008812,0.008812
50,12119.5,1.50519,1.16401,1.01895,0.37737,0.28761,0.27302,0.15426,1.39689,1.04499,0.98192,0.00878725,0.00878725,0.00878725
51,12359.8,1.50558,1.16116,1.01833,0.37368,0.28594,0.27416,0.15584,1.39269,1.04536,0.98095,0.0087625,0.0087625,0.0087625
52,12600.2,1.49207,1.15787,1.01629,0.3844,0.28991,0.27737,0.15555,1.39162,1.03842,0.98068,0.00873775,0.00873775,0.00873775
53,12840.6,1.49799,1.1569,1.01712,0.38205,0.28996,0.27865,0.15679,1.38975,1.04111,0.97857,0.008713,0.008713,0.008713
54,13080.4,1.4957,1.15485,1.01609,0.38161,0.28937,0.27782,0.15621,1.38848,1.03561,0.9772,0.00868825,0.00868825,0.00868825
55,13319.6,1.49466,1.15849,1.01622,0.37645,0.29292,0.27862,0.15832,1.38795,1.03153,0.97754,0.0086635,0.0086635,0.0086635
56,13558.8,1.48847,1.14978,1.01428,0.39102,0.28887,0.27941,0.15775,1.38332,1.03222,0.97789,0.00863875,0.00863875,0.00863875
57,13798.2,1.48322,1.14192,1.01258,0.37782,0.293,0.27989,0.15934,1.37643,1.02855,0.97564,0.008614,0.008614,0.008614
58,14037.8,1.49364,1.15739,1.01379,0.38503,0.29557,0.28278,0.15932,1.38163,1.03185,0.97625,0.00858925,0.00858925,0.00858925
59,14277.1,1.48557,1.14657,1.01353,0.38484,0.29484,0.28433,0.16087,1.37919,1.02864,0.97675,0.0085645,0.0085645,0.0085645
60,14515.4,1.47881,1.13854,1.00996,0.38896,0.29631,0.2872,0.16217,1.37337,1.02152,0.9745,0.00853975,0.00853975,0.00853975
61,14755.8,1.47453,1.13802,1.0116,0.39572,0.2892,0.28548,0.16149,1.37601,1.02509,0.97472,0.008515,0.008515,0.008515
62,14993.1,1.48246,1.1381,1.01209,0.38247,0.29785,0.28622,0.16197,1.3745,1.02225,0.97409,0.00849025,0.00849025,0.00849025
63,15232,1.47211,1.12507,1.00942,0.39175,0.29542,0.28796,0.16327,1.37152,1.02455,0.97353,0.0084655,0.0084655,0.0084655
64,15471.7,1.47595,1.13504,1.00828,0.39299,0.2978,0.28614,0.16175,1.38019,1.02839,0.9725,0.00844075,0.00844075,0.00844075
65,15712.5,1.50133,1.15663,1.00733,0.39422,0.29866,0.28979,0.16445,1.39902,1.04897,0.97013,0.008416,0.008416,0.008416
66,15952.7,1.50472,1.16356,1.00518,0.40034,0.29875,0.29242,0.16541,1.40405,1.05602,0.97097,0.00839125,0.00839125,0.00839125
67,16192,1.50365,1.15911,1.00208,0.39712,0.3,0.29119,0.16477,1.40692,1.06075,0.97032,0.0083665,0.0083665,0.0083665
68,16431.8,1.50344,1.16283,0.99692,0.39907,0.29863,0.29181,0.16573,1.40404,1.05784,0.96765,0.00834175,0.00834175,0.00834175
69,16672.2,1.50495,1.16061,0.99748,0.39448,0.29918,0.29143,0.16595,1.40181,1.0577,0.96522,0.008317,0.008317,0.008317
70,16911.6,1.5051,1.15701,0.997,0.3974,0.30165,0.2926,0.16752,1.39737,1.05428,0.96286,0.00829225,0.00829225,0.00829225
71,17149.7,1.50068,1.15629,0.9974,0.39575,0.30048,0.29306,0.16759,1.39729,1.05225,0.96248,0.0082675,0.0082675,0.0082675
72,17388.2,1.49997,1.15747,0.99406,0.40505,0.29917,0.29399,0.1679,1.3942,1.05019,0.95999,0.00824275,0.00824275,0.00824275
73,17627.8,1.49741,1.15396,0.99264,0.39695,0.30453,0.29454,0.16772,1.39211,1.04717,0.95941,0.008218,0.008218,0.008218
74,17867.8,1.49523,1.15308,0.99483,0.40203,0.30123,0.29429,0.16812,1.39109,1.04387,0.95912,0.00819325,0.00819325,0.00819325
75,18107.7,1.48797,1.14586,0.98932,0.39603,0.29927,0.29509,0.16869,1.38904,1.04049,0.95773,0.0081685,0.0081685,0.0081685
76,18346.1,1.49317,1.14543,0.98981,0.39403,0.30411,0.29553,0.1689,1.38695,1.04159,0.9574,0.00814375,0.00814375,0.00814375
77,18584.9,1.49037,1.14381,0.99052,0.40305,0.30135,0.29537,0.16871,1.38727,1.04059,0.95688,0.008119,0.008119,0.008119
78,18824.8,1.48196,1.13746,0.98864,0.39427,0.3058,0.29793,0.17037,1.38575,1.03638,0.95682,0.00809425,0.00809425,0.00809425
79,19064.6,1.48146,1.14056,0.98774,0.39494,0.30389,0.29799,0.1712,1.38515,1.03562,0.95617,0.0080695,0.0080695,0.0080695
80,19304.7,1.49088,1.14127,0.98966,0.40673,0.30266,0.29799,0.1707,1.38277,1.03415,0.95519,0.00804475,0.00804475,0.00804475
81,19543.9,1.48593,1.13269,0.98779,0.4038,0.30464,0.29931,0.17103,1.38333,1.03086,0.95592,0.00802,0.00802,0.00802
82,19783.1,1.4746,1.1284,0.9871,0.40073,0.30685,0.29932,0.17126,1.38136,1.02992,0.9557,0.00799525,0.00799525,0.00799525
83,20023.6,1.48294,1.14182,0.98695,0.39946,0.30326,0.29816,0.17114,1.38187,1.0309,0.95522,0.0079705,0.0079705,0.0079705
84,20262.5,1.47839,1.13376,0.98798,0.39605,0.30825,0.30044,0.17254,1.38083,1.03016,0.95522,0.00794575,0.00794575,0.00794575
85,20501.6,1.46631,1.12145,0.98661,0.40448,0.30813,0.30084,0.17275,1.37715,1.02825,0.95376,0.007921,0.007921,0.007921
86,20741,1.46288,1.11417,0.98343,0.40323,0.30941,0.30165,0.17362,1.37639,1.02569,0.95329,0.00789625,0.00789625,0.00789625
87,20982,1.46956,1.1263,0.98553,0.40589,0.31158,0.30256,0.1743,1.37607,1.02678,0.953,0.0078715,0.0078715,0.0078715
88,21221.8,1.46837,1.11963,0.98236,0.41132,0.30825,0.30356,0.17467,1.37383,1.02447,0.95245,0.00784675,0.00784675,0.00784675
89,21461.2,1.47467,1.12345,0.98353,0.41006,0.31187,0.30468,0.17523,1.37319,1.02281,0.95171,0.007822,0.007822,0.007822
90,21702,1.47569,1.12643,0.98613,0.40659,0.31422,0.30631,0.17552,1.37205,1.02052,0.95141,0.00779725,0.00779725,0.00779725
91,21942.5,1.45976,1.10874,0.98058,0.40429,0.31767,0.30656,0.1763,1.36984,1.01873,0.95028,0.0077725,0.0077725,0.0077725
92,22179.7,1.45909,1.11729,0.98336,0.40924,0.31354,0.30716,0.17655,1.36847,1.01798,0.94975,0.00774775,0.00774775,0.00774775
93,22418.4,1.46949,1.11839,0.98254,0.40552,0.31571,0.30755,0.17629,1.36782,1.01712,0.94981,0.007723,0.007723,0.007723
94,22657.5,1.45822,1.11033,0.98116,0.40693,0.31396,0.30721,0.17657,1.36619,1.01582,0.94917,0.00769825,0.00769825,0.00769825
95,22898.3,1.46957,1.12074,0.98216,0.40976,0.31461,0.30754,0.17678,1.36436,1.01401,0.94851,0.0076735,0.0076735,0.0076735
96,23139.2,1.46245,1.11382,0.98356,0.4078,0.31599,0.30868,0.17766,1.36442,1.01362,0.9485,0.00764875,0.00764875,0.00764875
97,23379.2,1.45565,1.10386,0.97955,0.41803,0.3126,0.30838,0.17715,1.36547,1.01437,0.94889,0.007624,0.007624,0.007624
98,23618.3,1.454,1.10534,0.97991,0.42307,0.31082,0.30871,0.17763,1.36425,1.0127,0.9484,0.00759925,0.00759925,0.00759925
99,23857.1,1.4567,1.10433,0.97755,0.41319,0.31461,0.30906,0.17786,1.36268,1.01076,0.94846,0.0075745,0.0075745,0.0075745
100,24096.2,1.4553,1.10414,0.97825,0.41455,0.31469,0.30895,0.17843,1.36205,1.00946,0.94828,0.00754975,0.00754975,0.00754975
101,24335.7,1.46009,1.11085,0.98101,0.41293,0.31433,0.30974,0.17816,1.36166,1.0088,0.94802,0.007525,0.007525,0.007525
102,24573.9,1.45428,1.10345,0.9798,0.41499,0.31206,0.3092,0.17803,1.36059,1.00771,0.94725,0.00750025,0.00750025,0.00750025
103,24813.9,1.45705,1.1053,0.98022,0.41548,0.31516,0.30954,0.17872,1.35881,1.00707,0.94676,0.0074755,0.0074755,0.0074755
104,25056.8,1.45908,1.1011,0.97713,0.41491,0.31347,0.30943,0.17825,1.35885,1.00652,0.94663,0.00745075,0.00745075,0.00745075
105,25296.4,1.44776,1.0958,0.97722,0.41257,0.31478,0.30996,0.17894,1.35808,1.00512,0.94622,0.007426,0.007426,0.007426
106,25535.1,1.45462,1.10342,0.98089,0.41705,0.31503,0.31137,0.17928,1.35758,1.00493,0.94632,0.00740125,0.00740125,0.00740125
107,25772.2,1.44973,1.09487,0.97668,0.41666,0.31675,0.31139,0.17958,1.35698,1.00512,0.94611,0.0073765,0.0073765,0.0073765
108,26012.1,1.45059,1.09559,0.97734,0.41272,0.3189,0.31199,0.17978,1.35612,1.00415,0.9459,0.00735175,0.00735175,0.00735175
109,26252.2,1.44687,1.0937,0.97877,0.41214,0.31805,0.31251,0.18051,1.35615,1.00352,0.94624,0.007327,0.007327,0.007327
110,26491.2,1.44595,1.09334,0.97398,0.41353,0.3154,0.31302,0.18048,1.35601,1.00349,0.94662,0.00730225,0.00730225,0.00730225
111,26731,1.44673,1.09056,0.97665,0.417,0.31641,0.31361,0.18055,1.35439,1.00245,0.94618,0.0072775,0.0072775,0.0072775
112,26970.3,1.44876,1.09389,0.97722,0.41777,0.31515,0.31372,0.18058,1.35379,1.0014,0.94578,0.00725275,0.00725275,0.00725275
113,27210,1.44818,1.09502,0.97515,0.42269,0.31506,0.31452,0.18082,1.35359,1.00124,0.94571,0.007228,0.007228,0.007228
114,27449.3,1.44187,1.08834,0.97655,0.42298,0.31501,0.31455,0.18079,1.35294,1.00036,0.94558,0.00720325,0.00720325,0.00720325
115,27687.8,1.44634,1.08926,0.97519,0.42534,0.31677,0.31527,0.18165,1.35215,0.99998,0.94532,0.0071785,0.0071785,0.0071785
116,27927.6,1.44255,1.08558,0.97362,0.43078,0.31605,0.31632,0.18228,1.35208,0.99907,0.9451,0.00715375,0.00715375,0.00715375
117,28167.5,1.44001,1.08075,0.9733,0.4309,0.3164,0.31693,0.18253,1.35064,0.99824,0.94506,0.007129,0.007129,0.007129
118,28407.5,1.44122,1.08111,0.97314,0.43215,0.31642,0.31698,0.18274,1.35043,0.9973,0.94475,0.00710425,0.00710425,0.00710425
119,28646.1,1.44243,1.08383,0.9739,0.43266,0.31736,0.31746,0.18261,1.35004,0.99662,0.94437,0.0070795,0.0070795,0.0070795
120,28884.5,1.43725,1.07822,0.9722,0.43139,0.31886,0.31765,0.18289,1.3496,0.99658,0.9442,0.00705475,0.00705475,0.00705475
121,29125.3,1.43914,1.08285,0.97398,0.4274,0.3199,0.31831,0.18309,1.34867,0.99583,0.94394,0.00703,0.00703,0.00703
122,29364,1.43903,1.07756,0.97371,0.42769,0.31998,0.31777,0.18281,1.34868,0.99501,0.94387,0.00700525,0.00700525,0.00700525
123,29604,1.44182,1.07959,0.97295,0.42829,0.31951,0.31793,0.18281,1.3484,0.99488,0.94394,0.0069805,0.0069805,0.0069805
124,29843.3,1.43036,1.0722,0.97281,0.42835,0.31867,0.31797,0.18289,1.34752,0.99415,0.9439,0.00695575,0.00695575,0.00695575
125,30083.4,1.43163,1.06996,0.97131,0.42323,0.31973,0.31766,0.18305,1.34675,0.99387,0.94361,0.006931,0.006931,0.006931
126,30323.7,1.43444,1.07842,0.97072,0.42307,0.31928,0.31752,0.18274,1.34627,0.99373,0.94341,0.00690625,0.00690625,0.00690625
127,30562.5,1.43187,1.07359,0.97051,0.42157,0.32065,0.318,0.18345,1.34612,0.99353,0.94332,0.0068815,0.0068815,0.0068815
128,30801.4,1.43174,1.07104,0.96996,0.42242,0.32207,0.31826,0.18344,1.34599,0.99326,0.94334,0.00685675,0.00685675,0.00685675
129,31041.4,1.43857,1.07347,0.97081,0.42535,0.32287,0.31972,0.18425,1.34591,0.99258,0.94342,0.006832,0.006832,0.006832
130,31282.6,1.43066,1.07015,0.96934,0.42787,0.32222,0.3198,0.18424,1.34562,0.99234,0.94335,0.00680725,0.00680725,0.00680725
131,31523.1,1.43005,1.06878,0.96957,0.43031,0.32184,0.3201,0.18477,1.34514,0.99156,0.94307,0.0067825,0.0067825,0.0067825
132,31761.9,1.4307,1.07008,0.97092,0.42923,0.3235,0.31986,0.18458,1.34459,0.99118,0.94286,0.00675775,0.00675775,0.00675775
133,32001.3,1.4289,1.06825,0.96893,0.4303,0.32385,0.32038,0.1846,1.34356,0.99037,0.94256,0.006733,0.006733,0.006733
134,32241.9,1.43696,1.07057,0.97335,0.4316,0.32377,0.3204,0.1847,1.34376,0.98986,0.94247,0.00670825,0.00670825,0.00670825
135,32482.4,1.42647,1.06048,0.96977,0.43294,0.3236,0.321,0.18446,1.34361,0.9892,0.94233,0.0066835,0.0066835,0.0066835
136,32722.6,1.43282,1.06516,0.97013,0.43342,0.3246,0.32144,0.1848,1.34319,0.98912,0.94222,0.00665875,0.00665875,0.00665875
137,32962.1,1.42434,1.05629,0.96705,0.4338,0.32465,0.32146,0.18502,1.34252,0.98811,0.94212,0.006634,0.006634,0.006634
138,33204.6,1.42657,1.06592,0.96651,0.43406,0.324,0.32181,0.18522,1.34276,0.9881,0.94219,0.00660925,0.00660925,0.00660925
139,33445.1,1.42586,1.06048,0.96907,0.43413,0.32405,0.32169,0.18527,1.34223,0.98764,0.942,0.0065845,0.0065845,0.0065845
140,33684.3,1.42308,1.05608,0.96774,0.43326,0.32324,0.3219,0.18507,1.34228,0.98768,0.94206,0.00655975,0.00655975,0.00655975
141,33924.5,1.42673,1.06115,0.96977,0.43376,0.32394,0.32236,0.18522,1.34196,0.9869,0.94197,0.006535,0.006535,0.006535
142,34164.7,1.41839,1.05574,0.96731,0.43475,0.32406,0.32218,0.18519,1.34158,0.98668,0.94186,0.00651025,0.00651025,0.00651025
143,34403.4,1.4216,1.0586,0.96753,0.43468,0.32457,0.32212,0.185,1.34122,0.9865,0.94166,0.0064855,0.0064855,0.0064855
144,34642.9,1.42329,1.05751,0.96821,0.43396,0.3241,0.32207,0.18515,1.34099,0.98662,0.94149,0.00646075,0.00646075,0.00646075
145,34882.6,1.42075,1.05892,0.96797,0.43305,0.32515,0.32174,0.18513,1.34037,0.98617,0.9412,0.006436,0.006436,0.006436
146,35123.2,1.42197,1.05687,0.96947,0.43274,0.32552,0.32195,0.18495,1.34022,0.98563,0.94111,0.00641125,0.00641125,0.00641125
147,35364.5,1.41953,1.05132,0.9665,0.433,0.32643,0.32208,0.18501,1.33969,0.98519,0.94099,0.0063865,0.0063865,0.0063865
148,35602.7,1.42466,1.05556,0.96591,0.43196,0.32692,0.32186,0.18525,1.33919,0.98526,0.9409,0.00636175,0.00636175,0.00636175
149,35842.6,1.41974,1.05268,0.968,0.4315,0.32663,0.32188,0.18518,1.33886,0.98519,0.94086,0.006337,0.006337,0.006337
150,36081.6,1.41961,1.05184,0.96511,0.4292,0.32723,0.32166,0.18522,1.3385,0.98517,0.94076,0.00631225,0.00631225,0.00631225
151,36321.6,1.41898,1.05243,0.96883,0.43126,0.32658,0.32187,0.18558,1.33828,0.98483,0.94071,0.0062875,0.0062875,0.0062875
152,36559.3,1.41294,1.04844,0.96496,0.43243,0.32675,0.32254,0.18571,1.33818,0.98457,0.94059,0.00626275,0.00626275,0.00626275
153,36798.5,1.42174,1.05681,0.96743,0.4356,0.32512,0.3225,0.18603,1.3379,0.98454,0.94051,0.006238,0.006238,0.006238
154,37039.1,1.41311,1.04616,0.9654,0.43274,0.32572,0.32263,0.18615,1.33772,0.98423,0.94035,0.00621325,0.00621325,0.00621325
155,37280.1,1.41851,1.05373,0.96658,0.4341,0.32616,0.32266,0.18594,1.33746,0.98374,0.94024,0.0061885,0.0061885,0.0061885
156,37519.2,1.41312,1.04541,0.96708,0.43577,0.32564,0.3231,0.1863,1.33764,0.98351,0.94022,0.00616375,0.00616375,0.00616375
157,37758,1.41345,1.04788,0.9668,0.43758,0.32517,0.32321,0.18645,1.33728,0.98349,0.94017,0.006139,0.006139,0.006139
158,37997.7,1.40994,1.03973,0.96461,0.43657,0.32611,0.32339,0.18662,1.33696,0.98334,0.94013,0.00611425,0.00611425,0.00611425
159,38238.1,1.41044,1.04747,0.96701,0.43891,0.32576,0.32361,0.18666,1.33692,0.9827,0.94006,0.0060895,0.0060895,0.0060895
160,38478.6,1.40597,1.04012,0.96319,0.43718,0.32683,0.32355,0.18678,1.33684,0.9827,0.93998,0.00606475,0.00606475,0.00606475
161,38719.9,1.41725,1.05131,0.96642,0.43824,0.32712,0.32402,0.18683,1.3365,0.98247,0.93991,0.00604,0.00604,0.00604
162,38959.8,1.41403,1.0436,0.96476,0.43882,0.32635,0.32395,0.18704,1.33617,0.98232,0.93986,0.00601525,0.00601525,0.00601525
163,39200.2,1.41224,1.04217,0.96326,0.44131,0.32613,0.32437,0.18704,1.33602,0.98213,0.9398,0.0059905,0.0059905,0.0059905
164,39439.9,1.41371,1.0437,0.96414,0.4413,0.32657,0.32439,0.18702,1.33605,0.9818,0.93983,0.00596575,0.00596575,0.00596575
165,39679.2,1.41224,1.04069,0.96295,0.43981,0.32756,0.32445,0.18711,1.33633,0.98166,0.93975,0.005941,0.005941,0.005941
166,39917.6,1.40907,1.03963,0.96546,0.43819,0.32829,0.32466,0.18733,1.33621,0.98172,0.93976,0.00591625,0.00591625,0.00591625
167,40156.6,1.40913,1.04178,0.96511,0.43829,0.32818,0.32506,0.18746,1.33574,0.98112,0.93969,0.0058915,0.0058915,0.0058915
168,40397.5,1.40856,1.03965,0.96342,0.43832,0.32889,0.32505,0.18739,1.33596,0.98087,0.93966,0.00586675,0.00586675,0.00586675
169,40636.5,1.40641,1.03676,0.96236,0.43715,0.32973,0.32518,0.18753,1.33581,0.98076,0.93957,0.005842,0.005842,0.005842
170,40876.9,1.40925,1.03666,0.96301,0.43939,0.32958,0.32555,0.18769,1.33565,0.98078,0.93958,0.00581725,0.00581725,0.00581725
171,41116.8,1.40477,1.03723,0.96259,0.43894,0.32895,0.32554,0.18776,1.33549,0.9805,0.93955,0.0057925,0.0057925,0.0057925
172,41356.2,1.40365,1.03816,0.96269,0.43838,0.32865,0.32562,0.1874,1.33557,0.98045,0.93949,0.00576775,0.00576775,0.00576775
173,41595.2,1.41182,1.038,0.96475,0.4389,0.32897,0.32606,0.18793,1.33508,0.98014,0.93938,0.005743,0.005743,0.005743
174,41835,1.41799,1.04233,0.96339,0.4393,0.32864,0.32587,0.18781,1.33498,0.98001,0.93942,0.00571825,0.00571825,0.00571825
175,42075,1.40001,1.03244,0.96317,0.43843,0.32948,0.3261,0.18798,1.33486,0.97975,0.93941,0.0056935,0.0056935,0.0056935
176,42316.3,1.3972,1.0292,0.96181,0.43823,0.3292,0.32601,0.1878,1.33496,0.97964,0.93932,0.00566875,0.00566875,0.00566875
177,42556.3,1.40305,1.03326,0.96276,0.4367,0.32964,0.32603,0.1881,1.33467,0.97951,0.93927,0.005644,0.005644,0.005644
178,42797.3,1.4053,1.03196,0.96179,0.43818,0.32859,0.32635,0.18808,1.33472,0.9796,0.93923,0.00561925,0.00561925,0.00561925
179,43046.6,1.40252,1.03715,0.96431,0.43859,0.32894,0.32635,0.18796,1.33489,0.97966,0.93927,0.0055945,0.0055945,0.0055945
180,43290.3,1.40288,1.03204,0.96399,0.43993,0.32824,0.32637,0.18822,1.33478,0.97938,0.93919,0.00556975,0.00556975,0.00556975
181,43530.3,1.4065,1.03363,0.96056,0.44008,0.32865,0.32672,0.18839,1.33479,0.97937,0.93913,0.005545,0.005545,0.005545
182,43769.9,1.40071,1.02646,0.96322,0.44154,0.32826,0.32697,0.18837,1.33478,0.9792,0.93918,0.00552025,0.00552025,0.00552025
