epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,181.221,4.17007,4.1368,2.92067,0.02765,0.08446,0.02905,0.01057,2.97204,2.45665,1.71047,0.00333127,0.00333127,0.00333127
2,352.758,2.73324,2.51345,1.57106,0.30696,0.1037,0.06584,0.02912,2.35594,2.0036,1.34553,0.00663162,0.00663162,0.00663162
3,530.217,2.38027,2.17661,1.35476,0.32714,0.12421,0.08979,0.04176,2.11344,1.78445,1.23525,0.00989896,0.00989896,0.00989896
4,707.072,2.1809,1.99056,1.26966,0.28092,0.14334,0.10773,0.05228,1.97793,1.62987,1.16671,0.0098515,0.0098515,0.0098515
5,883.821,2.03614,1.83069,1.21121,0.18988,0.16628,0.12586,0.06365,1.85805,1.56661,1.13291,0.009802,0.009802,0.009802
6,1059.41,1.96104,1.74407,1.17597,0.2026,0.16655,0.13079,0.06669,1.81325,1.49535,1.10792,0.0097525,0.0097525,0.0097525
7,1234.18,1.89384,1.6679,1.15699,0.23314,0.18727,0.15337,0.08068,1.74524,1.40405,1.08858,0.009703,0.009703,0.009703
8,1408.22,1.85097,1.60649,1.13997,0.24495,0.1916,0.16275,0.08571,1.70492,1.386,1.07953,0.0096535,0.0096535,0.0096535
9,1582.56,1.81651,1.56868,1.12547,0.25387,0.20214,0.16842,0.08863,1.67213,1.36234,1.06801,0.009604,0.009604,0.009604
10,1757.99,1.77981,1.51345,1.11182,0.24735,0.19979,0.16924,0.09166,1.66251,1.3363,1.0624,0.0095545,0.0095545,0.0095545
11,1931.74,1.76263,1.4904,1.10291,0.28006,0.20759,0.18395,0.09756,1.63503,1.30957,1.0526,0.009505,0.009505,0.009505
12,2105.98,1.73372,1.45486,1.09895,0.26946,0.22232,0.189,0.10104,1.61405,1.27465,1.04878,0.0094555,0.0094555,0.0094555
13,2280.45,1.71835,1.43481,1.08783,0.27587,0.2286,0.19237,0.103,1.60285,1.26279,1.04316,0.009406,0.009406,0.009406
14,2454.75,1.70612,1.41417,1.08514,0.29568,0.23599,0.20078,0.10789,1.57986,1.24665,1.03827,0.0093565,0.0093565,0.0093565
15,2628.3,1.68826,1.39304,1.07829,0.3002,0.22823,0.20568,0.11152,1.55579,1.22464,1.0344,0.009307,0.009307,0.009307
16,2802.5,1.67394,1.38214,1.07696,0.29496,0.23749,0.21187,0.1137,1.55413,1.21374,1.03163,0.0092575,0.0092575,0.0092575
17,2976.43,1.66275,1.36531,1.07395,0.31086,0.2323,0.21331,0.11428,1.54902,1.20894,1.0314,0.009208,0.009208,0.009208
18,3151.58,1.64958,1.34955,1.06568,0.31097,0.23946,0.2185,0.11792,1.53513,1.19884,1.02618,0.0091585,0.0091585,0.0091585
19,3326.59,1.63505,1.33149,1.06554,0.32268,0.23873,0.22413,0.12144,1.5272,1.18031,1.02316,0.009109,0.009109,0.009109
20,3500.73,1.63706,1.32929,1.06253,0.31603,0.24506,0.22497,0.123,1.51789,1.17227,1.0174,0.0090595,0.0090595,0.0090595
21,3677.3,1.62086,1.31494,1.05965,0.32426,0.25171,0.23087,0.12598,1.5115,1.1661,1.01766,0.00901,0.00901,0.00901
22,3852.05,1.61319,1.30038,1.05352,0.32722,0.24864,0.23269,0.12705,1.50222,1.1571,1.0137,0.0089605,0.0089605,0.0089605
23,4026.55,1.59701,1.28738,1.05474,0.33536,0.25298,0.23465,0.12918,1.49379,1.14493,1.01178,0.008911,0.008911,0.008911
24,4201.2,1.59626,1.27904,1.05215,0.33082,0.25478,0.23596,0.13121,1.49035,1.14195,1.01258,0.0088615,0.0088615,0.0088615
25,4375.27,1.58583,1.27107,1.04905,0.33085,0.26254,0.24339,0.13361,1.48214,1.13141,1.00718,0.008812,0.008812,0.008812
26,4549.62,1.57814,1.2577,1.04644,0.33876,0.26091,0.24043,0.13167,1.4741,1.12777,1.00455,0.0087625,0.0087625,0.0087625
27,4724.02,1.58099,1.26359,1.04393,0.33823,0.26119,0.24465,0.13468,1.47462,1.12934,1.00591,0.008713,0.008713,0.008713
28,4898.07,1.56916,1.24724,1.04195,0.34897,0.25944,0.24677,0.13643,1.46463,1.1171,1.00389,0.0086635,0.0086635,0.0086635
29,5072.42,1.56096,1.2421,1.03912,0.32901,0.26139,0.24289,0.13571,1.46306,1.12265,1.00328,0.008614,0.008614,0.008614
30,5245.63,1.55629,1.23186,1.03916,0.34952,0.27136,0.25127,0.13934,1.45017,1.0994,0.99956,0.0085645,0.0085645,0.0085645
31,5421.47,1.55278,1.23135,1.03572,0.34766,0.27334,0.25263,0.13955,1.44714,1.09599,0.99764,0.008515,0.008515,0.008515
32,5596.43,1.5419,1.21513,1.03295,0.3537,0.26743,0.25247,0.13984,1.45195,1.09891,0.99869,0.0084655,0.0084655,0.0084655
33,5770.54,1.54902,1.22633,1.03783,0.35694,0.27233,0.25907,0.1426,1.45131,1.0895,1.00061,0.008416,0.008416,0.008416
34,5945.25,1.54645,1.21243,1.0319,0.35637,0.27318,0.25849,0.14301,1.44587,1.08711,0.99758,0.0083665,0.0083665,0.0083665
35,6119.19,1.53961,1.21416,1.02862,0.36098,0.27268,0.26,0.14459,1.4441,1.08308,0.99617,0.008317,0.008317,0.008317
36,6293.85,1.54076,1.21074,1.03315,0.34752,0.2741,0.25914,0.14503,1.43297,1.08275,0.99282,0.0082675,0.0082675,0.0082675
37,6467.44,1.53305,1.2048,1.03181,0.35416,0.27461,0.26169,0.14711,1.42354,1.07682,0.99,0.008218,0.008218,0.008218
38,6641.59,1.53505,1.20022,1.03178,0.35984,0.28066,0.26332,0.14581,1.42828,1.07526,0.99016,0.0081685,0.0081685,0.0081685
39,6816.09,1.52917,1.19226,1.02625,0.3598,0.27492,0.26244,0.14612,1.42175,1.07559,0.98963,0.008119,0.008119,0.008119
40,6990.73,1.51935,1.1844,1.02479,0.36086,0.2783,0.26522,0.14854,1.41881,1.06848,0.98767,0.0080695,0.0080695,0.0080695
41,7165.48,1.51372,1.17558,1.0233,0.37284,0.28363,0.26998,0.14994,1.41624,1.06226,0.98783,0.00802,0.00802,0.00802
42,7340.83,1.51647,1.17907,1.02377,0.36789,0.28524,0.26864,0.15003,1.41391,1.0601,0.98593,0.0079705,0.0079705,0.0079705
43,7515.93,1.51473,1.17446,1.02318,0.37301,0.28172,0.26963,0.15184,1.40767,1.05517,0.98639,0.007921,0.007921,0.007921
44,7689.66,1.51095,1.17255,1.02056,0.38362,0.27892,0.27075,0.15325,1.41286,1.05606,0.98589,0.0078715,0.0078715,0.0078715
45,7864.61,1.50145,1.16392,1.02209,0.37273,0.28577,0.27021,0.15179,1.40505,1.05414,0.98433,0.007822,0.007822,0.007822
46,8039.6,1.50369,1.16307,1.01959,0.37915,0.28778,0.27111,0.15238,1.40247,1.05107,0.98329,0.0077725,0.0077725,0.0077725
47,8214.42,1.50476,1.16629,1.0201,0.38835,0.28052,0.27279,0.15375,1.40292,1.05029,0.98331,0.007723,0.007723,0.007723
48,8390.1,1.48665,1.15054,1.01789,0.37787,0.28438,0.27487,0.15466,1.39359,1.04389,0.98065,0.0076735,0.0076735,0.0076735
49,8565.33,1.48511,1.15213,1.01381,0.38145,0.29256,0.27787,0.15721,1.39029,1.03748,0.97933,0.007624,0.007624,0.007624
50,8740.84,1.49352,1.15174,1.01714,0.38254,0.29277,0.2781,0.15734,1.38819,1.03715,0.97912,0.0075745,0.0075745,0.0075745
51,8916.48,1.48489,1.14082,1.01539,0.38074,0.29386,0.27788,0.15582,1.39255,1.03997,0.97947,0.007525,0.007525,0.007525
52,9091.29,1.48647,1.14468,1.01225,0.382,0.29152,0.28024,0.15787,1.38599,1.03146,0.97784,0.0074755,0.0074755,0.0074755
53,9266.42,1.48878,1.14574,1.01562,0.39874,0.28944,0.28277,0.16057,1.38766,1.03078,0.97909,0.007426,0.007426,0.007426
54,9441.38,1.48321,1.13833,1.01148,0.38075,0.29344,0.28078,0.15947,1.38395,1.02939,0.97794,0.0073765,0.0073765,0.0073765
55,9616.33,1.48785,1.1412,1.0156,0.38498,0.29762,0.28215,0.16052,1.38506,1.02797,0.97845,0.007327,0.007327,0.007327
56,9791.76,1.47525,1.13566,1.01231,0.39009,0.29557,0.28332,0.16064,1.38394,1.0282,0.97921,0.0072775,0.0072775,0.0072775
57,9966.95,1.47116,1.122,1.00925,0.38631,0.30196,0.28237,0.16051,1.37883,1.0268,0.97643,0.007228,0.007228,0.007228
58,10141.8,1.47182,1.12216,1.01165,0.39487,0.29836,0.28717,0.16308,1.37447,1.01984,0.97548,0.0071785,0.0071785,0.0071785
59,10316.7,1.47263,1.12534,1.00972,0.3967,0.29355,0.28643,0.16261,1.37384,1.01811,0.97454,0.007129,0.007129,0.007129
60,10491.5,1.4611,1.11622,1.00803,0.39766,0.29502,0.28757,0.16299,1.37519,1.02,0.97574,0.0070795,0.0070795,0.0070795
61,10666.7,1.4671,1.11806,1.00676,0.38596,0.30287,0.28805,0.1639,1.37126,1.01574,0.9735,0.00703,0.00703,0.00703
62,10842.9,1.45993,1.11257,1.00813,0.39343,0.30168,0.29087,0.1647,1.36837,1.01291,0.97351,0.0069805,0.0069805,0.0069805
63,11018.4,1.46871,1.12001,1.00858,0.39935,0.29481,0.28788,0.16305,1.36835,1.01238,0.97301,0.006931,0.006931,0.006931
64,11193.6,1.46709,1.11615,1.00897,0.39701,0.29804,0.29071,0.16478,1.36808,1.01168,0.973,0.0068815,0.0068815,0.0068815
65,11369.1,1.45822,1.10789,1.00376,0.39014,0.30109,0.29015,0.16404,1.36751,1.01026,0.97247,0.006832,0.006832,0.006832
66,11545.1,1.45689,1.11133,1.00654,0.38726,0.30153,0.28867,0.16458,1.36723,1.0122,0.97166,0.0067825,0.0067825,0.0067825
67,11720.4,1.46063,1.11376,1.00392,0.3951,0.30148,0.29178,0.16661,1.36694,1.01044,0.97249,0.006733,0.006733,0.006733
68,11896.1,1.4542,1.1051,1.005,0.39137,0.30751,0.29513,0.16858,1.36325,1.00553,0.97259,0.0066835,0.0066835,0.0066835
69,12071.4,1.4534,1.10458,1.0059,0.39188,0.30393,0.29561,0.16854,1.36055,1.00287,0.97034,0.006634,0.006634,0.006634
70,12246.8,1.45102,1.10488,1.00565,0.39978,0.30314,0.29403,0.16866,1.36049,1.00182,0.96997,0.0065845,0.0065845,0.0065845
71,12422,1.45269,1.09762,1.00378,0.39831,0.30729,0.29389,0.16788,1.36166,1.00419,0.96992,0.006535,0.006535,0.006535
72,12597.6,1.45988,1.10363,1.00301,0.40083,0.3042,0.29525,0.16813,1.35827,1.00054,0.96889,0.0064855,0.0064855,0.0064855
73,12772.9,1.44649,1.09181,0.99974,0.40009,0.3003,0.29384,0.16768,1.35834,1.00198,0.96926,0.006436,0.006436,0.006436
74,12949,1.44258,1.09142,1.00121,0.39305,0.30774,0.29546,0.16864,1.3537,0.99828,0.9678,0.0063865,0.0063865,0.0063865
75,13124.1,1.44306,1.09513,1.00264,0.40341,0.30276,0.29574,0.16937,1.35223,0.99736,0.96748,0.006337,0.006337,0.006337
76,13299.4,1.43247,1.08546,1.0009,0.4029,0.3069,0.29763,0.17025,1.35237,0.99614,0.96814,0.0062875,0.0062875,0.0062875
77,13474.9,1.44508,1.09219,1.00279,0.40384,0.30822,0.29821,0.17066,1.35281,0.99533,0.96883,0.006238,0.006238,0.006238
78,13650.7,1.44658,1.08897,1.0015,0.40313,0.30459,0.29809,0.17046,1.35245,0.99515,0.96869,0.0061885,0.0061885,0.0061885
79,13826,1.43298,1.08022,1.00116,0.40155,0.30343,0.29625,0.16926,1.35031,0.9952,0.96797,0.006139,0.006139,0.006139
80,14001.3,1.43681,1.08468,0.99938,0.40408,0.30232,0.29539,0.16972,1.34745,0.99495,0.96716,0.0060895,0.0060895,0.0060895
81,14176.8,1.43611,1.0793,0.99979,0.4063,0.30136,0.29726,0.17049,1.34564,0.99228,0.96577,0.00604,0.00604,0.00604
82,14350.4,1.43519,1.07195,0.99628,0.40661,0.30638,0.29844,0.17129,1.346,0.99055,0.96546,0.0059905,0.0059905,0.0059905
83,14525,1.4332,1.07824,0.99854,0.40232,0.30745,0.29825,0.17198,1.34265,0.98975,0.96491,0.005941,0.005941,0.005941
